jpeg_no,state,no,letter,cert_date,cert_month,cert_year,first_name,last_name,raw_name,title,due_day,due_month,due_year,amount,90th,strike_through,note,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37
54,MA,82,G,3,9,1783,BENJAMIN,EDES,BENJAMIN EDES,Jun,16,4,1782,3,67,"Lo 73,360",,,,,,,,,,,,,,,,,,
54,MA,83,N,3,9,1783,SAMUEL,LORD,SAMUEL LORD,,16,4,1782,5,,"Lo 89,526",,,,,,,,,,,,,,,,,,
54,MA,84,P,3,9,1783,LAMUEL,CRAVATH,LAMUEL CRAVATH,,16,4,1782,7,45,"Lo 165,1749",,,,,,,,,,,,,,,,,,
54,MA,85,R,3,9,1783,PETER,DOLIVER,PETER DOLIVER,,16,4,1782,5,,"Lo 165,1739",,,,,,,,,,,,,,,,,,
54,MA,86,D,3,9,1783,EDWARD,TUCKERMAN,EDWARD TUCKERMAN,,16,4,1782,7,45,"Lo 38,254",,,,,,,,,,,,,,,,,,
54,MA,87,E,3,9,1783,STEPHEN,HARRIS,STEPHEN HARRIS,,16,4,1782,7,45,Ro 6761,,,,,,,,,,,,,,,,,,
54,MA,88,G,3,9,1783,JOHN WEST,FOLSOME,JOHN WEST FOLSOME,,16,4,1782,11,22,Ro 6761,,,,,,,,,,,,,,,,,,
54,MA,89,N,3,9,1783,JOSEPH,SPEAR,JOSEPH SPEAR,Jun,16,4,1782,8,67,Ro 5340,,,,,,,,,,,,,,,,,,
54,MA,90,P,3,9,1783,JAMES,AVERY,JAMES AVERY,,16,4,1782,5,,Lo 653,,,,,,,,,,,,,,,,,,
54,MA,91,R,3,9,1783,JOSEPH,SOWOLLEN,JOSEPH SOWOLLEN,,16,4,1782,1,22,No 137,,,,,,,,,,,,,,,,,,
54,MA,92,D,3,9,1783,JOHN,LANE,JOHN LANE,,16,4,1782,1,22,"Lo 119,1086",,,,,,,,,,,,,,,,,,
54,MA,93,E,3,9,1783,JAMES,STEWART,JAMES STEWART,,16,4,1782,1,22,"Lo 97,1061",,,,,,,,,,,,,,,,,,
54,MA,94,G,3,9,1783,HENRY,HILL,HENRY HILL,,16,4,1782,1,22,Ro 5346,,,,,,,,,,,,,,,,,,
54,MA,95,N,3,9,1783,JOHN,CATTON,JOHN CATTON,,16,4,1782,1,22,"Lo 246,220",,,,,,,,,,,,,,,,,,
54,MA,96,P,3,9,1783,NATHANIEL,APPLETON,NATHANIEL APPLETON,Esq,16,4,1782,28,67,5377,,,,,,,,,,,,,,,,,,
54,MA,97,R,3,9,1783,JONATHAN,WILLIAMS,JONATHAN WILLIAMS,Esq,16,4,1782,26,22,"Lo 182,2062",,,,,,,,,,,,,,,,,,
55,MA,98,D,13,9,1783,EBENEZER,WYCTH,EBENEZER WYCTH,,16,4,1782,23,67,No 1783,,,,,,,,,,,,,,,,,,
55,MA,99,E,13,9,1783,DAVID,SPEAR,DAVID SPEAR,,16,4,1782,6,22,Lo 653,,,,,,,,,,,,,,,,,,
55,MA,100,G,13,9,1783,GEORGE,CALDER,GEORGE CALDER,,16,4,1782,8,67,"Lo 209,2139",,,,,,,,,,,,,,,,,,
55,MA,101,H,13,9,1783,JOHN,GARDNER,JOHN GARDNER,,16,4,1782,7,45,"Lo 73,450",,,,,,,,,,,,,,,,,,
55,MA,102,P,13,9,1783,NATHANIEL,LYDE,NATHANIEL LYDE,,16,4,1782,12,45,"Lo 182,2068",,,,,,,,,,,,,,,,,,
55,MA,103,R,13,9,1783,JOHN,MEREHANT,JOHN MEREHANT,,16,4,1782,3,67,,,,,,,,,,,,,,,,,,,
55,MA,104,D,13,9,1783,ALDEN,BASS,ALDEN BASS,,16,4,1782,13,67,Ro 6711,,,,,,,,,,,,,,,,,,
55,MA,105,E,13,9,1783,JAMES,WARREN,JAMES WARREN,Esq,16,4,1782,31,22,"Lo 73,368",,,,,,,,,,,,,,,,,,
55,MA,106,G,13,9,1783,JOHN,BOYLE,JOHN BOYLE,,16,4,1782,3,67,2040,,,,,,,,,,,,,,,,,,
55,MA,107,N,13,9,1783,STEPHEN,BRUCE,STEPHEN BRUCE,,16,4,1782,3,67,,,,,,,,,,,,,,,,,,,
55,MA,108,P,13,9,1783,LEVI,JENNINGS,LEVI JENNINGS,,16,4,1782,11,22,Ro 5469,,,,,,,,,,,,,,,,,,
55,MA,109,R,13,9,1783,THOMAS,OSBORN,THOMAS OSBORN,,16,4,1782,5,,"Lo 165,1750",,,,,,,,,,,,,,,,,,
55,MA,110,D,13,9,1783,DANIEL AND JOHN,BREWER,DANIEL AND JOHN BREWER,,16,4,1782,5,,Ro 5346,,,,,,,,,,,,,,,,,,
55,MA,111,E,13,9,1783,DANIEL,HEWES,DANIEL HEWES,,16,4,1782,5,,"Lo 97,1032",,,,,,,,,,,,,,,,,,
55,MA,112,G,13,9,1783,GEORGE,PAYSON,GEORGE PAYSON,,16,4,1782,11,22,4996,,,,,,,,,,,,,,,,,,
55,MA,113,N,13,9,1783,WILLIAM,GORDEN,WILLIAM GORDEN,,16,4,1782,11,22,,,,,,,,,,,,,,,,,,,
55,MA,114,P,13,9,1783,WILSON,FRANKLIN,WILSON FRANKLIN,,1,1,1783,144,,"Lo 6,102",,,,,,,,,,,,,,,,,,
55,MA,115,R,13,9,1783,JOHN,CROSBY,JOHN CROSBY,,16,4,1782,17,45,4625,,,,,,,,,,,,,,,,,,
55,MA,116,N,13,9,1783,GILBERT,SPEAKMAN,GILBERT SPEAKMAN,,16,4,1782,6,22,Ro 5340,,,,,,,,,,,,,,,,,,
55,MA,117,P,13,9,1783,TIMOTHY,PENNY,TIMOTHY PENNY,,16,4,1782,33,67,Ro 5340,,,,,,,,,,,,,,,,,,
55,MA,118,R,13,9,1783,JOHN,WHITE,JOHN WHITE,,16,4,1782,5,,"Lo 38,202",,,,,,,,,,,,,,,,,,
55,MA,119,D,13,9,1783,CHRIS,CLARK,CHRIS CLARK,,16,4,1782,1,22,400,,,,,,,,,,,,,,,,,,
55,MA,120,E,13,9,1783,EDWARD,TUCKERMAN,EDWARD TUCKERMAN,,16,4,1782,6,22,"Lo 38,254",,,,,,,,,,,,,,,,,,
55,MA,121,G,13,9,1783,JOHN,WOART,JOHN WOART,,16,4,1782,6,22,"Lo 38,185",,,,,,,,,,,,,,,,,,
55,MA,122,N,13,9,1783,COLL JAMES,MILEN,COLL JAMES MILEN,Lt,1,6,1783,35,,Ro 5088,,,,,,,,,,,,,,,,,,
55,MA,123,P,13,9,1783,JOSEPH,WARD,JOSEPH WARD,,16,4,1782,12,45,Ro 5088,,,,,,,,,,,,,,,,,,
55,MA,124,R,13,9,1783,JOSEPH,HARTWELL,JOSEPH HARTWELL,,16,4,1782,15,,Ro 5419,,,,,,,,,,,,,,,,,,
55,MA,125,B,13,9,1783,JONATHAN,GARDNER,JONATHAN GARDNER,,16,4,1782,6,22,"Lo 156,1728",,,,,,,,,,,,,,,,,,
55,MA,126,E,13,9,1783,ABIGAIL,FURBER,ABIGAIL FURBER,,16,4,1782,5,,"Lo 138,1492",,,,,,,,,,,,,,,,,,
55,MA,127,G,13,9,1783,DESIRE,TOLMAN,DESIRE TOLMAN,,16,4,1782,12,45,"Lo 97,740",,,,,,,,,,,,,,,,,,
55,MA,128,N,13,9,1783,JEREMIAH,WISSWALL,JEREMIAH WISSWALL,,16,4,1782,5,,4996,,,,,,,,,,,,,,,,,,
55,MA,129,R,13,9,1783,JOHN,EDDY,JOHN EDDY,,16,4,1782,5,,Ro 6776,,,,,,,,,,,,,,,,,,
55,MA,130,D,13,9,1783,ELIZABETH,CROSBY,ELIZABETH CROSBY,,16,4,1782,8,67,"Lo 165,1748",,,,,,,,,,,,,,,,,,
55,MA,131,E,13,9,1783,JOHN,PROCTOR,JOHN PROCTOR,,16,4,1782,3,67,Ro 5340,,,,,,,,,,,,,,,,,,
55,MA,132,G,13,9,1783,BETSEY,GRAY,BETSEY GRAY,,16,4,1782,2,45,Ro 5418,,,,,,,,,,,,,,,,,,
55,MA,133,N,13,9,1783,WILLIAM,CRASE,WILLIAM CRASE,,16,4,1782,5,,,,,,,,,,,,,,,,,,,,
56,MA,134,P,24,9,1783,MARY A.,HODGSON,MARY A. HODGSON,,16,4,1782,5,,5543,,,,,,,,,,,,,,,,,,
56,MA,135,R,24,9,1783,JOHN,WISE,JOHN WISE,,16,4,1782,7,45,Ro 4865,,,,,,,,,,,,,,,,,,
56,MA,136,H,24,9,1783,GILLAM,BASA,GILLAM BASA,,16,4,1782,5,,"Lo 6,41",,,,,,,,,,,,,,,,,,
56,MA,137,I,24,9,1783,JOHN,AUSTIN,JOHN AUSTIN,,16,4,1782,5,,5021,,,,,,,,,,,,,,,,,,
56,MA,138,L,24,9,1783,WALTER,PERKIN,WALTER PERKIN,,16,4,1782,5,,,,,,,,,,,,,,,,,,,,
56,MA,139,A,25,9,1783,WILLIAM,VANS,WILLIAM VANS,,16,4,1782,5,,"Lo 144,1540",,,,,,,,,,,,,,,,,,
56,MA,140,B,25,9,1783,ICHABOD,HOWARD,ICHABOD HOWARD,,16,4,1782,2,45,,,,,,,,,,,,,,,,,,,
56,MA,141,C,25,9,1783,THOMAS,CULLER,THOMAS CULLER,,16,4,1782,5,,"Lo 97,1015",,,,,,,,,,,,,,,,,,
56,MA,142,H,25,9,1783,NATHAN,EATON,NATHAN EATON,,16,4,1782,5,,844,,,,,,,,,,,,,,,,,,
56,MA,143,I,25,9,1783,RICHARD,GARDNER,RICHARD GARDNER,,16,4,1782,6,22,Ro 5418,,,,,,,,,,,,,,,,,,
56,MA,144,L,25,9,1783,TIMOTHY,DEXTER,TIMOTHY DEXTER,,16,4,1782,8,67,Ro 6393,,,,,,,,,,,,,,,,,,
56,MA,145,A,25,9,1783,JOSHUA,BLANCHARD,JOSHUA BLANCHARD,,16,4,1782,5,,4038,,,,,,,,,,,,,,,,,,
56,MA,146,B,25,9,1783,ISAAC,SMITH,ISAAC SMITH,,16,4,1782,2,45,"Lo 73,322",,,,,,,,,,,,,,,,,,
56,MA,147,C,25,9,1783,JOSIAH,TORREY,JOSIAH TORREY,,16,4,1782,2,45,"Lo 246,2232",,,,,,,,,,,,,,,,,,
56,MA,148,N,25,9,1783,SAMUEL,NORTON,SAMUEL NORTON,,16,4,1782,5,,"Lo 89,661",,,,,,,,,,,,,,,,,,
56,MA,149,P,27,9,1783,PHINEAS,BORMAN,PHINEAS BORMAN,Cap,16,4,1782,10,56,"Lo 38,258",,,,,,,,,,,,,,,,,,
56,MA,150,R,27,9,1783,JOHN,CHILD,JOHN CHILD,,30,8,1782,80,47,Ro 5470,,,,,,,,,,,,,,,,,,
56,MA,151,A,27,9,1783,JOHN,GILL,JOHN GILL,,30,4,1783,59,82,Ro 6761,,,,,,,,,,,,,,,,,,
56,MA,152,B,27,9,1783,HADLEY,,HADLEY,,11,9,1781,159,15,,,,,,,,,,,,,,,,,,,
56,MA,153,L,29,9,1783,SAMUEL,NORTON,SAMUEL NORTON,,31,1,1782,296,67,"Lo 89,661",,,,,,,,,,,,,,,,,,
56,MA,154,A,2,10,1783,THOMAS,BURR,THOMAS BURR,,31,1,1782,75,14,"Lo 182,2052",,,,,,,,,,,,,,,,,,
56,MA,155,B,2,10,1783,JARED,BURR,JARED BURR,,31,1,1782,40,27,4878,,,,,,,,,,,,,,,,,,
56,MA,156,C,2,10,1783,DAVID,BURR,DAVID BURR,,31,1,1782,92,29,229,,,,,,,,,,,,,,,,,,
56,MA,157,H,3,10,1783,JOHN,BURR,JOHN BURR,,31,1,1782,132,26,N 54,,,,,,,,,,,,,,,,,,
56,MA,158,I,3,10,1783,AMOS,SPRAGUE,AMOS SPRAGUE,,31,1,1782,141,41,"Lo 119,1182",,,,,,,,,,,,,,,,,,
56,MA,159,L,3,10,1783,SAMUEL,BURR,SAMUEL BURR,,31,1,1782,41,55,4878,,,,,,,,,,,,,,,,,,
56,MA,160,A,3,10,1783,JACOB,LEAVITT,JACOB LEAVITT,,31,1,1782,253,59,"Lo 119,1132",,,,,,,,,,,,,,,,,,
56,MA,161,B,3,10,1783,JONATHAN,BURR,JONATHAN BURR,,31,1,1782,52,63,"Lo 6,72",,,,,,,,,,,,,,,,,,
56,MA,162,C,3,10,1783,MATHEW,CASHING,MATHEW CASHING,,31,1,1782,5,22,4878,,,,,,,,,,,,,,,,,,
56,MA,163,A,3,10,1783,SIMEON,JACKSON,SIMEON JACKSON,Cap,7,5,1782,41,31,"Lo 97,982",,,,,,,,,,,,,,,,,,
56,MA,164,H,3,10,1783,TIMOTHY,MOORE,TIMOTHY MOORE,,1,2,1781,10,84,"Lo 73,444",,,,,,,,,,,,,,,,,,
56,MA,165,I,3,10,1783,WILLIAM,MASS,WILLIAM MASS,,15,2,1781,33,7,"Lo 165,1800",,,,,,,,,,,,,,,,,,
56,MA,166,L,3,10,1783,WILLIAM,HAOWE,WILLIAM HAOWE,,1,2,1782,51,71,Ro 5098,Last name not sure,,,,,,,,,,,,,,,,,
56,MA,167,A,4,10,1783,JOHN,WHITE,JOHN WHITE,,25,2,1782,830,17,Ro 5098,,,,,,,,,,,,,,,,,,
56,MA,168,B,6,10,1783,JOHN,SPURR,JOHN SPURR,Major,1,9,1781,12,45,"Lo 38,193",,,,,,,,,,,,,,,,,,
57,MA,169,H,6,10,1783,ISAAC,TUCKERMAN,ISAAC TUCKERMAN,,11,6,1782,810,67,"Lo 97,982",,,,,,,,,,,,,,,,,,
57,MA,170,I,6,10,1783,WILLIAM,PHILLIPS,WILLIAM PHILLIPS,,3,3,1782,70,,"Lo 144,1604",,,,,,,,,,,,,,,,,,
57,MA,171,L,6,10,1783,BARTHOLOMEW,TUCKERMAN,BARTHOLOMEW TUCKERMAN,,7,5,1782,95,,Ro 5340,,,,,,,,,,,,,,,,,,
57,MA,172,A,6,10,1783,HATFIELD,WHITE,HATFIELD WHITE,,27,9,1781,376,84,,,,,,,,,,,,,,,,,,,
57,MA,173,C,7,10,1783,JOSHUA,WHITNEY,JOSHUA WHITNEY,,20,11,1778,15,7,Ro 6762,,,,,,,,,,,,,,,,,,
57,MA,174,H,7,10,1783,JOSIAH,GATES,JOSIAH GATES,,17,11,1778,15,7,,,,,,,,,,,,,,,,,,,
57,MA,175,I,7,10,1783,SAMUEL,COOK,SAMUEL COOK,,17,11,1778,30,14,Ro 5340,,,,,,,,,,,,,,,,,,
