Page,JPEG number,Number,Letter,Date of the Certificate Month,Day,Year,raw_first_name_1,raw_last_name_1,raw_name,Title,Time when the debt became due Month,Day2,Year2,Amount Dollars,90th,Total Dollars,Column,Line Strike Thorugh? Yes?,Note,Notes
,240,416,I,5,17,1787,WILLIAM,POWERS,WILLIAM POWERS,,3,18,1781,46,45,,,1,1850,
,240,417,L,5,17,1787,SAMUEL,CARROLL,SAMUEL CARROLL,,9,6,1780,110,30,Reg 6046,,1,RO,
,240,418,A,5,19,1787,JONATHAN,WELLS,JONATHAN WELLS,,9,6,1780,84,37,do 6238,,1,RO,
,240,419,B,5,19,1787,JOHN,GREER,JOHN GREER,,12,7,1776,12,,,,,,
,240,420,C,5,19,1787,GEORGE WINTER,,GEORGE WINTER,,12,8,1777,15,69,,,1,1850,
,240,421,H,5,22,1787,AARON,BUSH,AARON BUSH,,10,1,1783,186,56,Reg 5972,,1,RO,
,241,422,I,5,22,1787,MOSES BUSH & SONS,,MOSES BUSH & SONS,,4,1,1780,1096,59,Reg 5972,,1,RO,
,241,423,L,5,23,1787,MOSES,BUSH,MOSES BUSH,,4,1,1780,206,45,do 6510,,1,RO,
,241,424,A,5,24,1787,PHILIPS,MORTIMER,PHILIPS MORTIMER,,6,15,1777,120,75,,,1,"Lo 14,42",
,241,425,B,5,25,1787,JOHN,DOUGLASS,JOHN DOUGLASS,,9,22,1781,8,23,,,1,675,
,241,426,C,5,26,1787,SAMUEL,TUCKER,SAMUEL TUCKER,,8,31,1778,572,,Reg 5370 not formerly chaeked off when cancelled,,1,RO,
,241,427,H,5,26,1787,SAMUEL,TUCKER,,,12,27,1778,844,,Reg 5470 - do - do,,1,RO,
,241,428,I,5,26,1787,SAMUEL,TUCKER,,,12,27,1778,969,,Reg 5470 not marked when cancelled,,1,RO,
,241,429,L,5,26,1787,SAMUEL,TUCKER,,,8,5,1780,1043,87,do 5470 do - do,,1,RO,
,241,430,A,5,28,1787,JOHN,VICKERY,JOHN VICKERY,,1,24,1779,94,15,do 6591 interest not specified in rec,,1,RO,
,241,431,B,5,30,1787,CHRISTAIN,HANSON,CHRISTAIN HANSON,,4,1,1778,81,33,,,1,497,
,241,432,C,5,30,1787,SAMUEL,SALMON,SAMUEL SALMON,,4,15,1781,22,23,Reg 6179,,1,RO,
,242,433,H,6,4,1787,EDWARD,BOWEN,EDWARD BOWEN,,6,2,1777,48,40,,,1,"Lo 16,24",
,242,434,I,6,4,1787,WILLIAM BARNES,,WILLIAM BARNES,,7,12,1776,13,85,,,1,"Lo 16,24",
,242,435,L,6,4,1787,JOHN MC CARTIE,,JOHN MC CARTIE,,4,16,1776,18,,,,1,"Lo 16,24",
,242,436,A,6,4,1787,TIERNEY SMITH,,TIERNEY SMITH,,9,3,1777,137,47,,,1,"Lo 83,735",
,242,437,B,6,4,1787,JOHN,WILLIAMS,JOHN WILLIAMS,,9,14,1776,16,71,,,1,"Lo 16,124",
,242,438,C,6,4,1787,ABRAHAM VANDYKE,,ABRAHAM VANDYKE,,3,18,1781,147,4,,,1,"Lo 134,494",
,242,439,A,6,4,1787,THOMAS FLING,,THOMAS FLING,,3,15,1781,41,,Reg 6026,,1,RO,
,242,440,B,6,6,1787,JAMES,NICHOLSON,JAMES NICHOLSON,,7,22,1781,1000,,Reg 6393,,1,RO,Intarest Billed 22 July 1780
,242,441,C,6,6,1787,JAMES,NICHOLSON,,,7,22,1781,933,28,Reg 6393,,1,RO,Intarest Billed 22 July 1780
,242,442,H,6,6,1787,ZACHARIAH,BASSETT,ZACHARIAH BASSETT,,8,11,1782,278,8,Reg6755,,1,RO,Intarest Billed 26 August 1780
