child_id,child_name,state,in_post1790,error,parent_id,parent_ids_all,parent_name
Cole-22373,James Cole,NY,True,,Cole-9116,Cole-9116,Jonathan Cole
Cole-3580,Abraham Cole,NY,True,,Cole-3567,Cole-3567,Isaac Abrahamsen Cole
Comstock-2253,John Comstock,CT,True,,Comstock-1753,Comstock-1753,Samuel Comstock
Cook-34193,John Cook,PA,True,,Cook-34194,Cook-34194,William Cook
Cox-14810,Catherine Cox,NY,True,,Cox-14808,Cox-14808,John Cox
Cox-9378,Jacob Cox,VA,True,,Cox-4054,Cox-4054,Isaac Cox
Craig-3555,John Craig,PA,True,,Craig-3840,Craig-3840,James Craig
Craig-3949,James Craig,PA,True,,Craig-3893,Craig-3893,Robert Craig
Craig-8371,James Craig,VA,True,,Stuart-4857,Stuart-4857,Jean Craige
Cram-375,Joseph Cram,NH,True,,Cram-176,Cram-176,Benjamin Cram
Cram-386,Joseph Cram,NH,True,,Cram-178,Cram-178,Benjamin Cram
Crawford-656,William Crawford,PA,True,,Crawford-450,Crawford-450,John Crawford
Davenport-2104,James Davenport,CT,True,,Huntington-794,Huntington-794,Elizabeth Davenport
Davenport-2767,John Davenport,CT,True,,Huntington-794,Huntington-794,Elizabeth Davenport
Davidson-20835,James Davidson,PA,True,,Davidson-21308,Davidson-21308,William Davidson
Davidson-9525,James Davidson,PA,True,,Davidson-6076,Davidson-6076,John Davidson
Davis-107361,John Davis,PA,True,,Davis-60531,Davis-60531,William Davis
Davis-112813,John Davis,CT,True,,Davis-112812,Davis-112812,Aaron Davis
Davis-21935,Thomas Davis,VA,True,,Davis-19677,Davis-19677,William Davis
Davis-32982,William Davis,MA,True,,Davis-29889,Davis-29889,Benjamin Davis
Davis-35108,David Davis,CT,True,,Davis-14859,Davis-14859,Jonathan Davis
Davis-39026,William Davis,MA,True,,Davis-36861,Davis-36861,Moses Davis
Davison-6699,Elizabeth Allen,CT,True,,Davison-4470,Davison-4470,Phineas Davison
Denny-1470,Ebenezer Denny,PA,True,,Denny-1471,Denny-1471,William Denny
Dorsey-1675,Caleb Dorsey,MD,True,,Dorsey-787,Dorsey-787,Elizabeth Dorsey
Douglass-1772,Andrew Douglass,PA,True,,Douglas-4654,Douglas-4654,George Douglas
Douglass-2410,George Douglass,PA,True,,Douglas-4654,Douglas-4654,George Douglas
Dow-1038,John Dow,CT,True,,Dow-377,Dow-377,Benjamin Dow
Duncan-3338,Elizabeth Smith,PA,True,,Smith-48206,Smith-48206,Ann Duncan
Duncan-3343,James Duncan,PA,True,,Smith-48206,Smith-48206,Ann Duncan
Dyer-17081,Eliphalet Dyer,CT,True,,Dyer-11751,Dyer-11751,Thomas Dyer
Edwards-24501,Thomas Edwards,PA,True,,Foulke-31,Foulke-31,Martha Roberts
Elliott-19363,William Elliott,PA,True,,Wilson-120090,Wilson-120090,Jean Elliott
Evans-24165,David Evans,PA,True,,Evans-24166,Evans-24166,William Evans
Evans-304,David Evans,PA,True,,Evans-302,Evans-302,John Evans
Evans-31312,John Evans,PA,True,,Evans-19332,Evans-19332,Peter Evans
Evans-41428,John Evans,PA,True,,Evans-41276,Evans-41276,Evan Evans
Evans-41431,Nathan Evans,PA,True,,Evans-41276,Evans-41276,Evan Evans
Fisher-30133,Joshua Fisher,MA,True,,Fisher-33938,Fisher-33938,Nathaniel Fisher
Fisher-33931,John Fisher,MA,True,,Fisher-33938,Fisher-33938,Nathaniel Fisher
Fitch-3074,Samuel Fitch,CT,True,,Fitch-688,Fitch-688,Jabez Fitch
Fonda-232,John Fonda,NY,True,,Fonda-233,Fonda-233,Lawrence Fonda
Fonda-328,Abraham Fonda,NY,True,,Fonda-173,Fonda-173,John Fonda
Foote-1387,Martha Norton,NY,True,,Moss-1115,Moss-1115,Martha Thompson
Francis-5082,Thomas Francis,PA,True,,Francis-2692,Francis-2692,Tench Francis
Gale-1949,John Gale,MD,True,,Airey-135,Airey-135,Elizabeth Gale
Gale-1957,George Gale,MD,True,,Airey-135,Airey-135,Elizabeth Gale
Gallup-144,Isaac Gallup,CT,True,,Gallup-162,Gallup-162,Benadam Gallup
Garrigues-638,Elizabeth Smith,PA,True,,Garrigues-14,Garrigues-14,Isaac Garrigues
Gibson-32871,James Gibson,PA,True,,Gibson-32847,Gibson-32847,John Gibson
Gilman-1209,Samuel Gilman,NH,True,,Gilman-1018,Gilman-1018,Jonathan Gilman
Gilman-1647,Samuel Gilman,NH,True,,Gilman-1645,Gilman-1645,David Gilman
Goodwin-5263,Hezekiah Goodwin,CT,True,,Goodwin-2195,Goodwin-2195,John Goodwin
Goodwin-5266,Hezekiah Goodwin,CT,True,,Goodwin-2195,Goodwin-2195,John Goodwin
Gray-14595,Samuel Gray,CT,True,,Gray-14592,Gray-14592,Jonathan Gray
Gridley-412,Elijah Gridley,CT,True,,Gridley-147,Gridley-147,Elnathan Gridley
Griswold-1332,John Griswold,CT,True,,Gibbs-903,Gibbs-903,Hannah Griswold
Griswold-853,John Griswold,CT,True,,Griswold-585,Griswold-585,Daniel Griswold
Hale-1276,John Hale,CT,True,,Hale-1280,Hale-1280,James Hale
Hale-2608,Elisha Hale,CT,True,,Hale-2128,Hale-2128,Jonathan Hale
Hale-4550,John Hale,CT,True,,Hale-401,Hale-401,Richard Hale
Hale-7887,Josiah Hale,CT,True,,Hale-7872,Hale-7872,William Hale
Hall-14453,John Hall,CT,True,,Hall-14454,Hall-14454,David Hall
Hall-20602,John Hall,CT,True,,Johnson-25343,Johnson-25343,Sarah Johnson
Hall-319,Stephen Hall,CT,True,,Hall-6697,Hall-6697,Abner Hall
Hall-56463,Edward Hall,MD,True,,Hall-14922,Hall-14922,Aquilla Hall
Hall-65049,John Hall,CT,True,,Hall-65046,Hall-65046,Richard Hall
Hall-7232,John Hall,CT,True,,Hall-6697,Hall-6697,Abner Hall
Hall-8231,Joseph Hall,NH,True,,Hall-8233,Hall-8233,Johnathan Hall
Hancock-10241,John Hancock,MA,True,,Lowell-407,Lowell-407,Elizabeth Hancock
Hart-20582,Joseph Hart,PA,True,,Hart-20581,Hart-20581,William Hart
Hart-25797,John Hart,PA,True,,Means-1549,Means-1549,Jean Hart
Hart-2770,John Hart,PA,True,,Hart-2783,Hart-2783,Joseph Hart
Hart-4482,Joseph Hart,PA,True,,Means-1549,Means-1549,Jean Hart
Hart-5058,John Hart,PA,True,,Hart-304,Hart-304,William Hart
Hartman-1319,Peter Hartman,PA,True,,Hartman-1320,Hartman-1320,John Hartman
Hayes-14907,Mary Smith,PA,True,,Hayes-14906,Hayes-14906,George Hayes
Hayes-21509,Elizabeth Smith,PA,True,,Hayes-22966,Hayes-22966,Henry Hayes
Henderson-10872,Samuel Henderson,PA,True,,Henderson-14455,Henderson-14455,Thomas Henderson
Henry-15993,William Henry,PA,True,,Henry-18460,Henry-18460,John Henry
Hide-171,John Hyde,CT,True,,Hyde-3783,Hyde-3783,Joseph Hide
Higgins-2336,William Higgins,CT,True,,Higgins-2320,Higgins-2320,Samuel Higgins
Hine-1091,Daniel Hine,CT,True,,Beecher-686,Beecher-686;Hine-692,Lydia Hine
Hine-680,Abel Hine,CT,True,,Hine-679,Hine-679,Daniel Hine
Hooker-862,James Hooker,CT,True,,Hooker-2001,Hooker-2001,Noadiah Hooker
Horsey-85,Outerbridge Horsey,MD,True,,Horsey-108,Horsey-108,William Horsey
Hovey-1435,Jacob Hovey,CT,True,,Hovey-558,Hovey-558,Joseph Hovey
Hull-1984,Sarah Smith,CT,True,,Hull-1978,Hull-1978,Stephen Hull
Hunt-18787,John Hunt,MA,True,,Hunt-7736,Hunt-7736,William Hunt
Hunt-5892,John Hunt,MA,True,,Whitmarsh-32,Whitmarsh-32,Ruth Hunt
Hunter-16136,James Hunter,PA,True,,Ross-21142,Ross-21142,Susan Hunter
Huntington-1170,Andrew Huntington,CT,True,,Huntington-1225,Huntington-1225,Sarah Throop
Huntington-1393,Zachariah Huntington,CT,True,,Huntington-151,Huntington-151,Jabez Huntington
Huntington-2187,John Huntington,CT,True,,Eells-333,Eells-333,John Eells
Huntington-2204,Andrew Huntington,CT,True,,Denison-121,Denison-121,Elizabeth Huntington
Huntington-2246,Henry Huntington,CT,True,,Huntington-2244,Huntington-2244,Benjamin Huntington
Huntington-2859,Hannah Huntington,CT,True,,Huntington-144,Huntington-144,Joseph Huntington
Huntington-824,Jedediah Huntington,CT,True,,Huntington-151,Huntington-151,Jabez Huntington
Huntington-881,Hannah Huntington,CT,True,,Huntington-878,Huntington-878,Oliver Huntington
Hutton-446,Mary Smith,PA,True,,Hutton-2830,Hutton-2830,James Hutton
Hyde-4017,John Hyde,CT,True,,Hyde-4014,Hyde-4014,Simon Hyde
Irwin-4064,Nathaniel Irwin,PA,True,,Irwin-4065,Irwin-4065,George Irwin
Jamison-721,John Jamison,PA,True,,Jamison-1100,Jamison-1100,James Jamison
Johnson-106459,William Johnson,NY,True,,Brelsford-353,Brelsford-353,Mary Johnson
Johnson-109926,Seth Johnson,CT,True,,Johnson-59774,Johnson-59774,William Johnson
Johnson-31330,William Johnson,NY,True,,Wysen_Bergh-1,Wysen_Bergh-1,John Johnson
Johnson-38487,William Johnson,NY,True,,Johnson-38489,Johnson-38489,John Johnson
Johnson-56376,John Johnson,NY,True,,Smith-125701,Smith-125701,Jennie Johnson
Johnson-70474,Stephen Johnson,CT,True,,Johnson-25342,Johnson-25342,Moses Johnson
Johnston-17580,James Johnston,PA,True,,Johnston-17573,Johnston-17573,John Johnston
Jones-50540,John Jones,PA,True,,Jones-50541,Jones-50541,Joseph Jones
Jones-85829,William Jones,MA,True,,Jones-85825,Jones-85825,Isaac Jones
Judson-1160,Mary Judson,CT,True,,Judson-93,Judson-93,David Judson
Judson-668,Mary Judson,CT,True,,Judson-93,Judson-93,David Judson
Judson-830,David Judson,CT,True,,Judson-79,Judson-79,Agur Judson
Keeler-1428,Sarah Smith,CT,True,,Keeler-1295,Keeler-1295,Matthew Keeler
Keim-570,Catherine Miller,PA,True,,Keim-15,Keim-15,George Keim
Kellogg-3432,Martin Kellogg,CT,True,,Kellogg-1932,Kellogg-1932,Samuel Kellogg
Langdon-729,John Langdon,NH,True,,Hall-14649,Hall-14649,Mary Langdon
Lansdale-127,Thomas Lansdale,MD,True,,Crabb-256,Crabb-256,Elinor Lansdale
Lansing-277,Abraham Lansing,NY,True,,Cooper-11570,Cooper-11570;Lansing-206,Elizabeth Lansing
Lansing-343,Abraham Lansing,NY,True,,Lansing-290,Lansing-290,Catharina Douw
Lansing-405,Abraham Lansing,NY,True,,Lansing-256,Lansing-256,Johannes Lansing
Lansing-512,Abraham Lansing,NY,True,,Lansing-510,Lansing-510,Isaac Lansing
Lansing-534,Abraham Lansing,NY,True,,Lansing-533,Lansing-533;Van_der_Heyden-63,Levinus Lansing
Lansing-817,Abraham Lansing,NY,True,,Lansing-279,Lansing-279,Gerrit Lansing
Larrabee-1958,Timothy Larrabee,CT,True,,Larrabee-1519,Larrabee-1519,John Larrabee
Lascher-3,Catherine Miller,PA,True,,Lesher-242,Lesher-242,John Lesher
Lee-15337,Charles Lee,VA,True,,Lee-9806,Lee-9806,Richard Lee
Lee-20195,Elizabeth Allen,CT,True,,Lee-10605,Lee-10605,Jonathan Lee
Lee-4355,Thomas Lee,MA,True,,Lee-1461,Lee-1461,Joseph Lee
Lee-43695,Richard Lee,VA,True,,Lee-20569,Lee-20569,George Lee
Leffingwell-158,Christopher Leffingwell,CT,True,,Coit-59,Coit-59;Leffingwell-38,Elizabeth Leffingwell
Leffingwell-293,William Leffingwell,CT,True,,Coit-59,Coit-59;Leffingwell-38,Elizabeth Leffingwell
Lewis-13308,David Lewis,PA,True,,Lewis-6356,Lewis-6356,Nathan Lewis
Linton-2153,Elizabeth Smith,PA,True,,Moon-5418,Moon-5418,Mary Linton
Livingston-2677,Henry Livingston,NY,True,,Beekman-80,Beekman-80;Livingston-800,Margaret Livingston
Livingston-754,Robert Livingston,NY,True,,Beekman-80,Beekman-80;Livingston-800,Margaret Livingston
Long-36784,John Long,PA,True,,Long-36780,Long-36780,William Long
Lowenstein-356,Henry Livingston,NY,True,,Appel-365,Appel-365,Anna Lowenstein
MacCubbin-65,Charles MacCubbin,MD,True,,Carroll-5448,Carroll-5448,Mary MacCubbin
Marvin-1280,Elihu Marvin,CT,True,,Marvin-357,Marvin-357,Elisha Marvin
Mather-1024,Nathaniel Mather,CT,True,,Allyn-443,Allyn-443,Elizabeth Mather
Mather-1028,Oliver Mather,CT,True,,Allyn-443,Allyn-443,Elizabeth Mather
Mather-1171,Samuel Mather,CT,True,,Mather-198,Mather-198,Moses Mather
Mather-169,Joseph Mather,CT,True,,Mather-160,Mather-160,John Mather
Mather-440,Joseph Mather,CT,True,,Mather-198,Mather-198,Moses Mather
May-15743,Silas May,CT,True,,May-15742,May-15742,Thomas May
McDowell-7196,John McDowell,PA,True,,McDowell-5166,McDowell-5166,Willaim McDowell
McDowell-7384,John McDowell,PA,True,,McDowell-7385,McDowell-7385,James McDowell
Miller-1084,Jonathan Miller,CT,True,,Woodruff-21,Woodruff-21,Sarah Miller
Miller-19138,John Miller,PA,True,,Miller-19139,Miller-19139,Robert Miller
Miller-28945,John Miller,PA,True,,Mueller-2204,Mueller-2204,John Mueller
Miller-62210,William Miller,MD,True,,Miller-33058,Miller-33058,Samuel Miller
Miller-64142,John Miller,PA,True,,Miller-84985,Miller-84985,Jacob Miller
Miller-66906,Jonathan Miller,CT,True,,Miller-18699,Miller-18699,Ebenezer Miller
Miller-6781,John Miller,PA,True,,Miller-6785,Miller-6785,John Heinrich Miller
Miller-6782,Henry Miller,PA,True,,Miller-6785,Miller-6785,John Heinrich Miller
Miller-6908,Henry Miller,PA,True,,Miller-6910,Miller-6910,Jacob Miller
Miller-74450,Henry Miller,PA,True,,Frey-267,Frey-267,Elizabeth Miller
Miller-74485,John Miller,PA,True,,Frey-267,Frey-267,Elizabeth Miller
Miller-79041,Amos Miller,CT,True,,Miller-44937,Miller-44937,David Miller
Miller-83744,John Miller,PA,True,,Miller-35482,Miller-35482,Nicholas Miller
Miller-97967,John Miller,PA,True,,Wiley-725,Wiley-725,Magdalena Miller
Moore-55850,James Moore,PA,True,,Moore-44956,Moore-44956,William Moore
Moore-69035,James Moore,PA,True,,Moore-8339,Moore-8339,John Moore
Moore-9825,James Moore,PA,True,,Moore-9844,Moore-9844,John Moore
Morris-2630,Luke Morris,PA,True,,Morris-2587,Morris-2587,Samuel Morris
Morris-2634,Israel Morris,PA,True,,Morris-2587,Morris-2587,Samuel Morris
Morris-2687,Luke Morris,PA,True,,Hudson-1236,Hudson-1236,Elizabeth Morris
Morris-2708,John Morris,PA,True,,Morris-2706,Morris-2706,William Morris
Morris-3445,James Morris,PA,True,,Morris-11808,Morris-11808,Jonathan Morris
Morris-3606,John Morris,PA,True,,Morris-3593,Morris-3593,Thomas Morris
Morse-13816,Abel Morse,CT,True,,Dutton-4779,Dutton-4779,Mary Morse
Morse-479,Abel Morse,CT,True,,Morse-785,Morse-785,Daniel Morse
Moseley-4867,William Moseley,CT,True,,Moseley-4866,Moseley-4866,Increase Moseley
Muhlenberg-19,Henry Muhlenberg,PA,True,,Muhlenberg-10,Muhlenberg-10,Frederick Muhlenberg
Muir-1346,John Muir,MD,True,,Muir-1350,Muir-1350,James Muir
Norton-4103,Reuben Norton,CT,True,,Hooker-526,Hooker-526,Hannah Norton
Norton-9,John Norton,CT,True,,Norton-11,Norton-11,David Norton
Noyes-1763,Joseph Noyes,CT,True,,Noyes-1751,Noyes-1751,John Noyes
Ogden-1225,Aaron Ogden,NJ,True,,Ogden-372,Ogden-372,Robert Ogden
Orner-13,Elizabeth Smith,PA,True,,Orner-24,Orner-24,Valentine Orner
Palmer-15244,Sarah Brown,CT,True,,Palmer-15637,Palmer-15637,William Palmer
Parker-15992,John Parker,MA,True,,Parker-25125,Parker-25125,Joseph Parker
Parker-60400,John Parker,MA,True,,Parker-34787,Parker-34787,Moses Parker
Parsons-8045,Enoch Parsons,CT,True,,Parsons-7334,Parsons-7334,Samuel Parsons
Pattison-735,James Pattison,MD,True,,Pattison-777,Pattison-777,Jeremiah Pattison
Paul-11636,Thomas Paul,PA,True,,Paul-9420,Paul-9420,John Paul
Paul-3022,Thomas Paul,PA,True,,Paul-3020,Paul-3020,John Paul
Pechin-4,Christopher Pechin,PA,True,,Brecht-163,Brecht-163,Christiana Pechin
Peck-9181,John Peck,CT,True,,Sanford-4958,Sanford-4958,Abigail Peck
Peck-9303,John Peck,CT,True,,Peck-6503,Peck-6503,Nathan Peck
Perkins-1694,Jabez Perkins,CT,True,,Sperry-73,Sperry-73,Miriam Perkins
Perkins-5260,Elias Perkins,CT,True,,Burnham-1122,Burnham-1122,Joanna Perkins
Perkins-9759,Joseph Perkins,CT,True,,Burnham-1122,Burnham-1122,Joanna Perkins
Peters-13769,Mary Smith,PA,True,,Brientnall-10,Brientnall-10,Mary Peters
Phelps-5304,Josiah Phelps,CT,True,,Phelps-2092,Phelps-2092,John Phelps
Phelps-535,Hannah Huntington,CT,True,,Phelps-3522,Phelps-3522,Charles Phelps
Phillips-15970,John Phillips,PA,True,,Roberts-33943,Roberts-33943,Mary Phillips
Pierce-15085,John Pierce,CT,True,,Hart-8119,Hart-8119,Annie Pierce
Platt-1951,Asa Platt,CT,True,,Platt-1457,Platt-1457,Gideon Platt
Porter-12120,John Porter,CT,True,,Porter-5540,Porter-5540,Nathaniel Porter
Porter-13996,Robert Porter,PA,True,,Ross-15794,Ross-15794,Martha Porter
Porter-16295,Mary Porter,CT,True,,Porter-16292,Porter-16292,Nathaniel Porter
Porter-18451,Robert Porter,PA,True,,Ross-15794,Ross-15794,Martha Porter
Porter-22724,John Porter,CT,True,,Porter-452,Porter-452,Jonathan Porter
Porter-25894,William Porter,PA,True,,Porter-28209,Porter-28209,James Porter
Porter-29334,Andrew Porter,PA,True,,McDowell-271,McDowell-271;Porter-541,Elizabeth Porter
Porter-29335,William Porter,PA,True,,McDowell-271,McDowell-271;Porter-541,Elizabeth Porter
Porter-3106,Martha Williams,CT,True,,Porter-7654,Porter-7654,Nathaniel Porter
Porter-5608,William Porter,PA,True,,Porter-5610,Porter-5610,Robert Porter
Porter-5618,Robert Porter,PA,True,,McDowell-271,McDowell-271;Porter-541,Elizabeth Porter
Potter-8777,James Potter,PA,True,,Patterson-13892,Patterson-13892,Mary Potter
Pratt-10545,Jacob Pratt,CT,True,,Pratt-3789,Pratt-3789,Daniel Pratt
Ralston-2750,Robert Ralston,PA,True,,Miller-112470,Miller-112470,Catherine Ralston
Raymond-3162,Caleb Raymond,CT,True,,Raymond-3161,Raymond-3161,Edward Raymond
Raymond-3166,Sarah Raymond,CT,True,,Raymond-3161,Raymond-3161,Edward Raymond
Raymond-4782,Sarah Smith,CT,True,,Raymond-3161,Raymond-3161,Edward Raymond
Reed-14150,John Reed,PA,True,,Reed-14151,Reed-14151,Michael Reed
Reed-34228,John Reed,PA,True,,Pomeroy-143,Pomeroy-143,Mary Reed
Reed-4888,John Reed,PA,True,,Brotherton-931,Brotherton-931;Reed-29087,Mary Reed
Reith-216,John Reed,PA,True,,Reed-7729,Reed-7729,Peter Reed
Rhoads-1578,John Rhoads,PA,True,,Roth-5187,Roth-5187,Peter Rhoads
Rhoads-1625,John Rhoads,PA,True,,Rhoads-1068,Rhoads-1068,Jacob Rhoads
Richardson-7131,Susannah Richardson,MA,True,,Richardson-6108,Richardson-6108,Jonathan Richardson
Rieth-122,John Reed,PA,True,,Rieth-204,Rieth-204,Jacob Reed
Robbins-122,John Robbins,CT,True,,Robbins-120,Robbins-120,Joseph Robbins
Robbins-14025,John Robbins,CT,True,,Robbins-12267,Robbins-12267,Josiah Robins
Robbins-3938,Jacob Robbins,CT,True,,Robbins-7255,Robbins-7255,John Robbins
Robbins-8665,Esther Robbins,CT,True,,Robbins-8663,Robbins-8663,Samuel Robbins
Rogers-48556,William Rogers,CT,True,,Rogers-15347,Rogers-15347,David Rogers
Rogers-8691,Thomas Rogers,CT,True,,Rogers-3694,Rogers-3694,David Rogers
Roosevelt-337,Nicholas Roosevelt,NY,True,,Bogert-182,Bogert-182;Roosevelt-70,Annatje Roosevelt
Root-1991,Joseph Root,CT,True,,Root-312,Root-312,Timothy Root
Ross-19928,Robert Ross,PA,True,,James-10107,James-10107,Jane Ross
Rowland-11864,Alvey Rowland,CT,True,,Rowland-3315,Rowland-3315,David Rowland
Rowland-11865,Sherman Rowland,CT,True,,Rowland-3315,Rowland-3315,David Rowland
Rush-2591,William Rush,PA,True,,Rush-1816,Rush-1816,Joseph Rush
Russell-42828,Thomas Russell,MA,True,,Russell-12526,Russell-12526,Walter Russell
Sage-120,Joseph Sage,CT,True,,Sage-119,Sage-119,Solomon Sage
Sage-745,Joseph Sage,CT,True,,Sage-493,Sage-493,David Sage
Sage-747,Enoch Sage,CT,True,,Sage-493,Sage-493,David Sage
Sage-759,David Sage,CT,True,,Sage-747,Sage-747,Enoch Sage
Sage-783,Abner Sage,CT,True,,Sage-493,Sage-493,David Sage
Saltonstall-83,Gurdon Saltonstall,CT,True,,Saltonstall-6,Saltonstall-6,Winthrop Saltonstall
Schuyler-1315,Philip Schuyler,NY,True,,Schuyler-1313,Schuyler-1313,Brandt Schuyler
Schuyler-1325,Philip Schuyler,NY,True,,Schuyler-753,Schuyler-753,Stephanus Schuyler
Schuyler-363,Peter Schuyler,NY,True,,Schuyler-753,Schuyler-753,Stephanus Schuyler
Scott-1917,John Scott,PA,True,,Thompson-3497,Thompson-3497,Elizabeth Scott
Sheafe-29,James Sheafe,NH,True,,Sheafe-74,Sheafe-74,Jacob Sheafe
Simonton-335,John Simonton,PA,True,,Teague-2456,Teague-2456,Elizabeth Simonton
Smith-105838,Isaac Smith,CT,True,,Smith-105828,Smith-105828,Jonathan Smith
Smith-119288,Robert Smith,PA,True,,Buchanan-2732,Buchanan-2732,Elizabeth Smith
