raw_name,state,original_row,Face Value,Specie Value
WILLIAM GARDNER,NH,71,200,131.7444
WILLIAM GARDNER,NH,72,200,131.7444
WILLIAM GARDNER,NH,73,200,131.7444
WILLIAM GARDNER,NH,75,200,125.0
WILLIAM GARDNER,NH,76,200,125.0
WILLIAM GARDNER,NH,77,200,125.0
WILLIAM GARDNER,NH,201,200,72.9222
WILLIAM GARDNER,NH,202,200,72.9222
WILLIAM GARDNER,NH,203,200,72.9222
WILLIAM GARDNER,NH,204,200,72.9222
WILLIAM GARDNER,NH,205,200,72.9222
WILLIAM GARDNER,NH,206,200,72.9222
WILLIAM GARDNER,NH,207,200,72.9222
WILLIAM GARDNER,NH,208,200,72.9222
WILLIAM GARDNER,NH,209,200,72.9222
WILLIAM GARDNER,NH,210,200,72.9222
WILLIAM GARDNER,NH,211,200,72.9222
WILLIAM GARDNER,NH,212,200,72.9222
WILLIAM GARDNER,NH,213,200,72.9222
WILLIAM GARDNER,NH,214,200,72.9222
WILLIAM GARDNER,NH,215,200,72.9222
WILLIAM GARDNER,NH,216,200,72.9222
WILLIAM GARDNER,NH,217,200,72.9222
WILLIAM GARDNER,NH,218,200,72.9222
WILLIAM GARDNER,NH,220,200,72.9222
WILLIAM GARDNER,NH,221,200,72.9222
WILLIAM GARDNER,NH,253,200,54.2111
WILLIAM GARDNER,NH,255,200,54.2111
WILLIAM GARDNER,NH,680,300,197.6222
WILLIAM GARDNER,NH,684,300,187.5111
WILLIAM GARDNER,NH,750,300,109.3778
WILLIAM GARDNER,NH,751,300,109.3778
WILLIAM GARDNER,NH,752,300,109.3778
WILLIAM GARDNER,NH,753,300,109.3778
WILLIAM GARDNER,NH,754,300,109.3778
WILLIAM GARDNER,NH,755,300,109.3778
WILLIAM GARDNER,NH,756,300,109.3778
WILLIAM GARDNER,NH,757,300,109.3778
WILLIAM GARDNER,NH,758,300,109.3778
WILLIAM GARDNER,NH,759,300,109.3778
WILLIAM GARDNER,NH,760,300,109.3778
WILLIAM GARDNER,NH,761,300,109.3778
WILLIAM GARDNER,NH,762,300,109.3778
WILLIAM GARDNER,NH,763,300,109.3778
WILLIAM GARDNER,NH,764,300,109.3778
WILLIAM GARDNER,NH,1097,400,250.0111
WILLIAM GARDNER,NH,1227,400,145.8444
WILLIAM GARDNER,NH,1228,400,145.8444
WILLIAM GARDNER,NH,1229,400,145.8444
WILLIAM GARDNER,NH,1230,400,145.8444
WILLIAM GARDNER,NH,1231,400,145.8444
WILLIAM GARDNER,NH,1232,400,145.8444
WILLIAM GARDNER,NH,1233,400,145.8444
WILLIAM GARDNER,NH,1234,400,145.8444
WILLIAM GARDNER,NH,1235,400,145.8444
WILLIAM GARDNER,NH,1236,400,145.8444
WILLIAM GARDNER,NH,1237,400,145.8444
WILLIAM GARDNER,NH,1238,400,145.8444
WILLIAM GARDNER,NH,1239,400,145.8444
WILLIAM GARDNER,NH,1240,400,145.8444
WILLIAM GARDNER,NH,1241,400,145.8444
WILLIAM GARDNER,NH,1269,400,108.4222
WILLIAM GARDNER,NH,1480,500,444.5667
WILLIAM GARDNER,NH,1481,500,444.5667
WILLIAM GARDNER,NH,1495,500,329.3667
WILLIAM GARDNER,NH,1496,500,329.3667
WILLIAM GARDNER,NH,1497,500,329.3667
WILLIAM GARDNER,NH,1498,500,329.3667
WILLIAM GARDNER,NH,1499,500,329.3667
WILLIAM GARDNER,NH,1502,500,312.5111
WILLIAM GARDNER,NH,1503,500,312.5111
WILLIAM GARDNER,NH,1504,500,312.5111
WILLIAM GARDNER,NH,1505,500,312.5111
WILLIAM GARDNER,NH,1506,500,312.5111
WILLIAM GARDNER,NH,1547,500,182.2889
WILLIAM GARDNER,NH,1548,500,182.2889
WILLIAM GARDNER,NH,1549,500,182.2889
WILLIAM GARDNER,NH,1550,500,182.2889
WILLIAM GARDNER,NH,1551,500,182.2889
WILLIAM GARDNER,NH,1552,500,182.2889
WILLIAM GARDNER,NH,1553,500,182.2889
WILLIAM GARDNER,NH,1554,500,182.2889
WILLIAM GARDNER,NH,1555,500,182.2889
WILLIAM GARDNER,NH,1655,600,520.4444
WILLIAM GARDNER,NH,1656,600,520.4444
WILLIAM GARDNER,NH,1657,600,520.4444
WILLIAM GARDNER,NH,1658,600,520.4444
WILLIAM GARDNER,NH,1659,600,520.4444
WILLIAM GARDNER,NH,1821,1000,889.1333
WILLIAM GARDNER,NH,1822,1000,889.1333
WILLIAM GARDNER,NH,1823,1000,889.1333
WILLIAM GARDNER,NH,1824,1000,889.1333
WILLIAM GARDNER,NH,1825,1000,889.1333
WILLIAM GARDNER,NH,1826,1000,889.1333
WILLIAM GARDNER,NH,1827,1000,889.1333
WILLIAM GARDNER,NH,1828,1000,889.1333
WILLIAM GARDNER,NH,1829,1000,889.1333
WILLIAM GARDNER,NH,1864,1000,364.6111
WILLIAM RICHARDSON,MD,76801,400,33.2333
WILLIAM RICHARDSON,MD,76802,400,33.2333
WILLIAM RICHARDSON,MD,76815,1000,83.0833
WILLIAM RICHARDSON,MD,76816,1000,83.0833
WILLIAM RICHARDSON,MD,79248,200,5.0
