recon_id,six_percent_amt,deferred_amt,post_total,ratio_six,ratio_deferred,pre_total,expected_six_amt,expected_deferred_amt,in_ratio_tolerance
A1262:Z1262,122.7,61.35,184.05,0.6666666666666666,0.3333333333333333,300,200.0,100.0,True
A1265:Z1265,1446.09,723.04,2169.13,0.666668203381079,0.33333179661892093,3800,2533.333333333333,1266.6666666666665,True
A1272:Z1272,0.0,0.0,0.0,,,600,400.0,200.0,False
A1274:Z1274,906.15,453.08,1359.23,0.666664214297801,0.333335785702199,1000,666.6666666666666,333.3333333333333,True
A1290:Z1290,108.73,54.37,163.1,0.6666462293071735,0.33335377069282646,300,200.0,100.0,True
A1292:Z1292,35.17,17.59,52.760000000000005,0.6666034874905231,0.33339651250947683,200,133.33333333333331,66.66666666666666,True
A1293:Z1293,0.0,0.0,0.0,,,200,133.33333333333331,66.66666666666666,False
A1301:Z1301,158.2,79.09,237.29,0.6666947616840153,0.3333052383159847,1500,1000.0,500.0,True
A1306:Z1306,0.0,0.0,0.0,,,1000,666.6666666666666,333.3333333333333,False
A1307:Z1307,584.1,292.06,876.1600000000001,0.6666590577063549,0.33334094229364497,4500,3000.0,1500.0,True
A1309:Z1309,78.82,39.41,118.22999999999999,0.6666666666666666,0.3333333333333333,2000,1333.3333333333333,666.6666666666666,True
A1310:Z1310,934.67,467.34,1402.01,0.6666642891277522,0.33333571087224767,4400,2933.333333333333,1466.6666666666665,True
A1311:Z1311,507.22,253.61,760.83,0.6666666666666666,0.3333333333333333,7000,4666.666666666666,2333.333333333333,True
A1313:Z1313,1132.25,566.13,1698.38,0.6666647040120585,0.3333352959879414,1000,666.6666666666666,333.3333333333333,True
A1315:Z1315,279.24,139.61,418.85,0.6666825832636982,0.3333174167363018,4600,3066.6666666666665,1533.3333333333333,True
A1316:Z1316,971.4,485.7,1457.1,0.6666666666666667,0.33333333333333337,1600,1066.6666666666665,533.3333333333333,True
A1319:Z1319,6063.15,3031.57,9094.72,0.6666670331796911,0.333332966820309,200,133.33333333333331,66.66666666666666,True
A1331:Z1331,20.31,10.16,30.47,0.6665572694453561,0.3334427305546439,400,266.66666666666663,133.33333333333331,True
A1332:Z1332,3173.26,1586.64,4759.900000000001,0.6666652660770184,0.3333347339229816,4600,3066.6666666666665,1533.3333333333333,True
A1344:Z1344,825.55,412.78,1238.33,0.6666639748693806,0.33333602513061944,300,200.0,100.0,True
A1351:Z1351,22.5,11.25,33.75,0.6666666666666666,0.3333333333333333,600,400.0,200.0,True
A1354:Z1354,1880.5,940.25,2820.75,0.6666666666666666,0.3333333333333333,3000,2000.0,1000.0,True
A1358:Z1358,9473.03,4736.51,14209.54,0.6666669012508498,0.33333309874915024,12600,8400.0,4200.0,True
A1361:Z1361,0.0,0.0,0.0,,,1200,800.0,400.0,False
A1367:Z1367,0.0,0.0,0.0,,,1310,873.3333333333333,436.66666666666663,False
A1369:Z1369,1806.87,903.44,2710.31,0.666665436795053,0.3333345632049471,6000,4000.0,2000.0,True
A1374:Z1374,365.74,182.87,548.61,0.6666666666666666,0.3333333333333333,6000,4000.0,2000.0,True
A137:Z137,2823.24,1411.63,4234.87,0.6666650924349508,0.33333490756504924,1500,1000.0,500.0,True
A1390:Z1390,9062.79,4531.39,13594.18,0.6666669118696383,0.33333308813036167,23100,15400.0,7700.0,True
A1394:Z1394,40.67,20.34,61.010000000000005,0.6666120308146205,0.33338796918537944,700,466.66666666666663,233.33333333333331,True
A1397:Z1397,221.48,110.74,332.21999999999997,0.6666666666666667,0.33333333333333337,1900,1266.6666666666665,633.3333333333333,True
A1398:Z1398,17.56,8.78,26.339999999999996,0.6666666666666667,0.33333333333333337,700,466.66666666666663,233.33333333333331,True
A1401:Z1401,11815.0,5907.5,17722.5,0.6666666666666666,0.3333333333333333,8100,5400.0,2700.0,True
A140:Z140,600.0,300.0,900.0,0.6666666666666666,0.3333333333333333,1400,933.3333333333333,466.66666666666663,True
A1410:Z1410,2127.41,1063.7,3191.1099999999997,0.6666677112352756,0.33333228876472454,5500,3666.6666666666665,1833.3333333333333,True
A1411:Z1411,3364.9,1682.46,5047.360000000001,0.666665345844164,0.3333346541558359,1200,800.0,400.0,True
A1419:Z1419,56.21,28.11,84.32,0.6666271347248578,0.3333728652751423,1800,1200.0,600.0,True
A1423:Z1423,0.0,0.0,0.0,,,1300,866.6666666666666,433.3333333333333,False
A1427:Z1427,280.84,140.42,421.26,0.6666666666666666,0.3333333333333333,7700,5133.333333333333,2566.6666666666665,True
A1429:Z1429,64.97,32.48,97.44999999999999,0.6667008722421756,0.33329912775782455,1600,1066.6666666666665,533.3333333333333,True
A1440:Z1440,445.71,222.85,668.56,0.6666716525068804,0.33332834749311957,7100,4733.333333333333,2366.6666666666665,True
A144:Z144,436.03,218.02,654.05,0.6666615702163443,0.33333842978365574,1700,1133.3333333333333,566.6666666666666,True
A1452:Z1452,9926.08,4963.04,14889.119999999999,0.6666666666666667,0.33333333333333337,13000,8666.666666666666,4333.333333333333,True
A1456:Z1456,0.0,0.0,0.0,,,400,266.66666666666663,133.33333333333331,False
A1458:Z1458,230.62,115.31,345.93,0.6666666666666666,0.3333333333333333,300,200.0,100.0,True
A1466:Z1466,2202.48,2152.53,4355.01,0.5057347744322056,0.49426522556779434,23400,15600.0,7800.0,False
A146:Z146,10.41,5.21,15.620000000000001,0.6664532650448143,0.3335467349551856,600,400.0,200.0,True
A1474:Z1474,209.42,104.71,314.13,0.6666666666666666,0.3333333333333333,900,600.0,300.0,True
A1476:Z1476,4827.81,2413.91,7241.72,0.6666662063708622,0.3333337936291378,1500,1000.0,500.0,True
A1477:Z1477,0.0,0.0,0.0,,,600,400.0,200.0,False
A1483:Z1483,6104.77,4024.59,10129.36,0.6026807221779066,0.39731927782209336,1100,733.3333333333333,366.66666666666663,False
A1486:Z1486,3628.3,1814.72,5443.02,0.6665968524826291,0.3334031475173708,8700,5800.0,2900.0,True
A1487:Z1487,169.33,84.66,253.99,0.6666797905429348,0.3333202094570652,400,266.66666666666663,133.33333333333331,True
A1510:Z1510,126.2,63.1,189.3,0.6666666666666666,0.3333333333333333,3500,2333.333333333333,1166.6666666666665,True
A1516:Z1516,28.02,14.11,42.129999999999995,0.6650842629954902,0.3349157370045099,800,533.3333333333333,266.66666666666663,True
A1517:Z1517,4954.57,2477.29,7431.86,0.666666218147274,0.333333781852726,1400,933.3333333333333,466.66666666666663,True
A1537:Z1537,0.0,0.0,0.0,,,400,266.66666666666663,133.33333333333331,False
A1538:Z1538,2266.67,1133.33,3400.0,0.6666676470588235,0.33333235294117647,900,600.0,300.0,True
A1541:Z1541,1539.23,769.61,2308.84,0.6666681103930978,0.33333188960690213,2700,1800.0,900.0,True
A1543:Z1543,4817.31,2408.65,7225.960000000001,0.6666671279663878,0.3333328720336121,14900,9933.333333333332,4966.666666666666,True
A1545:Z1545,1005.0,502.5,1507.5,0.6666666666666666,0.3333333333333333,300,200.0,100.0,True
A154:Z154,172.88,86.44,259.32,0.6666666666666666,0.3333333333333333,3600,2400.0,1200.0,True
A1551:Z1551,1183.71,0.0,1183.71,1.0,0.0,4200,2800.0,1400.0,False
A1556:Z1556,0.0,0.0,0.0,,,1000,666.6666666666666,333.3333333333333,False
A155:Z155,4130.98,2065.49,6196.469999999999,0.6666666666666666,0.3333333333333333,4200,2800.0,1400.0,True
A1560:Z1560,0.0,602.5,602.5,0.0,1.0,200,133.33333333333331,66.66666666666666,False
A1561:Z1561,23683.07,14259.26,37942.33,0.6241859685475298,0.3758140314524701,1300,866.6666666666666,433.3333333333333,False
A1563:Z1563,497.43,248.72,746.15,0.6666621992896871,0.33333780071031294,3200,2133.333333333333,1066.6666666666665,True
A1566:Z1566,733.48,366.74,1100.22,0.6666666666666666,0.3333333333333333,2600,1733.3333333333333,866.6666666666666,True
A1571:Z1571,6273.37,3136.72,9410.09,0.6666641870587847,0.3333358129412152,8300,5533.333333333333,2766.6666666666665,True
A1573:Z1573,81.95,40.98,122.93,0.6666395509639632,0.33336044903603673,300,200.0,100.0,True
A1574:Z1574,634.28,317.14,951.42,0.6666666666666666,0.3333333333333333,300,200.0,100.0,True
A1581:Z1581,6419.34,3209.68,9629.02,0.6666659743151432,0.33333402568485676,900,600.0,300.0,True
A1583:Z1583,2.62,1.32,3.9400000000000004,0.6649746192893401,0.3350253807106599,12700,8466.666666666666,4233.333333333333,True
A1584:Z1584,738.38,369.19,1107.57,0.6666666666666667,0.33333333333333337,10200,6800.0,3400.0,True
A1600:Z1600,3768.67,1884.34,5653.01,0.6666660770103007,0.33333392298969927,1300,866.6666666666666,433.3333333333333,True
A1605:Z1605,7.71,3.86,11.57,0.6663785652549697,0.33362143474503025,200,133.33333333333331,66.66666666666666,True
A1606:Z1606,279.53,139.76,419.28999999999996,0.6666746166137996,0.3333253833862005,600,400.0,200.0,True
A1608:Z1608,1089.73,544.47,1634.2,0.6668278056541427,0.3331721943458573,400,266.66666666666663,133.33333333333331,True
A1610:Z1610,8.07,4.04,12.11,0.666391412056152,0.33360858794384807,200,133.33333333333331,66.66666666666666,True
A1620:Z1620,14.3,7.16,21.46,0.6663560111835974,0.3336439888164026,200,133.33333333333331,66.66666666666666,True
A162:Z162,164.65,82.32,246.97,0.6666801635826214,0.3333198364173786,600,400.0,200.0,True
A1633:Z1633,89.13,44.57,133.7,0.6666417352281226,0.33335826477187736,500,333.3333333333333,166.66666666666666,True
A1642:Z1642,0.0,0.0,0.0,,,1000,666.6666666666666,333.3333333333333,False
A1644:Z1644,283.26,141.62,424.88,0.6666823573714931,0.3333176426285069,300,200.0,100.0,True
A164:Z164,811.84,405.92,1217.76,0.6666666666666667,0.33333333333333337,300,200.0,100.0,True
A1650:Z1650,989.87,494.93,1484.8,0.6666689116379311,0.333331088362069,11600,7733.333333333333,3866.6666666666665,True
A1653:Z1653,504.74,252.37,757.11,0.6666666666666666,0.3333333333333333,800,533.3333333333333,266.66666666666663,True
A1656:Z1656,178.5,89.25,267.75,0.6666666666666666,0.3333333333333333,500,333.3333333333333,166.66666666666666,True
A165:Z165,727.54,363.77,1091.31,0.6666666666666666,0.3333333333333333,6200,4133.333333333333,2066.6666666666665,True
A1661:Z1661,113.69,56.84,170.53,0.6666862135694599,0.3333137864305401,400,266.66666666666663,133.33333333333331,True
A1667:Z1667,8.77,4.39,13.16,0.6664133738601823,0.3335866261398176,3200,2133.333333333333,1066.6666666666665,True
A1668:Z1668,4000.0,2000.0,6000.0,0.6666666666666666,0.3333333333333333,2500,1666.6666666666665,833.3333333333333,True
A1673:Z1673,195.05,97.52,292.57,0.6666780599514647,0.3333219400485354,800,533.3333333333333,266.66666666666663,True
A1674:Z1674,74.88,37.45,112.33,0.6666073177245615,0.33339268227543845,10900,7266.666666666666,3633.333333333333,True
A1676:Z1676,10997.59,5498.79,16496.38,0.6666668687312004,0.33333313126879954,2000,1333.3333333333333,666.6666666666666,True
A1678:Z1678,172.49,86.24,258.73,0.6666795501101535,0.3333204498898465,1900,1266.6666666666665,633.3333333333333,True
A1686:Z1686,4172.11,586.06,4758.17,0.8768307983951813,0.12316920160481865,1500,1000.0,500.0,False
A1687:Z1687,431.05,215.52,646.57,0.6666718220764959,0.333328177923504,2800,1866.6666666666665,933.3333333333333,True
A168:Z168,53.38,26.69,80.07000000000001,0.6666666666666666,0.3333333333333333,1000,666.6666666666666,333.3333333333333,True
A1695:Z1695,2654.03,1327.18,3981.21,0.6666390368757238,0.3333609631242763,500,333.3333333333333,166.66666666666666,True
A1701:Z1701,0.0,0.0,0.0,,,1400,933.3333333333333,466.66666666666663,False
A1711:Z1711,1603.58,801.79,2405.37,0.6666666666666666,0.3333333333333333,300,200.0,100.0,True
A1717:Z1717,1304.7,652.35,1957.0500000000002,0.6666666666666666,0.3333333333333333,500,333.3333333333333,166.66666666666666,True
A1718:Z1718,131.34,65.67,197.01,0.6666666666666667,0.33333333333333337,300,200.0,100.0,True
A1720:Z1720,0.0,0.0,0.0,,,500,333.3333333333333,166.66666666666666,False
A1721:Z1721,56.33,28.16,84.49,0.6667061190673452,0.3332938809326548,1000,666.6666666666666,333.3333333333333,True
A1722:Z1722,391.29,195.65,586.94,0.6666609874944628,0.33333901250553716,400,266.66666666666663,133.33333333333331,True
A1723:Z1723,53.77,26.88,80.65,0.6667079975201488,0.3332920024798512,700,466.66666666666663,233.33333333333331,True
A1726:Z1726,675.98,337.99,1013.97,0.6666666666666666,0.3333333333333333,5900,3933.333333333333,1966.6666666666665,True
A172:Z172,3143.9,1571.95,4715.85,0.6666666666666666,0.3333333333333333,600,400.0,200.0,True
A1733:Z1733,0.0,0.0,0.0,,,500,333.3333333333333,166.66666666666666,False
A1734:Z1734,5785.52,2892.76,8678.28,0.6666666666666666,0.3333333333333333,86800,57866.666666666664,28933.333333333332,True
A1736:Z1736,792.12,396.06,1188.18,0.6666666666666666,0.3333333333333333,1700,1133.3333333333333,566.6666666666666,True
A1747:Z1747,51.96,25.98,77.94,0.6666666666666667,0.33333333333333337,600,400.0,200.0,True
A1748:Z1748,123.36,61.69,185.05,0.6666306403674682,0.3333693596325317,20800,13866.666666666666,6933.333333333333,True
A1753:Z1753,68.8,34.4,103.19999999999999,0.6666666666666667,0.33333333333333337,1300,866.6666666666666,433.3333333333333,True
A1756:Z1756,2502.42,629.24,3131.66,0.7990714189918446,0.20092858100815544,900,600.0,300.0,False
A1763:Z1763,2829.8,1414.9,4244.700000000001,0.6666666666666666,0.3333333333333333,2500,1666.6666666666665,833.3333333333333,True
A176:Z176,0.0,0.0,0.0,,,300,200.0,100.0,False
A1775:Z1775,24.1,12.06,36.160000000000004,0.6664823008849557,0.33351769911504425,2300,1533.3333333333333,766.6666666666666,True
A1783:Z1783,219.58,109.79,329.37,0.6666666666666667,0.33333333333333337,400,266.66666666666663,133.33333333333331,True
A1786:Z1786,666.63,333.32,999.95,0.6666633331666583,0.3333366668333416,1100,733.3333333333333,366.66666666666663,True
A1789:Z1789,686.58,343.29,1029.8700000000001,0.6666666666666666,0.3333333333333333,900,600.0,300.0,True
A178:Z178,90.78,45.39,136.17000000000002,0.6666666666666666,0.3333333333333333,1300,866.6666666666666,433.3333333333333,True
A1794:Z1794,12231.43,6115.72,18347.15,0.6666664849854064,0.3333335150145935,14400,9600.0,4800.0,True
A1796:Z1796,41.81,20.21,62.02,0.6741373750403096,0.32586262495969043,400,266.66666666666663,133.33333333333331,False
A17:Z17,1325.68,662.85,1988.5300000000002,0.6666633141064001,0.33333668589359977,700,466.66666666666663,233.33333333333331,True
A1804:Z1804,172.44,86.24,258.68,0.6666151229318076,0.3333848770681923,700,466.66666666666663,233.33333333333331,True
A1806:Z1806,67.48,33.74,101.22,0.6666666666666667,0.33333333333333337,200,133.33333333333331,66.66666666666666,True
A1808:Z1808,363.72,181.86,545.58,0.6666666666666666,0.3333333333333333,500,333.3333333333333,166.66666666666666,True
A1809:Z1809,0.0,0.0,0.0,,,300,200.0,100.0,False
A1811:Z1811,2109.61,1054.82,3164.4300000000003,0.6666635065398824,0.33333649346011757,1300,866.6666666666666,433.3333333333333,True
A1814:Z1814,177.49,88.75,266.24,0.6666541466346154,0.3333458533653846,1100,733.3333333333333,366.66666666666663,True
A1820:Z1820,191.02,784.56,975.5799999999999,0.19580147194489433,0.8041985280551057,200,133.33333333333331,66.66666666666666,False
A1823:Z1823,356.5,178.26,534.76,0.66665420001496,0.33334579998504,200,133.33333333333331,66.66666666666666,True
A182:Z182,470.44,235.22,705.66,0.6666666666666667,0.33333333333333337,1800,1200.0,600.0,True
A1831:Z1831,1331.1,665.55,1996.6499999999999,0.6666666666666666,0.3333333333333333,300,200.0,100.0,True
A1833:Z1833,121.73,60.87,182.6,0.6666484118291348,0.3333515881708653,1900,1266.6666666666665,633.3333333333333,True
A1834:Z1834,210.58,105.29,315.87,0.6666666666666667,0.33333333333333337,4000,2666.6666666666665,1333.3333333333333,True
A1842:Z1842,224.38,112.19,336.57,0.6666666666666666,0.3333333333333333,500,333.3333333333333,166.66666666666666,True
A1848:Z1848,834.18,417.08,1251.26,0.6666719946294135,0.33332800537058643,3000,2000.0,1000.0,True
A1849:Z1849,211.38,105.69,317.07,0.6666666666666666,0.3333333333333333,900,600.0,300.0,True
A1852:Z1852,1606.96,803.49,2410.45,0.6666639009313614,0.33333609906863865,7100,4733.333333333333,2366.6666666666665,True
A1856:Z1856,5094.64,2547.32,7641.960000000001,0.6666666666666666,0.3333333333333333,6200,4133.333333333333,2066.6666666666665,True
A1860:Z1860,3780.52,1890.3,5670.82,0.6666619642309225,0.3333380357690775,500,333.3333333333333,166.66666666666666,True
A1861:Z1861,459.06,229.54,688.6,0.6666569851873366,0.3333430148126634,2800,1866.6666666666665,933.3333333333333,True
A1862:Z1862,5831.67,2915.83,8747.5,0.6666670477279223,0.3333329522720777,1100,733.3333333333333,366.66666666666663,True
A1863:Z1863,0.0,0.0,0.0,,,600,400.0,200.0,False
A1867:Z1867,0.0,0.0,0.0,,,800,533.3333333333333,266.66666666666663,False
A1868:Z1868,443.9,221.95,665.8499999999999,0.6666666666666667,0.33333333333333337,1000,666.6666666666666,333.3333333333333,True
A1871:Z1871,2812.63,1406.37,4219.0,0.6666579758236549,0.33334202417634506,200,133.33333333333331,66.66666666666666,True
A1874:Z1874,11.81,5.9,17.71,0.6668548842461886,0.3331451157538114,200,133.33333333333331,66.66666666666666,True
A1879:Z1879,0.0,0.0,0.0,,,500,333.3333333333333,166.66666666666666,False
A187:Z187,307.8,153.9,461.70000000000005,0.6666666666666666,0.3333333333333333,1600,1066.6666666666665,533.3333333333333,True
A1881:Z1881,12396.79,6198.39,18595.18,0.6666668459245891,0.333333154075411,8100,5400.0,2700.0,True
A1882:Z1882,532.54,266.27,798.81,0.6666666666666666,0.3333333333333333,1000,666.6666666666666,333.3333333333333,True
A1890:Z1890,345.5,172.75,518.25,0.6666666666666666,0.3333333333333333,1000,666.6666666666666,333.3333333333333,True
A1896:Z1896,91.68,45.84,137.52,0.6666666666666666,0.3333333333333333,400,266.66666666666663,133.33333333333331,True
A1906:Z1906,0.0,0.0,0.0,,,1400,933.3333333333333,466.66666666666663,False
A1907:Z1907,104.12,52.06,156.18,0.6666666666666666,0.3333333333333333,4200,2800.0,1400.0,True
A1910:Z1910,894.3,447.15,1341.4499999999998,0.6666666666666667,0.33333333333333337,500,333.3333333333333,166.66666666666666,True
A1911:Z1911,640.89,320.43,961.3199999999999,0.6666770690300836,0.3333229309699164,300,200.0,100.0,True
A1914:Z1914,11878.05,5939.03,17817.079999999998,0.6666664795802679,0.3333335204197321,1500,1000.0,500.0,True
A1915:Z1915,121.52,60.75,182.26999999999998,0.6667032424425303,0.33329675755746974,500,333.3333333333333,166.66666666666666,True
A1917:Z1917,37.69,18.84,56.53,0.6667256324075711,0.3332743675924288,1400,933.3333333333333,466.66666666666663,True
A1924:Z1924,616.41,308.12,924.53,0.6667279590710956,0.33327204092890444,11900,7933.333333333333,3966.6666666666665,True
A1926:Z1926,1600.0,800.0,2400.0,0.6666666666666666,0.3333333333333333,12200,8133.333333333333,4066.6666666666665,True
A1930:Z1930,856.56,428.28,1284.84,0.6666666666666666,0.3333333333333333,2200,1466.6666666666665,733.3333333333333,True
A1939:Z1939,2755.24,1377.62,4132.86,0.6666666666666666,0.3333333333333333,11100,7400.0,3700.0,True
A1946:Z1946,15.88,7.95,23.830000000000002,0.6663869072597566,0.33361309274024337,500,333.3333333333333,166.66666666666666,True
A1951:Z1951,280.69,140.35,421.03999999999996,0.666658749762493,0.33334125023750716,700,466.66666666666663,233.33333333333331,True
A1953:Z1953,397.52,198.76,596.28,0.6666666666666666,0.3333333333333333,10900,7266.666666666666,3633.333333333333,True
A1963:Z1963,337.16,168.58,505.74,0.6666666666666667,0.33333333333333337,1900,1266.6666666666665,633.3333333333333,True
A1965:Z1965,671.16,335.57,1006.73,0.6666732887666007,0.3333267112333992,300,200.0,100.0,True
A1966:Z1966,1200.0,600.0,1800.0,0.6666666666666666,0.3333333333333333,400,266.66666666666663,133.33333333333331,True
A1969:Z1969,175.27,87.64,262.91,0.6666539880567495,0.33334601194325053,1000,666.6666666666666,333.3333333333333,True
A1975:Z1975,89.25,44.63,133.88,0.6666417687481326,0.33335823125186737,28300,18866.666666666664,9433.333333333332,True
A1978:Z1978,160.66,80.34,241.0,0.6666390041493776,0.3333609958506224,4000,2666.6666666666665,1333.3333333333333,True
A1980:Z1980,110.22,55.11,165.32999999999998,0.6666666666666667,0.33333333333333337,1000,666.6666666666666,333.3333333333333,True
A1981:Z1981,66.23,33.12,99.35,0.6666331152491194,0.3333668847508807,14500,9666.666666666666,4833.333333333333,True
A1988:Z1988,4.89,2.45,7.34,0.6662125340599455,0.33378746594005454,500,333.3333333333333,166.66666666666666,True
A1990:Z1990,2080.28,1040.14,3120.42,0.6666666666666667,0.33333333333333337,5200,3466.6666666666665,1733.3333333333333,True
A1993:Z1993,40.18,20.09,60.269999999999996,0.6666666666666667,0.33333333333333337,1100,733.3333333333333,366.66666666666663,True
A1996:Z1996,275.7,137.85,413.54999999999995,0.6666666666666667,0.33333333333333337,7200,4800.0,2400.0,True
A1997:Z1997,33.2,16.6,49.800000000000004,0.6666666666666666,0.3333333333333333,400,266.66666666666663,133.33333333333331,True
A1999:Z1999,104.71,52.37,157.07999999999998,0.6666030048382989,0.33339699516170107,21100,14066.666666666666,7033.333333333333,True
A2002:Z2002,689.81,344.91,1034.72,0.666663445183238,0.33333655481676205,1300,866.6666666666666,433.3333333333333,True
A2006:Z2006,1708.21,854.54,2562.75,0.6665535069749293,0.33344649302507073,4500,3000.0,1500.0,True
A2007:Z2007,490.15,245.08,735.23,0.6666621329379921,0.3333378670620078,400,266.66666666666663,133.33333333333331,True
A2010:Z2010,862.69,431.34,1294.03,0.6666692425987033,0.3333307574012967,1200,800.0,400.0,True
