row_id,Name,Fn_Fix,Ln_Fix,new_town,county,new_state,country,geo_level,Name_Fix
133,Jeremiah Mason,Jeremiah,Mason,Lebanon,Windham County,CT,US,town,Jeremiah Mason
134,Edmund Wells,Edmund,Wells,,,NY,US,state,Edmund Wells
135,Simeon Huntington | Simon Huntington,Simeon,Huntington,Norwich,New London County,CT,US,town,Simeon Huntington | Simon Huntington
136,Simeon Huntington | Simon Huntington,Simon,Huntington,Norwich,New London County,CT,US,town,Simeon Huntington | Simon Huntington
137,James Hyde,James,Hyde,Norwich,New London County,CT,US,town,James Hyde
138,Mehitabel Waterman,Mehitabel,Waterman,Norwich,New London County,CT,US,town,Mehitabel Waterman
139,Abigail Robbins,Abigail,Robbins,Wethersfield,Hartford County,CT,US,town,Abigail Robbins
140,Elijah Robbins,Elijah,Robbins,Wethersfield,Hartford County,CT,US,town,Elijah Robbins
141,Oliver Goodrich,Oliver,Goodrich,Wethersfield,Hartford County,CT,US,town,Oliver Goodrich
142,Josiah Allyn,Josiah,Allyn,Windsor,Hartford County,CT,US,town,Josiah Allyn
143,Daniel Bennett,Daniel,Bennett,Shelton,Fairfield County,CT,US,town,Daniel Bennett
144,Jesse Bolles,Jesse,Bolles,Woodstock,Windham County,CT,US,town,Jesse Bolles
145,Samuel Frary,Samuel,Frary,Middletown,Middlesex County,CT,US,town,Samuel Frary
146,Joseph Badcock,Joseph,Badcock,Windham,Windham County,CT,US,town,Joseph Badcock
147,Elias Mason,Elias,Mason,Woodstock,Windham County,CT,US,town,Elias Mason
148,Abel Patchen,Abel,Patchen,Sharon,Litchfield County,CT,US,town,Abel Patchen
149,Jeremiah Platt,Jeremiah,Platt,New Haven,New Haven County,CT,US,town,Jeremiah Platt
150,Nathan Weed,Nathan,Weed,Stamford,Fairfield County,CT,US,town,Nathan Weed
151,Anne Brooker,Anne,Brooker,Stamford,Fairfield County,CT,US,town,Anne Brooker
152,Comfort Clock | Comfrot Clock,Comfort,Clock,Stamford,Fairfield County,CT,US,town,Comfort Clock | Comfrot Clock
153,Comfort Clock | Comfrot Clock,Comfrot,Clock,Stamford,Fairfield County,CT,US,town,Comfort Clock | Comfrot Clock
154,David Hoyt,David,Hoyt,Stamford,Fairfield County,CT,US,town,David Hoyt
155,Thaddeus Weed,Thaddeus,Weed,Stamford,Fairfield County,CT,US,town,Thaddeus Weed
156,David Waterbury,David,Waterbury,Stamford,Fairfield County,CT,US,town,David Waterbury
157,Nathaniel Webb,Nathaniel,Webb,Stamford,Fairfield County,CT,US,town,Nathaniel Webb
158,Samuel Hutton,Samuel,Hutton,Stamford,Fairfield County,CT,US,town,Samuel Hutton
159,Smith Weed,Smith,Weed,Stamford,Fairfield County,CT,US,town,Smith Weed
160,William Higgins,William,Higgins,East Lyme,New London County,CT,US,town,William Higgins
161,Robert C Johnson,Robert C,Johnson,Stratford,Fairfield County,CT,US,town,Robert C Johnson
162,Hezekiah Chaffee,Hezekiah,Chaffee,Windsor,Hartford County,CT,US,town,Hezekiah Chaffee
163,John Chaffee,John,Chaffee,Windsor,Hartford County,CT,US,town,John Chaffee
164,Joseph Colton | Joseph Cotton,Joseph,Colton,Hartford,Hartford County,CT,US,town,Joseph Colton | Joseph Cotton
165,Joseph Colton | Joseph Cotton,Joseph,Cotton,Hartford,Hartford County,CT,US,town,Joseph Colton | Joseph Cotton
166,Jeremiah Ripley,Jeremiah,Ripley,Coventry,Tolland County,CT,US,town,Jeremiah Ripley
167,Josiah Phelps,Josiah,Phelps,Windsor,Hartford County,CT,US,town,Josiah Phelps
168,Nehemiah Child,Nehemiah,Child,Woodstock,Windham County,CT,US,town,Nehemiah Child
169,Nehemiah Child | Nehemiah Child Society Treasurer | Nehemiah Child Treasurer and Co,Nehemiah,Child,Woodstock,Windham County,CT,US,town,Nehemiah Child
170,Phineas Lewis,Phineas,Lewis,Farmington,Hartford County,CT,US,town,Phineas Lewis
171,Silas Mary Treasurer and Co | Silas May | Silas May Proprietors Treasurer,Silas,Mary,Woodstock,Windham County,CT,US,town,Silas Mary | Silas May
172,Silas Mary Treasurer and Co | Silas May | Silas May Proprietors Treasurer,Silas,May,Woodstock,Windham County,CT,US,town,Silas Mary | Silas May
173,Samuel Doggett,Samuel,Doggett,Coventry,Tolland County,CT,US,town,Samuel Doggett
174,Elijah House,Elijah,House,Coventry,Tolland County,CT,US,town,Elijah House
175,Samuel Williams,Samuel,Williams,Brooklyn,Windham County,CT,US,town,Samuel Williams
176,John Chenevard,John,Chenevard,Hartford,Hartford County,CT,US,town,John Chenevard
177,John Deshon,John,Deshon,New London,New London County,CT,US,town,John Deshon
178,Christopher Leffingwell,Christopher,Leffingwell,Norwich,New London County,CT,US,town,Christopher Leffingwell
179,David Rowland,David,Rowland,Windsor,Hartford County,CT,US,town,David Rowland
180,Norman Butler,Norman,Butler,Hartford,Hartford County,CT,US,town,Norman Butler
181,Sherman Rowland,Sherman,Rowland,Windsor,Hartford County,CT,US,town,Sherman Rowland
