row_id,old,new,type,state
114,"{'Charlestown', 'Chalestown'}",Charlestown,town,RI
115,"{'North Kingston', 'North Kingstone'}",North Kingstone,town,RI
116,"{'North Kingstown', 'North Kingston'}",North Kingstown,town,RI
117,"{'Smithfield', 'Smithfeild'}",Smithfield,town,RI
118,"{'Camden', 'Camden Planter'}",Camden Planter,town,SC
119,"{'Pee Dee', 'Peedee'}",Pee Dee,town,SC
120,"{'Long Cane', 'Long Cames'}",Long Cames,town,SC
121,"{'Charlestom', 'Charleston'}",Charlestom,town,SC
122,"{'as Executor to John Couturier', 'as Executor to Henry Coram'}",as Executor to John Couturier,occupation,SC
123,"{'as Executor Ely Kershaw', 'Planter as Executor Ely Kershaw'}",Planter as Executor Ely Kershaw,occupation,SC
124,"{'Executor Philip Hawkins', 'Philip Hawkins'}",Executor Philip Hawkins,occupation,SC
125,"{'as Guardian to Mary Deborah L. Gowdey', 'Guardian to Mary Deborah L. Gowdey'}",as Guardian to Mary Deborah L. Gowdey,occupation,SC
126,"{'Merchants', 'Charleston Merchants'}",Charleston Merchants,occupation,SC
