row_id,state,town_original,town_preprocessed,new_town,county,new_state,match_method
111,MD,Somerset County Maryland,Somerset County,Somerset County,Somerset County,MD,crosswalk_county_name
112,MD,George Town,George Town,Georgetown,Cecil County,MD,fuzzy_city_name
113,MD,Frederick Town,Frederick Town,Frederick,Frederick County,MD,fuzzy_city_name
114,MD,Baltimore Town,Baltimore Town,Baltimore,Baltimore County,MD,fuzzy_city_name
115,MD,George town,George town,Georgetown,Cecil County,MD,fuzzy_city_name
116,NC,Edenton,Edenton,Edenton,Chowan County,NC,crosswalk_primary_city
117,NC,Fayetteville,Fayetteville,Fayetteville,Cumberland County,NC,crosswalk_primary_city
118,NC,Washington,Washington,Washington,Beaufort County,NC,crosswalk_primary_city
119,NC,Hillsborough,Hillsborough,Hillsborough,Orange County,NC,crosswalk_primary_city
120,NC,Wayne County,Wayne County,Wayne County,Wayne County,NC,crosswalk_county_name
121,NC,Rowan County,Rowan County,Rowan County,Rowan County,NC,crosswalk_county_name
122,NC,Warren County,Warren County,Warren County,Warren County,NC,crosswalk_county_name
123,NC,Perquimans County,Perquimans County,Perquimans County,Perquimans County,NC,crosswalk_county_name
124,NC,Mecklenburg County,Mecklenburg County,Mecklenburg County,Mecklenburg County,NC,crosswalk_county_name
125,NC,Edgecombe County,Edgecombe County,Edgecombe County,Edgecombe County,NC,crosswalk_county_name
126,NC,Pitt County,Pitt County,Pitt County,Pitt County,NC,crosswalk_county_name
127,NC,Currituck County,Currituck County,Currituck County,Currituck County,NC,crosswalk_county_name
128,NC,Rockingham County,Rockingham County,Rockingham County,Rockingham County,NC,crosswalk_county_name
129,NC,Tarborugh,Tarboro,Tarboro,Edgecombe County,NC,fuzzy_city_name
130,NC,Halifax,Halifax,Halifax,Halifax County,NC,fuzzy_city_name
131,NC,Halifax ,Halifax,Halifax,Halifax County,NC,fuzzy_city_name
132,NH,Exeter,Exeter,Exeter,Rockingham County,NH,crosswalk_primary_city
133,NH,Deerfield,Deerfield,Deerfield,Rockingham County,NH,crosswalk_primary_city
134,NH,Greenland,Greenland,Greenland,Rockingham County,NH,crosswalk_primary_city
135,NH,Hampton,Hampton,Hampton,Rockingham County,NH,crosswalk_primary_city
136,NH,North Hampton,North Hampton,North Hampton,Rockingham County,NH,crosswalk_primary_city
137,NH,Candia,Candia,Candia,Rockingham County,NH,crosswalk_primary_city
138,NH,Salem,Salem,Salem,Rockingham County,NH,crosswalk_primary_city
139,NH,New Castle,New Castle,New Castle,Rockingham County,NH,crosswalk_primary_city
140,NH,Pelham,Pelham,Pelham,Hillsborough County,NH,crosswalk_primary_city
141,NH,Barrington,Barrington,Barrington,Strafford County,NH,crosswalk_primary_city
142,NH,Tamworth,Tamworth,Tamworth,Carroll County,NH,crosswalk_primary_city
143,NH,Amherst,Amherst,Amherst,Hillsborough County,NH,crosswalk_primary_city
144,NH,Acworth,Acworth,Acworth,Sullivan County,NH,crosswalk_primary_city
145,NH,Somersworth,Somersworth,Somersworth,Strafford County,NH,crosswalk_primary_city
146,NH,Nottingham,Nottingham,Nottingham,Rockingham County,NH,crosswalk_primary_city
147,NH,Charlestown,Charlestown,Charlestown,Sullivan County,NH,crosswalk_primary_city
148,NH,Durham,Durham,Durham,Strafford County,NH,crosswalk_primary_city
149,NH,Hollis,Hollis,Hollis,Hillsborough County,NH,crosswalk_primary_city
150,NH,Dover,Dover,Dover,Strafford County,NH,crosswalk_primary_city
151,NH,Keene,Keene,Keene,Cheshire County,NH,crosswalk_primary_city
152,NH,Rye,Rye,Rye,Rockingham County,NH,crosswalk_primary_city
153,NH,Kensington,Kensington,Kensington,Rockingham County,NH,crosswalk_acceptable_city
154,NH,Sandwich,Sandwich,Sandwich,Carroll County,NH,crosswalk_acceptable_city
155,NH,South Hampton,South Hampton,South Hampton,Rockingham County,NH,crosswalk_acceptable_city
156,NH,Wakefield,Wakefield,Wakefield,Carroll County,NH,crosswalk_acceptable_city
157,NH,Alexandria,Alexandria,Alexandria,Grafton County,NH,crosswalk_acceptable_city
158,NH,Charleston State of New Hampshire,Charleston,Charlestown,Sullivan County,NH,fuzzy_city_name
159,NH,Portsmouth,Portsmouth,Portsmouth,Rockingham County,NH,fuzzy_city_name
160,NH,Merrimac,Merrimac,Merrimack,Hillsborough County,NH,fuzzy_city_name
161,NH,Kingstown,Kingstown,Kingston,Rockingham County,NH,fuzzy_city_name
162,NH,Marbury,Marbury,Madbury,Strafford County,NH,fuzzy_city_name
163,NH,Newtown,Newtown,Newton,Rockingham County,NH,fuzzy_city_name
164,NH,Londonberry,Londonberry,Londonderry,Rockingham County,NH,fuzzy_city_name
165,NH,Newport in New Hampshire,Newport in,Newport,Sullivan County,NH,fuzzy_city_name
166,NH,Rockingham,Rockingham County,Rockingham County,Rockingham County,NH,crosswalk_county_name
167,NJ,Brunswick New Jersey,Brunswick,New Brunswick,Middlesex County,NJ,fuzzy_city_name
168,NJ,Cape May New Jersey,Cape May,Cape May,Cape May County,NJ,fuzzy_city_name
169,NJ,Cape May,Cape May,Cape May,Cape May County,NJ,fuzzy_city_name
170,NJ,New Brunswick New Jersey,New Brunswick,New Brunswick,Middlesex County,NJ,fuzzy_city_name
171,NJ,Mount Holley New Jersey,Mount Holley,Mount Holly,Burlington County,NJ,fuzzy_city_name
172,NJ,Middlesex New Jersey,Middlesex,Middlesex,Middlesex County,NJ,fuzzy_city_name
173,NJ,Newton Township New Jersey,Newton Township,Newton,Sussex County,NJ,fuzzy_city_name
174,NJ,Monmouth County New Jersey,Monmouth County,Monmouth County,Monmouth County,NJ,crosswalk_county_name
175,PA,Bethlehem,Bethlehem,Bethlehem,Northampton County,PA,crosswalk_primary_city
176,PA,Montgomery,Montgomery,Montgomery,Lycoming County,PA,crosswalk_primary_city
177,PA,Philadelphia County,Philadelphia County,Philadelphia County,Philadelphia County,PA,crosswalk_county_name
178,PA,Franklin County,Franklin County,Franklin County,Franklin County,PA,crosswalk_county_name
179,PA,Bucks County,Bucks County,Bucks County,Bucks County,PA,crosswalk_county_name
180,PA,Montgomery County,Montgomery County,Montgomery County,Montgomery County,PA,crosswalk_county_name
181,PA,Berks County,Berks County,Berks County,Berks County,PA,crosswalk_county_name
182,PA,Dauphin County,Dauphin County,Dauphin County,Dauphin County,PA,crosswalk_county_name
183,PA,Allegheny County,Allegheny County,Allegheny County,Allegheny County,PA,crosswalk_county_name
184,PA,Westmoreland County,Westmoreland County,Westmoreland County,Westmoreland County,PA,crosswalk_county_name
185,PA,Lancaster County,Lancaster County,Lancaster County,Lancaster County,PA,crosswalk_county_name
186,PA,Northumberland County,Northumberland County,Northumberland County,Northumberland County,PA,crosswalk_county_name
187,PA,Northampton County,Northampton County,Northampton County,Northampton County,PA,crosswalk_county_name
188,PA,York County,York County,York County,York County,PA,crosswalk_county_name
189,PA,Delaware County,Delaware County,Delaware County,Delaware County,PA,crosswalk_county_name
190,PA,Bedford County,Bedford County,Bedford County,Bedford County,PA,crosswalk_county_name
191,PA,Armstrong,Armstrong,Armstrong,Lycoming County,PA,crosswalk_acceptable_city
192,PA,Bucks County Pennsylvania,Bucks County,Bucks County,Bucks County,PA,crosswalk_county_name
193,PA,Dauphin County Pennsylvania,Dauphin County,Dauphin County,Dauphin County,PA,crosswalk_county_name
194,PA,Allegheny County Pennsylvania,Allegheny County,Allegheny County,Allegheny County,PA,crosswalk_county_name
195,PA,Berks County Pennsylvania,Berks County,Berks County,Berks County,PA,crosswalk_county_name
196,PA,Pennsylvania Montgomery County,Montgomery County,Montgomery County,Montgomery County,PA,crosswalk_county_name
197,PA,Franklin County Pennsylvania,Franklin County,Franklin County,Franklin County,PA,crosswalk_county_name
198,PA,Lancaster County Pennsylvania,Lancaster County,Lancaster County,Lancaster County,PA,crosswalk_county_name
199,PA,Fayette County Pennsylvania,Fayette County,Fayette County,Fayette County,PA,crosswalk_county_name
200,PA,Delaware County Pennsylvania,Delaware County,Delaware County,Delaware County,PA,crosswalk_county_name
201,PA,Northampton County Pennsylvania,Northampton County,Northampton County,Northampton County,PA,crosswalk_county_name
202,PA,York County Pennsylvania,York County,York County,York County,PA,crosswalk_county_name
203,PA,Westmoreland County Pennsylvania,Westmoreland County,Westmoreland County,Westmoreland County,PA,crosswalk_county_name
204,PA,Montgomery County Pennsylvania,Montgomery County,Montgomery County,Montgomery County,PA,crosswalk_county_name
205,PA,Northumberland County Pennsylvania,Northumberland County,Northumberland County,Northumberland County,PA,crosswalk_county_name
206,PA,Carlisle Pennsylvania,Carlisle,Carlisle,Cumberland County,PA,fuzzy_city_name
207,PA,Germantown,Germantown,New Germantown,Perry County,PA,fuzzy_city_name
208,PA,Westmoreland,Westmoreland,Westmoreland City,Westmoreland County,PA,fuzzy_city_name
209,PA,Reading,Reading,Reading,Berks County,PA,fuzzy_city_name
210,PA,Reading Pennsylvania,Reading,Reading,Berks County,PA,fuzzy_city_name
211,PA,Reading Berks County,Reading Berks County,Reading,Berks County,PA,fuzzy_city_name
212,PA,Lancaster,Lancaster,Lancaster,Lancaster County,PA,fuzzy_city_name
213,PA,Lancaster Pennsylvania,Lancaster,Lancaster,Lancaster County,PA,fuzzy_city_name
214,PA,The N Lib of Philadelphia,The N Lib of Philadelphia,Philadelphia,Philadelphia County,PA,fuzzy_city_name
215,PA,Pittsburgh Pennsylvania,Pittsburgh,Pittsburgh,Allegheny County,PA,fuzzy_city_name
216,PA,Pittsburgh,Pittsburgh,Pittsburgh,Allegheny County,PA,fuzzy_city_name
217,PA,Chambersburgh Pennsylvania,Chambersburgh,Chambersburg,Franklin County,PA,fuzzy_city_name
218,PA,Frankford Philadelphia County,Frankford Philadelphia County,Philadelphia,Philadelphia County,PA,fuzzy_city_name
219,PA,Dauphincoy Pennsylvania,Dauphin,Dauphin,Dauphin County,PA,fuzzy_city_name
220,PA,Dauphin and Company,Dauphin and Company,Dauphin,Dauphin County,PA,fuzzy_city_name
221,PA,Hatter Philadelphia,Hatter Philadelphia,Philadelphia,Philadelphia County,PA,fuzzy_city_name
222,PA,Kensington,Kensington,New Kensington,Westmoreland County,PA,fuzzy_city_name
223,PA,Blockley,Philadelphia,Philadelphia,Philadelphia County,PA,fuzzy_city_name
224,PA,Northan Liberties,Philadelphia,Philadelphia,Philadelphia County,PA,fuzzy_city_name
225,PA,Borden Town,Philadelphia,Philadelphia,Philadelphia County,PA,fuzzy_city_name
226,PA,Passyunk,Philadelphia,Philadelphia,Philadelphia County,PA,fuzzy_city_name
227,PA,Northern Liberties,Philadelphia,Philadelphia,Philadelphia County,PA,fuzzy_city_name
228,PA,German Town,Philadelphia,Philadelphia,Philadelphia County,PA,fuzzy_city_name
229,PA,The Northern Libert,Philadelphia,Philadelphia,Philadelphia County,PA,fuzzy_city_name
230,PA,Southwark,Philadelphia,Philadelphia,Philadelphia County,PA,fuzzy_city_name
231,PA,Sunbury Pennsylvania,Sunbury,Sunbury,Northumberland County,PA,fuzzy_city_name
232,PA,Church on Philadelphia,Church on Philadelphia,Philadelphia,Philadelphia County,PA,fuzzy_city_name
233,PA,Philadelphila,Philadelphila,Philadelphia,Philadelphia County,PA,fuzzy_city_name
234,PA,York Town,York Town,York,York County,PA,fuzzy_city_name
235,RI,Providence,Providence,Providence,Providence County,RI,crosswalk_primary_city
236,RI,Warren,Warren,Warren,Bristol County,RI,crosswalk_primary_city
237,RI,East Greenwich,East Greenwich,East Greenwich,Kent County,RI,crosswalk_primary_city
238,RI,Johnston,Johnston,Johnston,Providence County,RI,crosswalk_primary_city
239,RI,Coventry,Coventry,Coventry,Kent County,RI,crosswalk_primary_city
240,RI,Cumberland,Cumberland,Cumberland,Providence County,RI,crosswalk_primary_city
241,RI,North Providence,North Providence,North Providence,Providence County,RI,crosswalk_primary_city
242,RI,Foster,Foster,Foster,Providence County,RI,crosswalk_primary_city
243,RI,Warwick,Warwick,Warwick,Kent County,RI,crosswalk_primary_city
244,RI,Bristol,Bristol,Bristol,Bristol County,RI,crosswalk_primary_city
245,RI,Smithfield,Smithfield,Smithfield,Providence County,RI,crosswalk_primary_city
246,RI,Barrington,Barrington,Barrington,Bristol County,RI,crosswalk_primary_city
247,RI,Cranston,Cranston,Cranston,Providence County,RI,crosswalk_primary_city
248,RI,Charlestown,Charlestown,Charlestown,Washington County,RI,crosswalk_primary_city
249,RI,West Greenwich,West Greenwich,West Greenwich,Kent County,RI,crosswalk_primary_city
250,RI,Portsmouth,Portsmouth,Portsmouth,Newport County,RI,crosswalk_primary_city
251,RI,Exeter,Exeter,Exeter,Washington County,RI,crosswalk_primary_city
252,RI,Tiverton,Tiverton,Tiverton,Newport County,RI,crosswalk_primary_city
253,RI,North Kingstown,North Kingstown,North Kingstown,Washington County,RI,crosswalk_primary_city
254,RI,Newport State of Rhode Island,Newport,Newport,Newport County,RI,fuzzy_city_name
255,RI,Newport,Newport,Newport,Newport County,RI,fuzzy_city_name
256,RI,Scituate,Scituate,North Scituate,Providence County,RI,fuzzy_city_name
257,RI,South Kingston,South Kingston,Kingston,Washington County,RI,fuzzy_city_name
258,RI,South Kingstone,South Kingstone,Kingston,Washington County,RI,fuzzy_city_name
259,RI,Johnson,Johnson,Johnston,Providence County,RI,fuzzy_city_name
260,RI,North Kingston,North Kingston,North Kingstown,Washington County,RI,fuzzy_city_name
261,RI,Stoughton now of Providence,Stoughton now  Providence,Providence,Providence County,RI,fuzzy_city_name
262,SC,Georgetown,Georgetown,Georgetown,Georgetown County,SC,crosswalk_primary_city
263,SC,Camden,Camden,Camden,Kershaw County,SC,crosswalk_primary_city
264,SC,Columbia,Columbia,Columbia,Richland County,SC,crosswalk_primary_city
265,SC,Abbeville,Abbeville,Abbeville,Abbeville County,SC,crosswalk_primary_city
266,SC,Dorchester,Dorchester,Dorchester,Dorchester County,SC,crosswalk_primary_city
267,SC,St Helena,St Helena,St Helena,Beaufort County,SC,crosswalk_acceptable_city
268,SC,Charleston,Charleston,Charleston,Charleston County,SC,fuzzy_city_name
269,SC,Charleston  South Carolina,Charleston,Charleston,Charleston County,SC,fuzzy_city_name
270,SC,Camden Planter,Camden Planter,Camden,Kershaw County,SC,fuzzy_city_name
271,SC,St Johns,St Johns,Johns Island,Charleston County,SC,fuzzy_city_name
272,SC,Charlestom,Charlestom,Charleston,Charleston County,SC,fuzzy_city_name
273,MA,Boston,Boston,Boston,Suffolk County,MA,crosswalk_primary_city
274,MA,Pittsfield,Pittsfield,Pittsfield,Berkshire County,MA,crosswalk_primary_city
275,MA,Andover,Andover,Andover,Essex County,MA,crosswalk_primary_city
276,MA,Salem,Salem,Salem,Essex County,MA,crosswalk_primary_city
277,MA,Beverly,Beverly,Beverly,Essex County,MA,crosswalk_primary_city
278,MA,Ipswich,Ipswich,Ipswich,Essex County,MA,crosswalk_primary_city
279,MA,Rowley,Rowley,Rowley,Essex County,MA,crosswalk_primary_city
280,MA,Haverhill,Haverhill,Haverhill,Essex County,MA,crosswalk_primary_city
281,MA,Stoughton,Stoughton,Stoughton,Norfolk County,MA,crosswalk_primary_city
282,MA,Roxbury,Roxbury,Roxbury,Suffolk County,MA,crosswalk_primary_city
283,MA,Rehoboth,Rehoboth,Rehoboth,Bristol County,MA,crosswalk_primary_city
284,MA,Dighton,Dighton,Dighton,Bristol County,MA,crosswalk_primary_city
285,MA,Littleton,Littleton,Littleton,Middlesex County,MA,crosswalk_primary_city
286,MA,Sutton,Sutton,Sutton,Worcester County,MA,crosswalk_primary_city
287,MA,Ludlow,Ludlow,Ludlow,Hampden County,MA,crosswalk_primary_city
288,MA,Somerset,Somerset,Somerset,Bristol County,MA,crosswalk_primary_city
289,MA,Swansea,Swansea,Swansea,Bristol County,MA,crosswalk_primary_city
290,MA,Bridgewater,Bridgewater,Bridgewater,Plymouth County,MA,crosswalk_primary_city
291,MA,Dudley,Dudley,Dudley,Worcester County,MA,crosswalk_primary_city
292,MA,Westport,Westport,Westport,Bristol County,MA,crosswalk_primary_city
293,MA,Norton,Norton,Norton,Bristol County,MA,crosswalk_primary_city
294,MA,Sturbridge MA,Sturbridge,Sturbridge,Worcester County,MA,fuzzy_city_name
295,MA,Tyringham MA,Tyringham,Tyringham,Berkshire County,MA,fuzzy_city_name
296,MA,Tyringham Massachusetts,Tyringham,Tyringham,Berkshire County,MA,fuzzy_city_name
297,MA,Hadley Massachusetts,Hadley,Hadley,Hampshire County,MA,fuzzy_city_name
298,MA,Boston state Massachusetts,Boston state,Boston,Suffolk County,MA,fuzzy_city_name
299,MA,Worcester State Massachusetts,Worcester,Worcester,Worcester County,MA,fuzzy_city_name
300,MA,Granby Massachusetts,Granby,Granby,Hampshire County,MA,fuzzy_city_name
301,MA,Long Meadow Massachusetts,Long Meadow,Longmeadow,Hampden County,MA,fuzzy_city_name
302,MA,Newbury Port,Newbury Port,Newbury,Essex County,MA,fuzzy_city_name
303,MA,Situate,Situate,Scituate,Plymouth County,MA,fuzzy_city_name
304,MA,Almsbury,Almsbury,Amesbury,Essex County,MA,fuzzy_city_name
305,MA,Cambridge,Cambridge,Cambridge,Middlesex County,MA,fuzzy_city_name
306,MA,Cambridge Massachusetts,Cambridge,Cambridge,Middlesex County,MA,fuzzy_city_name
307,MA,North Hampton,North Hampton,Northampton,Hampshire County,MA,fuzzy_city_name
308,MA,Liecester,Liecester,Leicester,Worcester County,MA,fuzzy_city_name
309,MA,Grafton Massachusetts,Grafton,Grafton,Worcester County,MA,fuzzy_city_name
310,MA,Attleborough,Attleborough,Attleboro,Bristol County,MA,fuzzy_city_name
311,MA,Falmouth Massachusetts,Falmouth,Falmouth,Barnstable County,MA,fuzzy_city_name
312,MA,Chesterfield Massachusetts,Chesterfield,Chesterfield,Hampshire County,MA,fuzzy_city_name
313,MA,Freetown,Freetown,East Freetown,Bristol County,MA,fuzzy_city_name
314,VA,Alexandria State of Virginia,Alexandria  of,Alexandria,Fairfax County,VA,fuzzy_city_name
315,VA,Richmond Virginia,Richmond,Richmond,Chesterfield County,VA,fuzzy_city_name
316,VA,Petersburg Virginia,Petersburg,Petersburg,Grant County,VA,fuzzy_city_name
317,VA,Alexandria Virginia,Alexandria,Alexandria,Fairfax County,VA,fuzzy_city_name
318,VA,Fredericksburg Virginia,Fredericksburg,Fredericksburg,Spotsylvania County,VA,fuzzy_city_name
319,VA,Accomack County Virginia,Accomack County,Accomac,Accomack County,VA,fuzzy_city_name
320,VA,King George Co Virginia,King George Co,King George,King George County,VA,fuzzy_city_name
321,VA,Williamsburgh,Williamsburgh,Williamsburg,James City County,VA,fuzzy_city_name
322,SC,Charleston South Carolina,Charleston South Carolina,Charleston,Charleston County,SC,manual_override
