child_id,child_name,state,in_post1790,error,parent_id,parent_ids_all,parent_name,multi_parent
Marvin-1280,Elihu Marvin,CT,True,,Marvin-357,Marvin-357,Elisha Marvin,False
Mather-1024,Nathaniel Mather,CT,True,,Allyn-443,Allyn-443,Elizabeth Mather,False
Mather-1028,Oliver Mather,CT,True,,Allyn-443,Allyn-443,Elizabeth Mather,False
Mather-1171,Samuel Mather,CT,True,,Mather-198,Mather-198,Moses Mather,False
Mather-169,Joseph Mather,CT,True,,Mather-160,Mather-160,John Mather,False
Mather-440,Joseph Mather,CT,True,,Mather-198,Mather-198,Moses Mather,False
May-15743,Silas May,CT,True,,May-15742,May-15742,Thomas May,False
McDowell-7196,John McDowell,PA,True,,McDowell-5166,McDowell-5166,Willaim McDowell,False
McDowell-7384,John McDowell,PA,True,,McDowell-7385,McDowell-7385,James McDowell,False
Miller-1084,Jonathan Miller,CT,True,,Woodruff-21,Woodruff-21,Sarah Miller,False
Miller-19138,John Miller,PA,True,,Miller-19139,Miller-19139,Robert Miller,False
Miller-28945,John Miller,PA,True,,Mueller-2204,Mueller-2204,John Mueller,False
Miller-62210,William Miller,MD,True,,Miller-33058,Miller-33058,Samuel Miller,False
Miller-64142,John Miller,PA,True,,Miller-84985,Miller-84985,Jacob Miller,False
Miller-66906,Jonathan Miller,CT,True,,Miller-18699,Miller-18699,Ebenezer Miller,False
Miller-6781,John Miller,PA,True,,Miller-6785,Miller-6785,John Heinrich Miller,False
Miller-6782,Henry Miller,PA,True,,Miller-6785,Miller-6785,John Heinrich Miller,False
Miller-6908,Henry Miller,PA,True,,Miller-6910,Miller-6910,Jacob Miller,False
Miller-74450,Henry Miller,PA,True,,Frey-267,Frey-267,Elizabeth Miller,False
Miller-74485,John Miller,PA,True,,Frey-267,Frey-267,Elizabeth Miller,False
Miller-79041,Amos Miller,CT,True,,Miller-44937,Miller-44937,David Miller,False
Miller-83744,John Miller,PA,True,,Miller-35482,Miller-35482,Nicholas Miller,False
Miller-97967,John Miller,PA,True,,Wiley-725,Wiley-725,Magdalena Miller,False
Moore-55850,James Moore,PA,True,,Moore-44956,Moore-44956,William Moore,False
Moore-69035,James Moore,PA,True,,Moore-8339,Moore-8339,John Moore,False
Moore-9825,James Moore,PA,True,,Moore-9844,Moore-9844,John Moore,False
Morris-2630,Luke Morris,PA,True,,Morris-2587,Morris-2587,Samuel Morris,False
Morris-2634,Israel Morris,PA,True,,Morris-2587,Morris-2587,Samuel Morris,False
Morris-2687,Luke Morris,PA,True,,Hudson-1236,Hudson-1236,Elizabeth Morris,False
Morris-2708,John Morris,PA,True,,Morris-2706,Morris-2706,William Morris,False
Morris-3445,James Morris,PA,True,,Morris-11808,Morris-11808,Jonathan Morris,False
Morris-3606,John Morris,PA,True,,Morris-3593,Morris-3593,Thomas Morris,False
Morse-13816,Abel Morse,CT,True,,Dutton-4779,Dutton-4779,Mary Morse,False
Morse-479,Abel Morse,CT,True,,Morse-785,Morse-785,Daniel Morse,False
Moseley-4867,William Moseley,CT,True,,Moseley-4866,Moseley-4866,Increase Moseley,False
Muhlenberg-19,Henry Muhlenberg,PA,True,,Muhlenberg-10,Muhlenberg-10,Frederick Muhlenberg,False
Muir-1346,John Muir,MD,True,,Muir-1350,Muir-1350,James Muir,False
Norton-4103,Reuben Norton,CT,True,,Hooker-526,Hooker-526,Hannah Norton,False
Norton-9,John Norton,CT,True,,Norton-11,Norton-11,David Norton,False
Noyes-1763,Joseph Noyes,CT,True,,Noyes-1751,Noyes-1751,John Noyes,False
Ogden-1225,Aaron Ogden,NJ,True,,Ogden-372,Ogden-372,Robert Ogden,False
Orner-13,Elizabeth Smith,PA,True,,Orner-24,Orner-24,Valentine Orner,False
Palmer-15244,Sarah Brown,CT,True,,Palmer-15637,Palmer-15637,William Palmer,False
Parker-15992,John Parker,MA,True,,Parker-25125,Parker-25125,Joseph Parker,False
Parker-60400,John Parker,MA,True,,Parker-34787,Parker-34787,Moses Parker,False
Parsons-8045,Enoch Parsons,CT,True,,Parsons-7334,Parsons-7334,Samuel Parsons,False
Pattison-735,James Pattison,MD,True,,Pattison-777,Pattison-777,Jeremiah Pattison,False
Paul-11636,Thomas Paul,PA,True,,Paul-9420,Paul-9420,John Paul,False
Paul-3022,Thomas Paul,PA,True,,Paul-3020,Paul-3020,John Paul,False
Pechin-4,Christopher Pechin,PA,True,,Brecht-163,Brecht-163,Christiana Pechin,False
Peck-9181,John Peck,CT,True,,Sanford-4958,Sanford-4958,Abigail Peck,False
Peck-9303,John Peck,CT,True,,Peck-6503,Peck-6503,Nathan Peck,False
Perkins-1694,Jabez Perkins,CT,True,,Sperry-73,Sperry-73,Miriam Perkins,False
Perkins-5260,Elias Perkins,CT,True,,Burnham-1122,Burnham-1122,Joanna Perkins,False
Perkins-9759,Joseph Perkins,CT,True,,Burnham-1122,Burnham-1122,Joanna Perkins,False
Peters-13769,Mary Smith,PA,True,,Brientnall-10,Brientnall-10,Mary Peters,False
Phelps-5304,Josiah Phelps,CT,True,,Phelps-2092,Phelps-2092,John Phelps,False
Phelps-535,Hannah Huntington,CT,True,,Phelps-3522,Phelps-3522,Charles Phelps,False
Phillips-15970,John Phillips,PA,True,,Roberts-33943,Roberts-33943,Mary Phillips,False
Pierce-15085,John Pierce,CT,True,,Hart-8119,Hart-8119,Annie Pierce,False
Platt-1951,Asa Platt,CT,True,,Platt-1457,Platt-1457,Gideon Platt,False
Porter-12120,John Porter,CT,True,,Porter-5540,Porter-5540,Nathaniel Porter,False
Porter-13996,Robert Porter,PA,True,,Ross-15794,Ross-15794,Martha Porter,False
Porter-16295,Mary Porter,CT,True,,Porter-16292,Porter-16292,Nathaniel Porter,False
Porter-18451,Robert Porter,PA,True,,Ross-15794,Ross-15794,Martha Porter,False
Porter-22724,John Porter,CT,True,,Porter-452,Porter-452,Jonathan Porter,False
Porter-25894,William Porter,PA,True,,Porter-28209,Porter-28209,James Porter,False
Porter-3106,Martha Williams,CT,True,,Porter-7654,Porter-7654,Nathaniel Porter,False
Porter-5608,William Porter,PA,True,,Porter-5610,Porter-5610,Robert Porter,False
Potter-8777,James Potter,PA,True,,Patterson-13892,Patterson-13892,Mary Potter,False
Pratt-10545,Jacob Pratt,CT,True,,Pratt-3789,Pratt-3789,Daniel Pratt,False
Ralston-2750,Robert Ralston,PA,True,,Miller-112470,Miller-112470,Catherine Ralston,False
Raymond-3162,Caleb Raymond,CT,True,,Raymond-3161,Raymond-3161,Edward Raymond,False
Raymond-3166,Sarah Raymond,CT,True,,Raymond-3161,Raymond-3161,Edward Raymond,False
Raymond-4782,Sarah Smith,CT,True,,Raymond-3161,Raymond-3161,Edward Raymond,False
Reed-14150,John Reed,PA,True,,Reed-14151,Reed-14151,Michael Reed,False
Reed-34228,John Reed,PA,True,,Pomeroy-143,Pomeroy-143,Mary Reed,False
Reith-216,John Reed,PA,True,,Reed-7729,Reed-7729,Peter Reed,False
Rhoads-1578,John Rhoads,PA,True,,Roth-5187,Roth-5187,Peter Rhoads,False
Rhoads-1625,John Rhoads,PA,True,,Rhoads-1068,Rhoads-1068,Jacob Rhoads,False
Richardson-7131,Susannah Richardson,MA,True,,Richardson-6108,Richardson-6108,Jonathan Richardson,False
Rieth-122,John Reed,PA,True,,Rieth-204,Rieth-204,Jacob Reed,False
Robbins-122,John Robbins,CT,True,,Robbins-120,Robbins-120,Joseph Robbins,False
Robbins-14025,John Robbins,CT,True,,Robbins-12267,Robbins-12267,Josiah Robins,False
Robbins-3938,Jacob Robbins,CT,True,,Robbins-7255,Robbins-7255,John Robbins,False
Robbins-8665,Esther Robbins,CT,True,,Robbins-8663,Robbins-8663,Samuel Robbins,False
Rogers-48556,William Rogers,CT,True,,Rogers-15347,Rogers-15347,David Rogers,False
Rogers-8691,Thomas Rogers,CT,True,,Rogers-3694,Rogers-3694,David Rogers,False
Root-1991,Joseph Root,CT,True,,Root-312,Root-312,Timothy Root,False
Ross-19928,Robert Ross,PA,True,,James-10107,James-10107,Jane Ross,False
Rowland-11864,Alvey Rowland,CT,True,,Rowland-3315,Rowland-3315,David Rowland,False
Rowland-11865,Sherman Rowland,CT,True,,Rowland-3315,Rowland-3315,David Rowland,False
Rush-2591,William Rush,PA,True,,Rush-1816,Rush-1816,Joseph Rush,False
Russell-42828,Thomas Russell,MA,True,,Russell-12526,Russell-12526,Walter Russell,False
Sage-120,Joseph Sage,CT,True,,Sage-119,Sage-119,Solomon Sage,False
Sage-745,Joseph Sage,CT,True,,Sage-493,Sage-493,David Sage,False
Sage-747,Enoch Sage,CT,True,,Sage-493,Sage-493,David Sage,False
Sage-759,David Sage,CT,True,,Sage-747,Sage-747,Enoch Sage,False
Sage-783,Abner Sage,CT,True,,Sage-493,Sage-493,David Sage,False
Saltonstall-83,Gurdon Saltonstall,CT,True,,Saltonstall-6,Saltonstall-6,Winthrop Saltonstall,False
Schuyler-1315,Philip Schuyler,NY,True,,Schuyler-1313,Schuyler-1313,Brandt Schuyler,False
Schuyler-1325,Philip Schuyler,NY,True,,Schuyler-753,Schuyler-753,Stephanus Schuyler,False
Schuyler-363,Peter Schuyler,NY,True,,Schuyler-753,Schuyler-753,Stephanus Schuyler,False
Scott-1917,John Scott,PA,True,,Thompson-3497,Thompson-3497,Elizabeth Scott,False
Sheafe-29,James Sheafe,NH,True,,Sheafe-74,Sheafe-74,Jacob Sheafe,False
Simonton-335,John Simonton,PA,True,,Teague-2456,Teague-2456,Elizabeth Simonton,False
Smith-105838,Isaac Smith,CT,True,,Smith-105828,Smith-105828,Jonathan Smith,False
Smith-119288,Robert Smith,PA,True,,Buchanan-2732,Buchanan-2732,Elizabeth Smith,False
