,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,town,state,occupation,Name,county,geo_level,6p_total
77,61.0,30.0,30.0,66.0,16.0,5.0,Hartford,CT,Adminastrator to the Estate of Epaphras Bull of Hartford Deceased,['Aaron Bull'],Hartford County,town,61.3
78,829.0,33.0,414.0,67.0,743.0,5.0,Stonington,CT,,['Charles Phelps'],New London County,town,829.33
79,1530.0,30.0,765.0,15.0,413.0,17.0,Colchester,CT,,['Pierpont Bacon'],New London County,town,1530.3
80,105.0,88.0,52.0,94.0,76.0,25.0,Colchester,CT,,"['Elias Peck', 'Elias Peek']",New London County,town,105.88
81,1909.0,66.0,954.0,84.0,693.0,31.0,Hartford,CT,Attorney at Law,['John Trumbull'],Hartford County,town,1909.66
82,894.0,30.0,447.0,15.0,864.0,,Wethersfield,CT,,['John Marsh'],Hartford County,town,894.3
83,60.0,38.0,30.0,19.0,67.0,16.0,Wethersfield,CT,,['Mary Porter'],Hartford County,town,60.38
84,674.0,68.0,337.0,34.0,558.0,33.0,Wethersfield,CT,,['John Warner'],Hartford County,town,674.68
85,1093.0,15.0,546.0,58.0,295.0,16.0,Fairfield,CT,,['Thaddeus Burr'],Fairfield County,town,1093.15
86,200.0,,100.0,,144.0,,Bolton,CT,,['Samuel Bishop'],Tolland County,town,
87,75.0,26.0,37.0,64.0,54.0,20.0,Guilford,CT,,['Augustus Collins'],New Haven County,town,75.26
88,20.0,28.0,10.0,14.0,14.0,60.0,Guilford,CT,,['Samuel Fitch'],New Haven County,town,20.28
89,533.0,33.0,266.0,67.0,336.0,,Fairfield,CT,,"['Hannah Hawley', 'Hannah Howley']",Fairfield County,town,533.33
90,88.0,70.0,44.0,35.0,84.0,17.0,Fairfield,CT,,['Samuel Penfield'],Fairfield County,town,88.7
91,116.0,5.0,58.0,3.0,192.0,,Enfield,CT,,['Levi Booth'],Hartford County,town,116.05
92,1075.0,45.0,537.0,78.0,602.0,33.0,Norwich,CT,,['Joseph Caren'],New London County,town,1075.45
93,348.0,54.0,174.0,27.0,350.0,40.0,Plainfield,CT,,"['John Dow', 'John Don']",Windham County,town,348.54
94,846.0,17.0,423.0,8.0,270.0,,Hartford,CT,,['William Ellery'],Hartford County,town,846.17
95,1245.0,43.0,622.0,72.0,842.0,63.0,Middletown,CT,,['John Dickinson'],Middlesex County,town,1245.43
96,10.0,77.0,5.0,39.0,,,Wethersfield,CT,,['Levi Warner'],Hartford County,town,10.77
