,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,orig_town,state,occupation,Name,county,6p_total,town,geo_level
24,7227.0,34.0,3613.0,66.0,1951.0,37.0,Lebanon,CT,Esquire,['Jonathan Trumbull'],New London County,7227.34,Lebanon,town
25,108.0,73.0,54.0,37.0,123.0,70.0,Windsor,CT,Farmer,['Isaac Griswold'],Hartford County,108.73,Windsor,town
26,25.0,18.0,12.0,59.0,18.0,13.0,Southhampton,CT,Mariner,['Stephen Tallmadge'],Windham County,25.18,Hampton,town
27,296.0,43.0,148.0,22.0,206.0,4.0,Suffield,CT,Merchant,['John Kent'],Hartford County,296.43,Suffield,town
28,1573.0,33.0,786.0,67.0,424.0,80.0,New London,CT,,['Richard Douglass'],New London County,1573.33,New London,town
29,184.0,60.0,92.0,30.0,71.0,52.0,New London,CT,Printer,['Timothy Green'],New London County,184.6,New London,town
30,102.0,28.0,51.0,14.0,66.0,22.0,Chatham,CT,Farmer,['David White'],Middlesex County,102.28,Chatham,town
31,61.0,57.0,30.0,79.0,27.0,88.0,Chatham,CT,Farmer,['Joseph White'],Middlesex County,61.57,Chatham,town
32,617.0,1.0,308.0,50.0,216.0,,Berlin,CT,Farmer,['Jedediah Norton'],Hartford County,617.01,Berlin,town
33,9756.0,63.0,4878.0,32.0,8176.0,26.0,Glastonbury,CT,,['Ebenezer Plummer'],Hartford County,9756.63,Glastonbury,town
34,285.0,15.0,142.0,57.0,173.0,57.0,Hartford,CT,Merchant,['John Thomas'],Hartford County,285.15,Hartford,town
35,512.0,68.0,256.0,34.0,646.0,61.0,Saybrook,CT,Farmer,['Eliphalet Lester'],Middlesex County,512.68,Saybrook,town
36,60.0,37.0,30.0,18.0,63.0,83.0,Rhode Island,RI,,['Timothy Peckham'],,60.37,,state
37,288.0,97.0,144.0,49.0,373.0,79.0,Stafford,CT,,['Howard Moulton'],Tolland County,288.97,Stamford,town
38,53.0,33.0,26.0,67.0,30.0,32.0,Glastonbury,CT,Joiner,['John Sellew'],Hartford County,53.33,Glastonbury,town
39,402.0,21.0,201.0,11.0,289.0,60.0,Lebanon,CT,Farmer,['Peleg Thomas'],New London County,402.21,Lebanon,town
40,1120.0,74.0,560.0,37.0,806.0,93.0,Hebron,CT,Farmer,['Samuel Gilbert'],Tolland County,1120.74,Hebron,town
41,3144.0,80.0,1572.0,40.0,2445.0,11.0,Middletown,CT,,['Philip Mortimer'],Middlesex County,3144.8,Middletown,town
42,337.0,16.0,168.0,58.0,436.0,79.0,,CT,,['John Payson'],,337.16,,state
43,4040.0,10.0,2020.0,5.0,3468.0,72.0,Middletown,CT,Merchant,['George Starr'],Middlesex County,4040.1,Middletown,town
44,2144.0,47.0,1072.0,24.0,1799.0,12.0,New Haven,CT,,['Jonathan Edwards'],New Haven County,2144.47,New Haven,town
45,43.0,24.0,21.0,62.0,,,Hartford,CT,Merchant,['James A Wells'],Hartford County,43.24,Hartford,town
46,26.0,95.0,13.0,47.0,,,East Windsor,CT,Esquire,['Erastus Wolcott'],Hartford County,26.95,East Windsor,town
47,78.0,,39.0,,56.0,15.0,East Hartford,CT,Farmer,['Joseph Olmsted'],Hartford County,,East Hartford,town
48,666.0,67.0,333.0,33.0,180.0,,Hartford,CT,Farmer,['Nathan H Whiting'],Hartford County,666.67,Hartford,town
49,19.0,29.0,9.0,65.0,36.0,64.0,New London,CT,,['Thomas C Green'],New London County,19.29,New London,town
50,816.0,21.0,408.0,10.0,696.0,33.0,Boston,MA,Broker,['John Templeman'],Suffolk County,816.21,Boston,town
51,459.0,86.0,229.0,93.0,370.0,,Hartford,CT,Merchant,['Ezekiel Williams'],Hartford County,459.86,Hartford,town
52,16405.0,29.0,8202.0,64.0,11988.0,66.0,Norwich,CT,,['Joshua Lathrop'],New London County,16405.29,Norwich,town
53,1228.0,39.0,614.0,20.0,935.0,98.0,Norwich,CT,,"['Daniel L Coit', 'Daniel Lathrop Coit']",New London County,1228.39,Norwich,town
54,2403.0,33.0,1201.0,67.0,866.0,61.0,Springfield,MA,Merchant,['Jonathan Dwight'],Hampshire County,2403.33,Springfield,town
55,1408.0,67.0,704.0,33.0,380.0,33.0,Hartford,CT,Merchant,['John Hall'],Hartford County,1408.67,Hartford,town
56,2109.0,41.0,1054.0,71.0,1326.0,22.0,Hartford,CT,Merchant,['Samuel W Pomeroy'],Hartford County,2109.41,Hartford,town
57,178.0,50.0,89.0,25.0,94.0,64.0,New Haven,CT,,['John Austin'],New Haven County,178.5,New Haven,town
58,64.0,48.0,32.0,24.0,23.0,22.0,Wethersfield,CT,Farmer,['Solomon Wells'],Hartford County,64.48,Wethersfield,town
59,209.0,44.0,104.0,73.0,967.0,49.0,Middletown,CT,,['Enoch Parsons'],Middlesex County,209.44,Middletown,town
60,4000.0,,2000.0,,2930.0,,Preston,CT,,['Wheeler Coit'],New London County,,Preston,town
61,3333.0,5.0,1666.0,52.0,2785.0,25.0,Hartford,CT,,['Nathan Strong'],Hartford County,3333.05,Hartford,town
62,145.0,64.0,72.0,82.0,98.0,13.0,Sharon,CT,Farmer,['Hezekiah Goodwin'],Litchfield County,145.64,Sharon,town
63,811.0,84.0,405.0,92.0,219.0,20.0,Lebanon,CT,Farmer,['Andrew Fitch'],New London County,811.84,Lebanon,town
64,40.0,67.0,20.0,34.0,29.0,33.0,Somers,CT,Farmer,['Jacob Pratt'],Tolland County,40.67,Somers,town
65,1779.0,35.0,889.0,68.0,1249.0,26.0,Wethersfield,CT,,['Samuel W Williams'],Hartford County,1779.35,Wethersfield,town
66,20.0,0.0,10.0,,,,East Windsor,CT,Esquire,['Erastus Wolcott'],Hartford County,20.0,East Windsor,town
67,62.0,93.0,31.0,47.0,22.0,66.0,Goshen,CT,Farmer,"['Solomon Wadham', 'Solomon Windham']",Litchfield County,62.93,Goshen,town
68,321.0,68.0,160.0,84.0,115.0,51.0,Farmington,CT,,['Noadiah Hooker'],Hartford County,321.68,Farmington,town
69,623.0,20.0,311.0,60.0,466.0,31.0,Torrington,CT,Farmer,['Ebenezer Miller'],Litchfield County,623.2,Torrington,town
70,2400.0,,1200.0,,2010.0,,Boston,MA,Merchant,['Thomas Russell'],Suffolk County,,Boston,town
71,6454.0,4.0,3227.0,2.0,1857.0,57.0,Lebanon,CT,,['David Trumbull'],New London County,6454.04,Lebanon,town
72,533.0,33.0,266.0,67.0,144.0,,Watertown,CT,,['Richard R Eliot'],Litchfield County,533.33,Watertown,town
73,53.0,38.0,26.0,69.0,308.0,72.0,Norwich,CT,,['Andrew Huntington'],New London County,53.38,Norwich,town
74,510.0,37.0,255.0,18.0,151.0,72.0,Norwich,CT,,['Hannah Huntington'],New London County,510.37,Norwich,town
75,1336.0,5.0,668.0,2.0,959.0,93.0,Hartford,CT,Merchant,"['Pownal Deming', 'Pownal Deming III']",Hartford County,1336.05,Hartford,town
76,917.0,18.0,458.0,59.0,360.0,,Farmington,CT,,['Elijah Cowles'],Hartford County,917.18,Farmington,town
77,61.0,30.0,30.0,66.0,16.0,5.0,Hartford,CT,Adminastrator to the Estate of Epaphras Bull of Hartford Deceased,['Aaron Bull'],Hartford County,61.3,Hartford,town
78,829.0,33.0,414.0,67.0,743.0,5.0,Stonington,CT,,['Charles Phelps'],New London County,829.33,Stonington,town
79,1530.0,30.0,765.0,15.0,413.0,17.0,Colchester,CT,,['Pierpont Bacon'],New London County,1530.3,Colchester,town
80,105.0,88.0,52.0,94.0,76.0,25.0,Colchester,CT,,"['Elias Peck', 'Elias Peek']",New London County,105.88,Colchester,town
81,1909.0,66.0,954.0,84.0,693.0,31.0,Hartford,CT,Attorney at Law,['John Trumbull'],Hartford County,1909.66,Hartford,town
82,894.0,30.0,447.0,15.0,864.0,,Wethersfield,CT,,['John Marsh'],Hartford County,894.3,Wethersfield,town
83,60.0,38.0,30.0,19.0,67.0,16.0,Wethersfield,CT,,['Mary Porter'],Hartford County,60.38,Wethersfield,town
84,674.0,68.0,337.0,34.0,558.0,33.0,Wethersfield,CT,,['John Warner'],Hartford County,674.68,Wethersfield,town
85,1093.0,15.0,546.0,58.0,295.0,16.0,Fairfield,CT,,['Thaddeus Burr'],Fairfield County,1093.15,Fairfield,town
86,200.0,,100.0,,144.0,,Bolton,CT,,['Samuel Bishop'],Tolland County,,Bolton,town
87,75.0,26.0,37.0,64.0,54.0,20.0,Guilford,CT,,['Augustus Collins'],New Haven County,75.26,Guilford,town
88,20.0,28.0,10.0,14.0,14.0,60.0,Guilford,CT,,['Samuel Fitch'],New Haven County,20.28,Guilford,town
89,533.0,33.0,266.0,67.0,336.0,,Fairfield,CT,,"['Hannah Hawley', 'Hannah Howley']",Fairfield County,533.33,Fairfield,town
90,88.0,70.0,44.0,35.0,84.0,17.0,Fairfield,CT,,['Samuel Penfield'],Fairfield County,88.7,Fairfield,town
91,116.0,5.0,58.0,3.0,192.0,,Enfield,CT,,['Levi Booth'],Hartford County,116.05,Enfield,town
92,1075.0,45.0,537.0,78.0,602.0,33.0,Norwich,CT,,['Joseph Caren'],New London County,1075.45,Norwich,town
93,348.0,54.0,174.0,27.0,350.0,40.0,Plainfield,CT,,"['John Dow', 'John Don']",Windham County,348.54,Plainfield,town
94,846.0,17.0,423.0,8.0,270.0,,Hartford,CT,,['William Ellery'],Hartford County,846.17,Hartford,town
95,1245.0,43.0,622.0,72.0,842.0,63.0,Middletown,CT,,['John Dickinson'],Middlesex County,1245.43,Middletown,town
96,10.0,77.0,5.0,39.0,,,Wethersfield,CT,,['Levi Warner'],Hartford County,10.77,Wethersfield,town
97,9.0,25.0,4.0,63.0,,,Hartford,CT,,"['Aaron Cadwell II', 'Aaron Caldwell II']",Hartford County,9.25,Hartford,town
98,356.0,50.0,178.0,26.0,307.0,98.0,Coventry,CT,,['John Hale'],Tolland County,356.5,Coventry,town
99,625.0,33.0,312.0,67.0,467.0,35.0,Hartford,CT,,['Samuel Talcott'],Hartford County,625.33,Hartford,town
100,2697.0,98.0,1348.0,99.0,1008.0,,New Haven,CT,Treasurer of Yale College,['James Hillhouse'],New Haven County,2697.98,New Haven,town
101,1808.0,17.0,904.0,9.0,792.0,55.0,New Haven,CT,,['James Hillhouse'],New Haven County,1808.17,New Haven,town
102,152.0,54.0,76.0,27.0,54.0,91.0,New Haven,CT,,['Mary Hillhouse'],New Haven County,152.54,New Haven,town
103,248.0,46.0,124.0,23.0,144.0,,State of New York,NY,,['Stephen Potter'],,248.46,,state
104,1600.0,,800.0,,576.0,,Hebron,CT,,['Rebecca Woolsey'],Tolland County,,Hebron,town
105,666.0,66.0,333.0,34.0,240.0,,New Haven,CT,,"['Theodosia Woolsey', 'Theodocia Woolsey']",New Haven County,666.66,New Haven,town
106,1100.0,62.0,550.0,32.0,302.0,8.0,Groton,CT,,['Simeon Avery'],New London County,1100.62,Groton,town
107,1838.0,64.0,919.0,33.0,661.0,91.0,New London,CT,,['Lucy Chen'],New London County,1838.64,New London,town
108,137.0,14.0,68.0,57.0,146.0,61.0,Hebron,CT,,['William Talcott'],Tolland County,137.14,Hebron,town
109,266.0,66.0,133.0,34.0,84.0,,Farmington,CT,,"['Willam F Miller', 'William Fowler Miller']",Hartford County,266.66,Farmington,town
110,27.0,45.0,13.0,73.0,,,Mansfield,CT,,['Elijah Gridley'],Tolland County,27.45,Mansfield,town
111,572.0,58.0,286.0,29.0,526.0,63.0,Preston,CT,,['William Belcher'],New London County,572.58,Preston,town
112,323.0,87.0,161.0,93.0,120.0,67.0,Glastonbury,CT,,"['Philip Sellow', 'Philip Sellew']",Hartford County,323.87,Glastonbury,town
113,179.0,48.0,89.0,74.0,144.0,,Hartford,CT,,['Eunice and Betsey Wadsworth'],Hartford County,179.48,Hartford,town
114,81.0,51.0,40.0,76.0,79.0,2.0,Wethersfield,CT,,['Joshua Belden and James Wells'],Hartford County,81.51,Wethersfield,town
115,8215.0,91.0,4107.0,95.0,6612.0,40.0,Saybrook,CT,,['William Hart'],Middlesex County,8215.91,Saybrook,town
116,136.0,19.0,68.0,9.0,144.0,14.0,Bolton,CT,,['Saul Alvord'],Tolland County,136.19,Bolton,town
117,10.0,39.0,5.0,20.0,10.0,87.0,Norwich,CT,,['Lemuel Bruswell'],New London County,10.39,Norwich,town
118,1447.0,26.0,723.0,64.0,1041.0,99.0,Preston,CT,Treasurer of Preston Society,"['Wheeler Coit Treasurer of Preston Society Coit Treasurer of Preston Society', 'Wheeler Coit Treasurer Preston Co', 'Wheeler Coit']",New London County,1447.26,Preston,town
119,238.0,76.0,119.0,38.0,64.0,45.0,Bozrah,CT,,"['Benjamin Throop', 'Benjamin Troop']",New London County,238.76,Bozrah,town
120,1573.0,33.0,786.0,67.0,1100.0,93.0,Derby,CT,,['John Humphrey'],New Haven County,1573.33,Derby,town
121,2947.0,55.0,1473.0,77.0,1888.0,81.0,Derby,CT,,['John Humphrey'],New Haven County,2947.55,Derby,town
122,279.0,53.0,139.0,76.0,226.0,23.0,Lebanon,CT,,['Jeremiah Mason'],New London County,279.53,Lebanon,town
123,738.0,43.0,369.0,22.0,708.0,13.0,State of New York,NY,,['Edmund Wells'],,738.43,,state
124,263.0,16.0,131.0,58.0,161.0,4.0,Norwich,CT,,"['Simeon Huntington', 'Simon Huntington']",New London County,263.16,Norwich,town
125,666.0,67.0,333.0,33.0,180.0,,Norwich,CT,,['James Hyde'],New London County,666.67,Norwich,town
126,424.0,81.0,212.0,41.0,305.0,86.0,Norwich,CT,,['Mehitabel Waterman'],New London County,424.81,Norwich,town
127,62.0,13.0,31.0,6.0,16.0,76.0,Wethersfield,CT,,['Abigail Robbins'],Hartford County,62.13,Wethersfield,town
128,186.0,11.0,93.0,5.0,50.0,24.0,Wethersfield,CT,,['Elijah Robbins'],Hartford County,186.11,Wethersfield,town
129,38.0,63.0,19.0,31.0,,,Wethersfield,CT,,['Oliver Goodrich'],Hartford County,38.63,Wethersfield,town
130,200.0,,100.0,,221.0,50.0,Windsor,CT,,['Josiah Allyn'],Hartford County,,Windsor,town
131,37.0,84.0,18.0,93.0,27.0,24.0,Huntington,CT,,['Daniel Bennett'],Fairfield County,37.84,Huntington,town
132,192.0,83.0,96.0,42.0,120.0,,Woodstock,CT,,['Jesse Bolles'],Windham County,192.83,Woodstock,town
133,266.0,66.0,133.0,34.0,192.0,,Middletown,CT,,['Samuel Frary'],Middlesex County,266.66,Middletown,town
134,954.0,82.0,477.0,42.0,907.0,88.0,Windham,CT,,['Joseph Badcock'],Windham County,954.82,Windham,town
135,596.0,93.0,298.0,47.0,161.0,16.0,Woodstock,CT,,['Elias Mason'],Windham County,596.93,Woodstock,town
136,102.0,64.0,51.0,32.0,73.0,90.0,Sharon,CT,,['Abel Patchen'],Litchfield County,102.64,Sharon,town
137,1089.0,73.0,544.0,47.0,288.0,,New Haven,CT,,['Jeremiah Platt'],New Haven County,1089.73,New Haven,town
138,561.0,2.0,280.0,51.0,151.0,47.0,Stamford,CT,,['Nathan Weed'],Fairfield County,561.02,Stamford,town
139,34.0,88.0,17.0,44.0,25.0,10.0,Stamford,CT,,['Anne Brooker'],Fairfield County,34.88,Stamford,town
140,717.0,60.0,358.0,80.0,273.0,12.0,Stamford,CT,,"['Comfrot Clock', 'Comfort Clock']",Fairfield County,717.6,Stamford,town
141,446.0,29.0,223.0,14.0,122.0,42.0,Stamford,CT,,['David Hoyt'],Fairfield County,446.29,Stamford,town
142,803.0,70.0,401.0,85.0,523.0,19.0,Stamford,CT,,['Thaddeus Weed'],Fairfield County,803.7,Stamford,town
143,21.0,32.0,10.0,66.0,15.0,32.0,Stamford,CT,,['David Waterbury'],Fairfield County,21.32,Stamford,town
144,222.0,16.0,111.0,8.0,147.0,90.0,Stamford,CT,,['Nathaniel Webb'],Fairfield County,222.16,Stamford,town
145,106.0,61.0,53.0,31.0,76.0,75.0,Stamford,CT,,['Samuel Hutton'],Fairfield County,106.61,Stamford,town
146,371.0,88.0,185.0,95.0,270.0,30.0,Stamford,CT,,['Smith Weed'],Fairfield County,371.88,Stamford,town
147,901.0,34.0,450.0,67.0,245.0,35.0,Lyme,CT,,['William Higgins'],New London County,901.34,Lyme,town
148,2426.0,54.0,1213.0,27.0,1234.0,66.0,Stratford,CT,,['Robert C Johnson'],Fairfield County,2426.54,Stratford,town
149,78.0,71.0,39.0,35.0,56.0,67.0,Windsor,CT,,['Hezekiah Chaffee'],Hartford County,78.71,Windsor,town
150,67.0,70.0,33.0,85.0,57.0,26.0,Windsor,CT,,['John Chaffee'],Hartford County,67.7,Windsor,town
151,80.0,13.0,40.0,7.0,21.0,63.0,Hartford,CT,,"['Joseph Colton', 'Joseph Cotton']",Hartford County,80.13,Hartford,town
152,320.0,37.0,160.0,18.0,404.0,45.0,Coventry,CT,,['Jeremiah Ripley'],Tolland County,320.37,Coventry,town
153,733.0,33.0,366.0,67.0,614.0,16.0,Windsor,CT,,['Josiah Phelps'],Hartford County,733.33,Windsor,town
154,109.0,24.0,54.0,62.0,37.0,56.0,Woodstock,CT,,['Nehemiah Child'],Windham County,109.24,Woodstock,town
155,258.0,94.0,129.0,48.0,93.0,21.0,Woodstock,CT,Society Treasurer,"['Nehemiah Child', 'Nehemiah Child Society Treasurer', 'Nehemiah Child Treasurer and Co']",Windham County,258.94,Woodstock,town
156,20.0,38.0,10.0,19.0,14.0,69.0,Farmington,CT,,['Phineas Lewis'],Hartford County,20.38,Farmington,town
157,276.0,90.0,138.0,45.0,148.0,23.0,Woodstock,CT,Proprietors,"['Silas May Proprietors Treasurer', 'Silas May', 'Silas Mary Treasurer and Co']",Windham County,276.9,Woodstock,town
158,116.0,13.0,58.0,7.0,100.0,52.0,Coventry,CT,,['Samuel Doggett'],Tolland County,116.13,Coventry,town
159,59.0,76.0,29.0,88.0,16.0,13.0,Coventry,CT,,['Elijah House'],Tolland County,59.76,Coventry,town
160,266.0,66.0,133.0,34.0,206.0,60.0,Brooklyn,CT,,['Samuel Williams'],Windham County,266.66,Brooklyn,town
161,283.0,57.0,141.0,79.0,207.0,88.0,Coventry,CT,,['Elijah House'],Tolland County,283.57,Coventry,town
162,1211.0,79.0,605.0,89.0,324.0,,Hartford,CT,,['John Chenevard'],Hartford County,1211.79,Hartford,town
163,57.0,13.0,28.0,56.0,,,New London,CT,,['John Deshon'],New London County,57.13,New London,town
164,1018.0,84.0,509.0,43.0,960.0,,Norwich,CT,,['Christopher Leffingwell'],New London County,1018.84,Norwich,town
165,1118.0,94.0,559.0,47.0,376.0,11.0,Windsor,CT,,['David Rowland'],Hartford County,1118.94,Windsor,town
166,148.0,45.0,74.0,22.0,367.0,35.0,Hartford,CT,,['Norman Butler'],Hartford County,148.45,Hartford,town
167,145.0,33.0,72.0,67.0,39.0,23.0,Windsor,CT,,['Sherman Rowland'],Hartford County,145.33,Windsor,town
168,30.0,48.0,15.0,24.0,8.0,22.0,State of Vermont,VT,,"['Asa Stevens', 'Asa Stephens']",,30.48,,state
169,1852.0,46.0,926.0,23.0,1416.0,64.0,Haddam,CT,,['Hezekiah Brainard'],Middlesex County,1852.46,Haddam,town
170,705.0,66.0,352.0,83.0,576.0,,Norwich,CT,,['Christopher Leffingwell'],New London County,705.66,Norwich,town
171,1200.0,,600.0,,324.0,,Stafford,CT,,['John Phelps'],Tolland County,,Stamford,town
172,78.0,31.0,39.0,16.0,,,Springfield,MA,,['Charles Sheldon'],Hampshire County,78.31,Springfield,town
173,84.0,36.0,42.0,19.0,95.0,15.0,Wethersfield,CT,,['John Robbins'],Hartford County,84.36,Wethersfield,town
174,1252.0,29.0,626.0,14.0,825.0,83.0,Wethersfield,CT,,['Elias Williams'],Hartford County,1252.29,Wethersfield,town
175,58.0,9.0,29.0,4.0,20.0,19.0,Wethersfield,CT,,['Elial Williams'],Hartford County,58.09,Wethersfield,town
176,164.0,31.0,82.0,16.0,186.0,,Wethersfield,CT,Treasurer Stepney Society,['Elias Williams'],Hartford County,164.31,Wethersfield,town
177,120.0,71.0,60.0,36.0,97.0,55.0,Hartford,CT,,['William Joseph and Richard Hart'],Hartford County,120.71,Hartford,town
178,200.0,,100.0,,167.0,50.0,Tolland,CT,,['Daniel Edgerton'],Tolland County,,Tolland,town
179,666.0,67.0,333.0,33.0,180.0,,Danbury,CT,,['Thomas Starr'],Fairfield County,666.67,Danbury,town
180,1224.0,81.0,612.0,40.0,659.0,45.0,Goshen,CT,,['Ephraim Starr'],Litchfield County,1224.81,Goshen,town
181,5567.0,45.0,2783.0,72.0,3979.0,75.0,Goshen,CT,,['Ephraim Starr'],Litchfield County,5567.45,Goshen,town
182,219.0,58.0,109.0,79.0,120.0,,Woodstock,CT,,['William Morris'],Windham County,219.58,Woodstock,town
183,99.0,53.0,49.0,76.0,63.0,57.0,Coventry,CT,,['Benjamin Case'],Tolland County,99.53,Coventry,town
184,398.0,2.0,199.0,1.0,159.0,85.0,Boston,MA,,['John Coburn'],Suffolk County,398.02,Boston,town
185,164.0,65.0,82.0,32.0,172.0,30.0,Fairfield,CT,,"['Andrew Eliot', 'Andrew Elliot']",Fairfield County,164.65,Fairfield,town
186,12.0,18.0,6.0,9.0,8.0,77.0,Fairfield,CT,,['Eliphalet Hull'],Fairfield County,12.18,Fairfield,town
187,35.0,17.0,17.0,59.0,25.0,32.0,Fairfield,CT,,['Isaac Jennings'],Fairfield County,35.17,Fairfield,town
188,1585.0,73.0,792.0,86.0,439.0,55.0,Newington,CT,,['Martin Kellogg'],Hartford County,1585.73,Newington,town
189,388.0,33.0,194.0,16.0,279.0,61.0,Fairfield,CT,,['Jonathan Sturges'],Fairfield County,388.33,Fairfield,town
190,165.0,70.0,82.0,85.0,125.0,88.0,Glastonbury,CT,,['Josiah Hale'],Hartford County,165.7,Glastonbury,town
191,1446.0,9.0,723.0,4.0,1377.0,99.0,Bolton,CT,,['Ichabod Warner'],Tolland County,1446.09,Bolton,town
192,959.0,46.0,479.0,73.0,446.0,24.0,Litchfield,CT,,['Seth Bird'],Litchfield County,959.46,Litchfield,town
193,1309.0,56.0,654.0,78.0,1089.0,8.0,Windsor,CT,,['James Hooker'],Hartford County,1309.56,Windsor,town
194,825.0,55.0,412.0,78.0,341.0,31.0,Windham,CT,,['Jabez Clark'],Windham County,825.55,Windham,town
195,2235.0,50.0,1117.0,75.0,962.0,83.0,Windham,CT,,['Samuel Gray'],Windham County,2235.5,Windham,town
196,307.0,41.0,153.0,71.0,368.0,,Colchester,CT,,['Samuel Kellogg'],New London County,307.41,Colchester,town
197,648.0,43.0,324.0,22.0,233.0,45.0,Farmington,CT,,['Samuel Richards'],Hartford County,648.43,Farmington,town
198,410.0,16.0,205.0,8.0,497.0,42.0,Norwich,CT,,['Joseph Strong'],New London County,410.16,Norwich,town
199,3327.0,0.0,1663.0,50.0,1326.0,37.0,New Haven,CT,,['Samuel Wales'],New Haven County,3327.0,New Haven,town
200,1569.0,86.0,784.0,93.0,707.0,27.0,New London,CT,Merchant,['Thomas Shaw'],New London County,1569.86,New London,town
201,416.0,10.0,208.0,5.0,348.0,62.0,Lyme,CT,,['Seth Smith'],New London County,416.1,Lyme,town
202,25.0,33.0,12.0,66.0,6.0,86.0,Wethersfield,CT,,['Camp Adams'],Hartford County,25.33,Wethersfield,town
203,6706.0,11.0,3353.0,6.0,5195.0,98.0,New Haven,CT,,['David Austin'],New Haven County,6706.11,New Haven,town
204,3435.0,37.0,1717.0,68.0,932.0,6.0,Hebron,CT,,['Daniel Brown'],Tolland County,3435.37,Hebron,town
205,374.0,18.0,187.0,9.0,248.0,93.0,Tyringham MA,MA,,['Adonijah Bidwell'],Berkshire County,374.18,Tyringham,town
206,102.0,70.0,51.0,35.0,27.0,66.0,Wethersfield,CT,,['Samuel Foster'],Hartford County,102.7,Wethersfield,town
207,664.0,95.0,332.0,47.0,179.0,53.0,Milford,CT,,['Juliana Buckingham'],New Haven County,664.95,Milford,town
208,188.0,61.0,94.0,31.0,96.0,,Hartford,CT,Treasurer,"['Jonathan Bull', 'Jonathan Bull Treasurer and Co']",Hartford County,188.61,Hartford,town
209,262.0,78.0,131.0,39.0,93.0,40.0,Stamford,CT,Attorney at Law,['John Davenport'],Fairfield County,262.78,Stamford,town
210,822.0,93.0,411.0,47.0,324.0,,Hartford,CT,,['Charles Wadsworth'],Hartford County,822.93,Hartford,town
211,303.0,15.0,151.0,58.0,89.0,25.0,Milford,CT,,['Gideon Buckingham'],New Haven County,303.15,Milford,town
212,126.0,16.0,63.0,8.0,154.0,,Pomfret,CT,,['Joshua Grosvenor'],Windham County,126.16,Pomfret,town
