,city,county,state,country,population
295,Boxford,Essex,Massachusetts,USA ,164
296,Bradford,Essex,Massachusetts,USA ,253
297,Danvers,Essex,Massachusetts,USA ,461
298,Gloucester,Essex,Massachusetts,USA ,1007
299,Haverhill,Essex,Massachusetts,USA ,434
300,Ipswich,Essex,Massachusetts,USA ,881
301,Lanesboro,Essex,Massachusetts,USA ,NR
302,Lynn,Essex,Massachusetts,USA ,405
303,Lynnfield,Essex,Massachusetts,USA ,80
304,Manchester,Essex,Massachusetts,USA ,NR
305,Marblehead,Essex,Massachusetts,USA ,1287
306,Methuen,Essex,Massachusetts,USA ,221
307,Middleton,Essex,Massachusetts,USA ,119
308,Newbury,Essex,Massachusetts,USA ,723
309,Newburyport,Essex,Massachusetts,USA ,940
310,Rowley,Essex,Massachusetts,USA ,328
311,Salem,Essex,Massachusetts,USA ,1491
312,Salisbury,Essex,Massachusetts,USA ,325
313,Topsfield,Essex,Massachusetts,USA ,150
314,Wenham,Essex,Massachusetts,USA ,93
315,Amherst,Hampshire,Massachusetts,USA ,183
316,Ashfield,Hampshire,Massachusetts,USA ,261
317,Belchertown,Hampshire,Massachusetts,USA ,240
318,Bernardston,Hampshire,Massachusetts,USA ,108
319,Blandford,Hampshire,Massachusetts,USA ,239
320,Brimfield,Hampshire,Massachusetts,USA ,277
321,Buckland,Hampshire,Massachusetts,USA ,124
322,Charlemont,Hampshire,Massachusetts,USA ,110
323,Chester,Hampshire,Massachusetts,USA ,187
324,Chesterfield,Hampshire,Massachusetts,USA ,190
325,Colrain,Hampshire,Massachusetts,USA ,237
326,Conway,Hampshire,Massachusetts,USA ,321
327,Cummington,Hampshire,Massachusetts,USA ,148
328,Deerfield,Hampshire,Massachusetts,USA ,192
329,Easthampton,Hampshire,Massachusetts,USA ,77
330,Goshen,Hampshire,Massachusetts,USA ,103
331,Granby,Hampshire,Massachusetts,USA ,100
332,Granville,Hampshire,Massachusetts,USA ,334
333,Greenfield,Hampshire,Massachusetts,USA ,239
334,Greenwich,Hampshire,Massachusetts,USA ,173
335,Hadley,Hampshire,Massachusetts,USA ,143
336,Hatfield,Hampshire,Massachusetts,USA ,110
337,Heath,Hampshire,Massachusetts,USA ,58
338,Holland,Hampshire,Massachusetts,USA ,66
339,Leverett,Hampshire,Massachusetts,USA ,87
340,Leyden,Hampshire,Massachusetts,USA ,155
341,Longmeadow,Hampshire,Massachusetts,USA ,126
342,Ludlow,Hampshire,Massachusetts,USA ,94
343,Middlefield,Hampshire,Massachusetts,USA ,101
344,Montague,Hampshire,Massachusetts,USA ,154
345,Montgomery,Hampshire,Massachusetts,USA ,74
346,New Salem,Hampshire,Massachusetts,USA ,262
347,Northampton,Hampshire,Massachusetts,USA ,NR
348,Northfield,Hampshire,Massachusetts,USA ,122
349,Norwich,Hampshire,Massachusetts,USA ,129
350,Orange,Hampshire,Massachusetts,USA ,122
351,Palmer,Hampshire,Massachusetts,USA ,125
352,Pelham,Hampshire,Massachusetts,USA ,159
353,Plainfield,Hampshire,Massachusetts,USA ,85
354,Plantation 7,Hampshire,Massachusetts,USA ,90
355,Rochester,Hampshire,Massachusetts,USA ,118
356,Rowe,Hampshire,Massachusetts,USA ,79
357,Shelburne,Hampshire,Massachusetts,USA ,186
358,Shutesbury,Hampshire,Massachusetts,USA ,117
359,South Brimfield,Hampshire,Massachusetts,USA ,277
360,South Hadley,Hampshire,Massachusetts,USA ,118
361,Southampton,Hampshire,Massachusetts,USA ,135
362,Southwick,Hampshire,Massachusetts,USA ,148
363,Springfield,Hampshire,Massachusetts,USA ,650
364,Sunderland,Hampshire,Massachusetts,USA ,74
365,Ware,Hampshire,Massachusetts,USA ,118
366,Warwick,Hampshire,Massachusetts,USA ,179
367,Wendell,Hampshire,Massachusetts,USA ,80
368,West Springfield,Hampshire,Massachusetts,USA ,650
369,Westfield,Hampshire,Massachusetts,USA ,349
370,Westhampton,Hampshire,Massachusetts,USA ,102
371,Whately,Hampshire,Massachusetts,USA ,130
372,Wilbraham,Hampshire,Massachusetts,USA ,231
373,Williamsburgh,Hampshire,Massachusetts,USA ,173
374,Worthington,Hampshire,Massachusetts,USA ,188
375,Acton,Middlesex,Massachusetts,USA ,140
376,Ashby,Middlesex,Massachusetts,USA ,122
377,Bedford,Middlesex,Massachusetts,USA ,94
378,Billerica,Middlesex,Massachusetts,USA ,223
379,Boxborough,Middlesex,Massachusetts,USA ,67
380,Cambridge,Middlesex,Massachusetts,USA ,372
381,Carlisle,Middlesex,Massachusetts,USA ,101
382,Charlestown,Middlesex,Massachusetts,USA ,313
383,Chelmsford,Middlesex,Massachusetts,USA ,219
384,Concord,Middlesex,Massachusetts,USA ,298
385,Dracut,Middlesex,Massachusetts,USA ,189
386,Dunstable,Middlesex,Massachusetts,USA ,67
387,East Sudbury,Middlesex,Massachusetts,USA ,384
388,Framingham,Middlesex,Massachusetts,USA ,292
389,Groton,Middlesex,Massachusetts,USA ,341
390,Holliston,Middlesex,Massachusetts,USA ,150
391,Hopkinton,Middlesex,Massachusetts,USA ,221
392,Lexington,Middlesex,Massachusetts,USA ,175
393,Lincoln,Middlesex,Massachusetts,USA ,129
394,Littleton,Middlesex,Massachusetts,USA ,158
395,Malden,Middlesex,Massachusetts,USA ,196
396,Marlborough,Middlesex,Massachusetts,USA ,346
397,Medford,Middlesex,Massachusetts,USA ,189
398,Natick,Middlesex,Massachusetts,USA ,113
399,Newton,Middlesex,Massachusetts,USA ,239
400,Pepperell,Middlesex,Massachusetts,USA ,208
401,Reading,Middlesex,Massachusetts,USA ,353
402,Sherburn,Middlesex,Massachusetts,USA ,150
403,Shirley,Middlesex,Massachusetts,USA ,115
404,Stoneham,Middlesex,Massachusetts,USA ,74
405,Stow,Middlesex,Massachusetts,USA ,145
406,Sudbury,Middlesex,Massachusetts,USA ,384
407,Tewksbury,Middlesex,Massachusetts,USA ,163
408,Townsend,Middlesex,Massachusetts,USA ,185
409,Tyngsborough,Middlesex,Massachusetts,USA ,67
410,Waltham,Middlesex,Massachusetts,USA ,144
411,Watertown,Middlesex,Massachusetts,USA ,167
412,Westford,Middlesex,Massachusetts,USA ,226
413,Weston,Middlesex,Massachusetts,USA ,173
414,Wilmington,Middlesex,Massachusetts,USA ,136
415,Woburn,Middlesex,Massachusetts,USA ,349
416,Sherburn,Nantucket,Massachusetts,USA ,872
417,Abington,Plymouth,Massachusetts,USA ,NR
418,Bridgewater,Plymouth,Massachusetts,USA ,829
419,Carver,Plymouth,Massachusetts,USA ,150
420,Duxborough,Plymouth,Massachusetts,USA ,271
421,Halifax,Plymouth,Massachusetts,USA ,114
422,Hanover,Plymouth,Massachusetts,USA ,184
423,Kingston,Plymouth,Massachusetts,USA ,166
424,Marshfield,Plymouth,Massachusetts,USA ,226
425,Middleborough,Plymouth,Massachusetts,USA ,804
426,Pembroke,Plymouth,Massachusetts,USA ,340
427,Plymouth,Plymouth,Massachusetts,USA ,578
428,Plymton,Plymouth,Massachusetts,USA ,163
429,Rochester,Plymouth,Massachusetts,USA ,327
430,Scituate,Plymouth,Massachusetts,USA ,521
431,Wareham,Plymouth,Massachusetts,USA ,135
432,Bellingham,Suffolk,Massachusetts,USA ,121
433,Boston,Suffolk,Massachusetts,USA ,3358
434,Braintree,Suffolk,Massachusetts,USA ,488
435,Brookline,Suffolk,Massachusetts,USA ,68
436,Chelsea,Suffolk,Massachusetts,USA ,81
437,Cohasset,Suffolk,Massachusetts,USA ,159
438,Dedham,Suffolk,Massachusetts,USA ,288
439,Dorchester,Suffolk,Massachusetts,USA ,311
440,Dover,Suffolk,Massachusetts,USA ,90
441,Foxborough,Suffolk,Massachusetts,USA ,118
442,Franklin,Suffolk,Massachusetts,USA ,186
443,Harwich,Suffolk,Massachusetts,USA ,2
444,Hingham,Suffolk,Massachusetts,USA ,411
445,Hull,Suffolk,Massachusetts,USA ,24
446,Islands In Boston Harbor,Suffolk,Massachusetts,USA ,17
447,Medfield,Suffolk,Massachusetts,USA ,129
448,Medway,Suffolk,Massachusetts,USA ,187
449,Milton,Suffolk,Massachusetts,USA ,184
450,Needham,Suffolk,Massachusetts,USA ,208
451,Roxbury,Suffolk,Massachusetts,USA ,353
452,Sharon,Suffolk,Massachusetts,USA ,189
453,Stoughton,Suffolk,Massachusetts,USA ,356
454,Walpole,Suffolk,Massachusetts,USA ,175
455,Weymouth,Suffolk,Massachusetts,USA ,278
456,Wrentham,Suffolk,Massachusetts,USA ,278
457,Ashburnham,Worcester,Massachusetts,USA ,164
458,Athol,Worcester,Massachusetts,USA ,142
459,Barre,Worcester,Massachusetts,USA ,264
460,Batin,Worcester,Massachusetts,USA ,NR
461,Berlin,Worcester,Massachusetts,USA ,94
462,Bolton,Worcester,Massachusetts,USA ,151
463,Boylston,Worcester,Massachusetts,USA ,129
464,Brookfield,Worcester,Massachusetts,USA ,520
465,Charlton,Worcester,Massachusetts,USA ,NR
466,Douglas,Worcester,Massachusetts,USA ,201
467,Dudley,Worcester,Massachusetts,USA ,187
468,Fitchburgh,Worcester,Massachusetts,USA ,185
469,Gardner,Worcester,Massachusetts,USA ,90
470,Gerry,Worcester,Massachusetts,USA ,111
471,Grafton,Worcester,Massachusetts,USA ,136
472,Hardwick,Worcester,Massachusetts,USA ,297
473,Harvard,Worcester,Massachusetts,USA ,253
474,Holden,Worcester,Massachusetts,USA ,172
475,Hubbardston,Worcester,Massachusetts,USA ,158
476,Lancaster,Worcester,Massachusetts,USA ,265
477,Leicester,Worcester,Massachusetts,USA ,170
478,Leominster,Worcester,Massachusetts,USA ,197
479,Lunenburgh,Worcester,Massachusetts,USA ,234
480,Mendon,Worcester,Massachusetts,USA ,281
481,Milford,Worcester,Massachusetts,USA ,165
482,New Braintree,Worcester,Massachusetts,USA ,140
483,Northborough,Worcester,Massachusetts,USA ,103
484,Northbridge,Worcester,Massachusetts,USA ,97
485,Oakham,Worcester,Massachusetts,USA ,122
486,Oxford,Worcester,Massachusetts,USA ,204
487,Paxton,Worcester,Massachusetts,USA ,99
488,Petersham,Worcester,Massachusetts,USA ,255
489,Princeton,Worcester,Massachusetts,USA ,164
490,Royalston,Worcester,Massachusetts,USA ,193
491,Rutland,Worcester,Massachusetts,USA ,179
492,Shrewsbury,Worcester,Massachusetts,USA ,145
493,Southborough,Worcester,Massachusetts,USA ,155
494,Spencer,Worcester,Massachusetts,USA ,221
495,Sterling,Worcester,Massachusetts,USA ,253
496,Sturbridge,Worcester,Massachusetts,USA ,266
497,Sutton,Worcester,Massachusetts,USA ,448
498,Templeton,Worcester,Massachusetts,USA ,156
499,Upton,Worcester,Massachusetts,USA ,157
500,Uxbridge,Worcester,Massachusetts,USA ,229
501,Ward,Worcester,Massachusetts,USA ,76
502,Westborough,Worcester,Massachusetts,USA ,144
503,Western,Worcester,Massachusetts,USA ,145
504,Westminster,Worcester,Massachusetts,USA ,199
505,Winchendon,Worcester,Massachusetts,USA ,161
506,Worcester,Worcester,Massachusetts,USA ,325
507,Acworth,Cheshire,New Hampshire,USA ,NR
508,Alstead,Cheshire,New Hampshire,USA ,191
509,Charlestown,Cheshire,New Hampshire,USA ,NR
510,Chesterfield,Cheshire,New Hampshire,USA ,315
511,Claremont,Cheshire,New Hampshire,USA ,NR
512,Cornish,Cheshire,New Hampshire,USA ,NR
513,Croydon,Cheshire,New Hampshire,USA ,NR
514,Dublin,Cheshire,New Hampshire,USA ,157
515,Fitzwilliam,Cheshire,New Hampshire,USA ,186
516,Gilsom,Cheshire,New Hampshire,USA ,NR
517,Hampstead,Cheshire,New Hampshire,USA ,NR
