,0
"Waldoborough, Lincoln, Maine, USA ",225
"Wales Plantation, Lincoln, Maine, USA ",256
"Warren, Lincoln, Maine, USA ",106
"Washington Plantation, Lincoln, Maine, USA ",157
"Winslow, Lincoln, Maine, USA ",169
"Winthrop, Lincoln, Maine, USA ",248
"Woolwich, Lincoln, Maine, USA ",155
"Bucks Harbor Neck, Washington, Maine, USA ",12
"MacHias, Washington, Maine, USA ",NR
"Township East of MacHias, Washington, Maine, USA ",385
"Township West of MacHias, Washington, Maine, USA ",385
"Arundel, York, Maine, USA ",259
"Berwick, York, Maine, USA ",663
"Brownfield, York, Maine, USA ",31
"Buddeford, York, Maine, USA ",169
"Buxton, York, Maine, USA ",238
"Coxhall, York, Maine, USA ",134
"Framesborough, York, Maine, USA ",76
"Fryeburg, York, Maine, USA ",89
"Hiram, York, Maine, USA ",19
"Kittery, York, Maine, USA ",870
"Lebanon, York, Maine, USA ",224
"Limerick, York, Maine, USA ",71
"Little Ossipee, York, Maine, USA ",120
"New Pennicock, York, Maine, USA ",25
"Nobleborough, York, Maine, USA ",NR
"Parsonsfield, York, Maine, USA ",ER
"Pepperell Gore, York, Maine, USA ",297
"Porterfield, York, Maine, USA ",17
"Sadbury Canada, York, Maine, USA ",60
"Sanford, York, Maine, USA ",316
"Settlements Adj Sadbury, York, Maine, USA ",13
"Shapleigh, York, Maine, USA ",227
"Suncook, York, Maine, USA ",17
"Washington Plantation, York, Maine, USA ",58
"Waterboro, York, Maine, USA ",174
"Waterford, York, Maine, USA ",32
"Wells, York, Maine, USA ",504
"York, York, Maine, USA ",505
"Back River Upper Hundred, Baltimore, Maryland, USA ",ER
"Baltimore, Baltimore, Maryland, USA ",NR
"Baltimore Town, Baltimore, Maryland, USA ",NR
"Misc Run Hundred, Baltimore, Maryland, USA ",NR
"Patapsco Lower Hundred, Baltimore, Maryland, USA ",NR
"Two Delaware Hundreds, Baltimore, Maryland, USA ",NR
"Back Creek, Cecil, Maryland, USA ",110
"Bohemia Hundred, Cecil, Maryland, USA ",85
"Bohemia Manor, Cecil, Maryland, USA ",103
"Charles Town, Cecil, Maryland, USA ",59
"East Nottingham, Cecil, Maryland, USA ",141
"Elk Neck, Cecil, Maryland, USA ",167
"Middleneck Hundred, Cecil, Maryland, USA ",20
"North Millford, Cecil, Maryland, USA ",401
"North Sassafrass Hundred, Cecil, Maryland, USA ",ER
"North Susquehannah, Cecil, Maryland, USA ",155
"Octorara Hundred, Cecil, Maryland, USA ",191
"South Millford, Cecil, Maryland, USA ",401
"South Susquehannah Hundred, Cecil, Maryland, USA ",174
"West Nottingham Hundred, Cecil, Maryland, USA ",133
"West Sassafras Hundred, Cecil, Maryland, USA ",100
"Unknown Township, St Marys, Maryland, USA ",1550
"Back River Upper Hundred, Talbot, Maryland, USA ",NR
"Barnstable, Barnstable, Massachusetts, USA ",486
"Chatham, Barnstable, Massachusetts, USA ",197
"Eastham, Barnstable, Massachusetts, USA ",314
"Falmouth, Barnstable, Massachusetts, USA ",261
"Harwich, Barnstable, Massachusetts, USA ",422
"Plantation, Barnstable, Massachusetts, USA ",NR
"Provincetown, Barnstable, Massachusetts, USA ",97
"Sandwich, Barnstable, Massachusetts, USA ",327
"Truro, Barnstable, Massachusetts, USA ",223
"Wellfleet, Barnstable, Massachusetts, USA ",212
"Yarmouth, Barnstable, Massachusetts, USA ",455
"Adams, Berkshire, Massachusetts, USA ",404
"Alford, Berkshire, Massachusetts, USA ",98
"Becket, Berkshire, Massachusetts, USA ",127
"Bethlehem, Berkshire, Massachusetts, USA ",48
"Dalton, Berkshire, Massachusetts, USA ",94
"Egremont, Berkshire, Massachusetts, USA ",122
"Great Barrington, Berkshire, Massachusetts, USA ",221
"Hancock, Berkshire, Massachusetts, USA ",190
"Lanesborough, Berkshire, Massachusetts, USA ",346
"Lee, Berkshire, Massachusetts, USA ",203
"Lenox, Berkshire, Massachusetts, USA ",182
"Loudon, Berkshire, Massachusetts, USA ",62
"Mount Washington, Berkshire, Massachusetts, USA ",55
"New Ashford, Berkshire, Massachusetts, USA ",80
"New Marlborough, Berkshire, Massachusetts, USA ",253
"Partridgefield, Berkshire, Massachusetts, USA ",172
"Pittsfield, Berkshire, Massachusetts, USA ",312
"Richmond, Berkshire, Massachusetts, USA ",176
"Sandisfield, Berkshire, Massachusetts, USA ",285
"Sheffield, Berkshire, Massachusetts, USA ",317
"Stockbridge, Berkshire, Massachusetts, USA ",198
"Tyringham, Berkshire, Massachusetts, USA ",237
"Washington, Berkshire, Massachusetts, USA ",98
"West Stockbridge, Berkshire, Massachusetts, USA ",180
"Williamstown, Berkshire, Massachusetts, USA ",280
"Windsor, Berkshire, Massachusetts, USA ",151
"Attleborough, Bristol, Massachusetts, USA ",384
"Berkley, Bristol, Massachusetts, USA ",139
"Dartmouth, Bristol, Massachusetts, USA ",448
"Dighton, Bristol, Massachusetts, USA ",285
"Easton, Bristol, Massachusetts, USA ",261
"Freetown, Bristol, Massachusetts, USA ",364
"Mansfield, Bristol, Massachusetts, USA ",200
"New Bedford, Bristol, Massachusetts, USA ",563
"Norton, Bristol, Massachusetts, USA ",246
"Raynham, Bristol, Massachusetts, USA ",197
"Rehoboth, Bristol, Massachusetts, USA ",832
"Somerset, Bristol, Massachusetts, USA ",189
"Swanzey, Bristol, Massachusetts, USA ",329
"Taunton, Bristol, Massachusetts, USA ",661
"Westport, Bristol, Massachusetts, USA ",452
"Chilmark, Dukes, Massachusetts, USA ",133
"Edgarton, Dukes, Massachusetts, USA ",222
"Tisbury, Dukes, Massachusetts, USA ",204
"Almsbury, Essex, Massachusetts, USA ",350
"Andover, Essex, Massachusetts, USA ",ER
"Beverly, Essex, Massachusetts, USA ",633
"Boxford, Essex, Massachusetts, USA ",164
"Bradford, Essex, Massachusetts, USA ",253
"Danvers, Essex, Massachusetts, USA ",461
"Gloucester, Essex, Massachusetts, USA ",1007
"Haverhill, Essex, Massachusetts, USA ",434
"Ipswich, Essex, Massachusetts, USA ",881
"Lanesboro, Essex, Massachusetts, USA ",NR
"Lynn, Essex, Massachusetts, USA ",ER
"Lynnfield, Essex, Massachusetts, USA ",80
"Manchester, Essex, Massachusetts, USA ",NR
"Marblehead, Essex, Massachusetts, USA ",1287
"Methuen, Essex, Massachusetts, USA ",221
"Middleton, Essex, Massachusetts, USA ",119
"Newbury, Essex, Massachusetts, USA ",723
"Newburyport, Essex, Massachusetts, USA ",940
"Rowley, Essex, Massachusetts, USA ",328
"Salem, Essex, Massachusetts, USA ",1491
"Salisbury, Essex, Massachusetts, USA ",325
"Topsfield, Essex, Massachusetts, USA ",150
"Wenham, Essex, Massachusetts, USA ",93
"Amherst, Hampshire, Massachusetts, USA ",183
"Ashfield, Hampshire, Massachusetts, USA ",261
"Belchertown, Hampshire, Massachusetts, USA ",240
"Bernardston, Hampshire, Massachusetts, USA ",108
"Blandford, Hampshire, Massachusetts, USA ",239
"Brimfield, Hampshire, Massachusetts, USA ",277
"Buckland, Hampshire, Massachusetts, USA ",124
"Charlemont, Hampshire, Massachusetts, USA ",110
"Chester, Hampshire, Massachusetts, USA ",187
"Chesterfield, Hampshire, Massachusetts, USA ",190
"Colrain, Hampshire, Massachusetts, USA ",237
"Conway, Hampshire, Massachusetts, USA ",321
"Cummington, Hampshire, Massachusetts, USA ",148
"Deerfield, Hampshire, Massachusetts, USA ",192
"Easthampton, Hampshire, Massachusetts, USA ",77
"Goshen, Hampshire, Massachusetts, USA ",103
"Granby, Hampshire, Massachusetts, USA ",100
"Granville, Hampshire, Massachusetts, USA ",334
"Greenfield, Hampshire, Massachusetts, USA ",239
"Greenwich, Hampshire, Massachusetts, USA ",173
"Hadley, Hampshire, Massachusetts, USA ",143
"Hatfield, Hampshire, Massachusetts, USA ",110
"Heath, Hampshire, Massachusetts, USA ",58
"Holland, Hampshire, Massachusetts, USA ",66
"Leverett, Hampshire, Massachusetts, USA ",87
"Leyden, Hampshire, Massachusetts, USA ",155
"Longmeadow, Hampshire, Massachusetts, USA ",126
"Ludlow, Hampshire, Massachusetts, USA ",94
"Middlefield, Hampshire, Massachusetts, USA ",101
"Montague, Hampshire, Massachusetts, USA ",154
"Montgomery, Hampshire, Massachusetts, USA ",74
"New Salem, Hampshire, Massachusetts, USA ",262
"Northampton, Hampshire, Massachusetts, USA ",NR
"Northfield, Hampshire, Massachusetts, USA ",122
"Norwich, Hampshire, Massachusetts, USA ",129
"Orange, Hampshire, Massachusetts, USA ",122
"Palmer, Hampshire, Massachusetts, USA ",125
"Pelham, Hampshire, Massachusetts, USA ",159
"Plainfield, Hampshire, Massachusetts, USA ",85
"Plantation 7, Hampshire, Massachusetts, USA ",90
"Rochester, Hampshire, Massachusetts, USA ",118
"Rowe, Hampshire, Massachusetts, USA ",79
"Shelburne, Hampshire, Massachusetts, USA ",ER
"Shutesbury, Hampshire, Massachusetts, USA ",117
"South Brimfield, Hampshire, Massachusetts, USA ",277
"South Hadley, Hampshire, Massachusetts, USA ",118
"Southampton, Hampshire, Massachusetts, USA ",135
"Southwick, Hampshire, Massachusetts, USA ",148
"Springfield, Hampshire, Massachusetts, USA ",650
"Sunderland, Hampshire, Massachusetts, USA ",74
"Ware, Hampshire, Massachusetts, USA ",118
"Warwick, Hampshire, Massachusetts, USA ",179
"Wendell, Hampshire, Massachusetts, USA ",80
"West Springfield, Hampshire, Massachusetts, USA ",650
"Westfield, Hampshire, Massachusetts, USA ",349
"Westhampton, Hampshire, Massachusetts, USA ",102
"Whately, Hampshire, Massachusetts, USA ",130
"Wilbraham, Hampshire, Massachusetts, USA ",231
"Williamsburgh, Hampshire, Massachusetts, USA ",173
"Worthington, Hampshire, Massachusetts, USA ",188
"Acton, Middlesex, Massachusetts, USA ",140
"Ashby, Middlesex, Massachusetts, USA ",122
"Bedford, Middlesex, Massachusetts, USA ",94
"Billerica, Middlesex, Massachusetts, USA ",223
"Boxborough, Middlesex, Massachusetts, USA ",67
"Cambridge, Middlesex, Massachusetts, USA ",372
"Carlisle, Middlesex, Massachusetts, USA ",101
"Charlestown, Middlesex, Massachusetts, USA ",313
"Chelmsford, Middlesex, Massachusetts, USA ",219
"Concord, Middlesex, Massachusetts, USA ",298
"Dracut, Middlesex, Massachusetts, USA ",189
"Dunstable, Middlesex, Massachusetts, USA ",67
"East Sudbury, Middlesex, Massachusetts, USA ",384
"Framingham, Middlesex, Massachusetts, USA ",292
"Groton, Middlesex, Massachusetts, USA ",ER
"Holliston, Middlesex, Massachusetts, USA ",150
"Hopkinton, Middlesex, Massachusetts, USA ",221
"Lexington, Middlesex, Massachusetts, USA ",175
"Lincoln, Middlesex, Massachusetts, USA ",129
"Littleton, Middlesex, Massachusetts, USA ",158
"Malden, Middlesex, Massachusetts, USA ",196
"Marlborough, Middlesex, Massachusetts, USA ",346
"Medford, Middlesex, Massachusetts, USA ",189
"Natick, Middlesex, Massachusetts, USA ",113
"Newton, Middlesex, Massachusetts, USA ",239
"Pepperell, Middlesex, Massachusetts, USA ",208
"Reading, Middlesex, Massachusetts, USA ",353
"Sherburn, Middlesex, Massachusetts, USA ",150
"Shirley, Middlesex, Massachusetts, USA ",115
"Stoneham, Middlesex, Massachusetts, USA ",74
"Stow, Middlesex, Massachusetts, USA ",145
"Sudbury, Middlesex, Massachusetts, USA ",384
"Tewksbury, Middlesex, Massachusetts, USA ",163
"Townsend, Middlesex, Massachusetts, USA ",185
"Tyngsborough, Middlesex, Massachusetts, USA ",67
"Waltham, Middlesex, Massachusetts, USA ",144
"Watertown, Middlesex, Massachusetts, USA ",167
"Westford, Middlesex, Massachusetts, USA ",226
"Weston, Middlesex, Massachusetts, USA ",173
"Wilmington, Middlesex, Massachusetts, USA ",136
"Woburn, Middlesex, Massachusetts, USA ",349
"Sherburn, Nantucket, Massachusetts, USA ",872
"Abington, Plymouth, Massachusetts, USA ",NR
"Bridgewater, Plymouth, Massachusetts, USA ",829
"Carver, Plymouth, Massachusetts, USA ",150
"Duxborough, Plymouth, Massachusetts, USA ",271
"Halifax, Plymouth, Massachusetts, USA ",114
"Hanover, Plymouth, Massachusetts, USA ",184
"Kingston, Plymouth, Massachusetts, USA ",ER
"Marshfield, Plymouth, Massachusetts, USA ",226
"Middleborough, Plymouth, Massachusetts, USA ",804
"Pembroke, Plymouth, Massachusetts, USA ",340
"Plymouth, Plymouth, Massachusetts, USA ",578
"Plymton, Plymouth, Massachusetts, USA ",163
"Rochester, Plymouth, Massachusetts, USA ",327
"Scituate, Plymouth, Massachusetts, USA ",521
"Wareham, Plymouth, Massachusetts, USA ",135
"Bellingham, Suffolk, Massachusetts, USA ",121
"Boston, Suffolk, Massachusetts, USA ",3358
"Braintree, Suffolk, Massachusetts, USA ",488
"Brookline, Suffolk, Massachusetts, USA ",68
"Chelsea, Suffolk, Massachusetts, USA ",81
"Cohasset, Suffolk, Massachusetts, USA ",159
"Dedham, Suffolk, Massachusetts, USA ",288
"Dorchester, Suffolk, Massachusetts, USA ",311
"Dover, Suffolk, Massachusetts, USA ",90
"Foxborough, Suffolk, Massachusetts, USA ",118
"Franklin, Suffolk, Massachusetts, USA ",186
"Harwich, Suffolk, Massachusetts, USA ",2
"Hingham, Suffolk, Massachusetts, USA ",411
"Hull, Suffolk, Massachusetts, USA ",24
"Islands In Boston Harbor, Suffolk, Massachusetts, USA ",17
"Medfield, Suffolk, Massachusetts, USA ",129
"Medway, Suffolk, Massachusetts, USA ",187
"Milton, Suffolk, Massachusetts, USA ",184
"Needham, Suffolk, Massachusetts, USA ",208
"Roxbury, Suffolk, Massachusetts, USA ",353
"Sharon, Suffolk, Massachusetts, USA ",189
"Stoughton, Suffolk, Massachusetts, USA ",356
"Walpole, Suffolk, Massachusetts, USA ",175
"Weymouth, Suffolk, Massachusetts, USA ",278
"Wrentham, Suffolk, Massachusetts, USA ",278
"Ashburnham, Worcester, Massachusetts, USA ",164
"Athol, Worcester, Massachusetts, USA ",142
"Barre, Worcester, Massachusetts, USA ",264
"Batin, Worcester, Massachusetts, USA ",NR
"Berlin, Worcester, Massachusetts, USA ",94
"Bolton, Worcester, Massachusetts, USA ",151
"Boylston, Worcester, Massachusetts, USA ",129
"Brookfield, Worcester, Massachusetts, USA ",520
"Charlton, Worcester, Massachusetts, USA ",NR
"Douglas, Worcester, Massachusetts, USA ",201
"Dudley, Worcester, Massachusetts, USA ",187
"Fitchburgh, Worcester, Massachusetts, USA ",185
"Gardner, Worcester, Massachusetts, USA ",90
"Gerry, Worcester, Massachusetts, USA ",111
"Grafton, Worcester, Massachusetts, USA ",136
"Hardwick, Worcester, Massachusetts, USA ",297
"Harvard, Worcester, Massachusetts, USA ",253
"Holden, Worcester, Massachusetts, USA ",172
"Hubbardston, Worcester, Massachusetts, USA ",158
"Lancaster, Worcester, Massachusetts, USA ",265
"Leicester, Worcester, Massachusetts, USA ",170
"Leominster, Worcester, Massachusetts, USA ",197
"Lunenburgh, Worcester, Massachusetts, USA ",234
"Mendon, Worcester, Massachusetts, USA ",281
"Milford, Worcester, Massachusetts, USA ",165
"New Braintree, Worcester, Massachusetts, USA ",140
"Northborough, Worcester, Massachusetts, USA ",103
"Northbridge, Worcester, Massachusetts, USA ",97
"Oakham, Worcester, Massachusetts, USA ",122
"Oxford, Worcester, Massachusetts, USA ",204
"Paxton, Worcester, Massachusetts, USA ",99
"Petersham, Worcester, Massachusetts, USA ",255
"Princeton, Worcester, Massachusetts, USA ",164
"Royalston, Worcester, Massachusetts, USA ",193
"Rutland, Worcester, Massachusetts, USA ",179
"Shrewsbury, Worcester, Massachusetts, USA ",145
"Southborough, Worcester, Massachusetts, USA ",155
"Spencer, Worcester, Massachusetts, USA ",ER
"Sterling, Worcester, Massachusetts, USA ",ER
"Sturbridge, Worcester, Massachusetts, USA ",266
"Sutton, Worcester, Massachusetts, USA ",448
"Templeton, Worcester, Massachusetts, USA ",156
"Upton, Worcester, Massachusetts, USA ",157
"Uxbridge, Worcester, Massachusetts, USA ",229
"Ward, Worcester, Massachusetts, USA ",76
"Westborough, Worcester, Massachusetts, USA ",144
"Western, Worcester, Massachusetts, USA ",145
"Westminster, Worcester, Massachusetts, USA ",199
"Winchendon, Worcester, Massachusetts, USA ",161
"Worcester, Worcester, Massachusetts, USA ",ER
"Acworth, Cheshire, New Hampshire, USA ",NR
"Alstead, Cheshire, New Hampshire, USA ",191
"Charlestown, Cheshire, New Hampshire, USA ",NR
"Chesterfield, Cheshire, New Hampshire, USA ",315
"Claremont, Cheshire, New Hampshire, USA ",NR
"Cornish, Cheshire, New Hampshire, USA ",NR
"Croydon, Cheshire, New Hampshire, USA ",NR
"Dublin, Cheshire, New Hampshire, USA ",157
"Fitzwilliam, Cheshire, New Hampshire, USA ",186
"Gilsom, Cheshire, New Hampshire, USA ",NR
"Hampstead, Cheshire, New Hampshire, USA ",NR
"Hinsdale, Cheshire, New Hampshire, USA ",86
"Jaffrey, Cheshire, New Hampshire, USA ",202
"Keene, Cheshire, New Hampshire, USA ",208
"Langdon, Cheshire, New Hampshire, USA ",NR
"Lempster, Cheshire, New Hampshire, USA ",NR
"Marlborough, Cheshire, New Hampshire, USA ",138
"Marlow, Cheshire, New Hampshire, USA ",64
"New Grantham, Cheshire, New Hampshire, USA ",NR
"Newport, Cheshire, New Hampshire, USA ",NR
"Packersfield, Cheshire, New Hampshire, USA ",NR
"Plainfield, Cheshire, New Hampshire, USA ",NR
"Protectworth, Cheshire, New Hampshire, USA ",NR
"Richmond, Cheshire, New Hampshire, USA ",221
"Rindge, Cheshire, New Hampshire, USA ",188
"Stoddard, Cheshire, New Hampshire, USA ",123
"Sullivan, Cheshire, New Hampshire, USA ",37
"Surry, Cheshire, New Hampshire, USA ",79
"Swanzey, Cheshire, New Hampshire, USA ",192
"Unity, Cheshire, New Hampshire, USA ",NR
"Walpole, Cheshire, New Hampshire, USA ",195
"Washington, Cheshire, New Hampshire, USA ",NR
"Wendell, Cheshire, New Hampshire, USA ",NR
"Westmoreland, Cheshire, New Hampshire, USA ",NR
"Winchester, Cheshire, New Hampshire, USA ",189
"Alexandria, Grafton, New Hampshire, USA ",54
"Bartlett, Grafton, New Hampshire, USA ",NR
"Bath, Grafton, New Hampshire, USA ",85
"Bridgewater, Grafton, New Hampshire, USA ",61
"Burton, Grafton, New Hampshire, USA ",NR
"Campton, Grafton, New Hampshire, USA ",75
"Canaan, Grafton, New Hampshire, USA ",24248
"Chatham, Grafton, New Hampshire, USA ",NR
"Cockburn, Grafton, New Hampshire, USA ",NR
"Cockermouth, Grafton, New Hampshire, USA ",NR
"Colburne, Grafton, New Hampshire, USA ",NR
"Concord, Grafton, New Hampshire, USA ",NR
"Coventry, Grafton, New Hampshire, USA ",NR
"Dalton, Grafton, New Hampshire, USA ",NR
"Dames Location, Grafton, New Hampshire, USA ",NR
"Dartmouth, Grafton, New Hampshire, USA ",NR
"Dorchester, Grafton, New Hampshire, USA ",37
"Enfield, Grafton, New Hampshire, USA ",125
"Franconia, Grafton, New Hampshire, USA ",15
"Grafton, Grafton, New Hampshire, USA ",70
"Hales Location, Grafton, New Hampshire, USA ",NR
"Hanover, Grafton, New Hampshire, USA ",213
"Harts Location, Grafton, New Hampshire, USA ",NR
"Haverhill, Grafton, New Hampshire, USA ",101
"Lancaster, Grafton, New Hampshire, USA ",NR
"Landaff, Grafton, New Hampshire, USA ",56
"Lebanon, Grafton, New Hampshire, USA ",225
"Lincoln, Grafton, New Hampshire, USA ",5
