source_file,column,original,match,score
Pierce,First,Caleb ,Caleb,100.0
Pierce,First,Caleb Pre,Caleb Prue,94.73684210526316
Pierce,First,Caleb Prue,Caleb Pre,94.73684210526316
Pierce,First,Caleb Prue,Caleb Pue,94.73684210526316
Pierce,First,Caleb Pue,Caleb Prue,94.73684210526316
Pierce,First,Calver,Calvert,92.3076923076923
Pierce,First,Calvert,Calver,92.3076923076923
Pierce,First,Calvin,Calvin ,100.0
Pierce,First,Calvin ,Calvin,100.0
Pierce,First,Casar,Caesar,90.9090909090909
Pierce,First,Casar,Caspar,90.9090909090909
Pierce,First,Casar,Ceasar,90.9090909090909
Pierce,First,Caspar,Casar,90.9090909090909
Pierce,First,Cato,Cato ,100.0
Pierce,First,Cato ,Cato,100.0
Pierce,First,Ceasar,Casar,90.9090909090909
Pierce,First,Ceasar,Cesar,90.9090909090909
Pierce,First,Ceaser,Ceser,90.9090909090909
Pierce,First,Cesar,Caesar,90.9090909090909
Pierce,First,Cesar,Ceasar,90.9090909090909
Pierce,First,Ceser,Caeser,90.9090909090909
Pierce,First,Ceser,Ceaser,90.9090909090909
Pierce,First,Chalker,Chalkner,93.33333333333333
Pierce,First,Chalkner,Chalker,93.33333333333333
Pierce,First,Champlin,Chaplin,93.33333333333333
Pierce,First,Chancy,Chauncy,92.3076923076923
Pierce,First,Chandler,Chaundler,94.11764705882352
Pierce,First,Chaplin,Champlin,93.33333333333333
Pierce,First,Char. F,Charl. F,93.33333333333333
Pierce,First,Chares,Charles,92.3076923076923
Pierce,First,Chares,Charles ,92.3076923076923
Pierce,First,Chares,Chartes,92.3076923076923
Pierce,First,Charl. F,Char. F,93.33333333333333
Pierce,First,Charles,Chares,92.3076923076923
Pierce,First,Charles,Charles ,100.0
Pierce,First,Charles ,Chares,92.3076923076923
Pierce,First,Charles ,Charles,100.0
Pierce,First,Charleson,Charleston,94.73684210526316
Pierce,First,Charleston,Charleson,94.73684210526316
Pierce,First,Chartes,Chares,92.3076923076923
Pierce,First,Chauncey,Chauncy,93.33333333333333
Pierce,First,Chauncy,Chancy,92.3076923076923
Pierce,First,Chauncy,Chauncey,93.33333333333333
Pierce,First,Chaundler,Chandler,94.11764705882352
Pierce,First,Chirstopher,Christopher,90.9090909090909
Pierce,First,Chirstopher,Christopher ,90.9090909090909
Pierce,First,Chris,Christ,90.9090909090909
Pierce,First,Chrispus,Crispus,93.33333333333333
Pierce,First,Christ,Chris,90.9090909090909
Pierce,First,Christ,Christi,92.3076923076923
Pierce,First,Christ,Christo,92.3076923076923
Pierce,First,Christi,Christ,92.3076923076923
Pierce,First,Christian,Christian ,100.0
Pierce,First,Christian,Christian F,90.0
Pierce,First,Christian,Christian H,90.0
Pierce,First,Christian,"Christian,",94.73684210526316
Pierce,First,Christian ,Christian,100.0
Pierce,First,Christian ,Christian F,90.0
Pierce,First,Christian ,Christian H,90.0
Pierce,First,Christian ,"Christian,",94.73684210526316
Pierce,First,Christian F,Christian,90.0
Pierce,First,Christian F,Christian ,90.0
Pierce,First,Christian F,Christian H,90.9090909090909
Pierce,First,Christian H,Christian,90.0
Pierce,First,Christian H,Christian ,90.0
Pierce,First,Christian H,Christian F,90.9090909090909
Pierce,First,"Christian,",Christian,94.73684210526316
