,Index,Original Name,Search Name,Name #,Match Status,Match Reason,Location,Family Size,Slavecount,url,town,county,state,geo_level
41,39,['Peleg Thomas'],"[""['Peleg Thomas']""]",1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Peleg_Thomas&name_x=ps_ps&residence=_lebanon-new+london-connecticut-usa_3374&residence_x=1-0_1-1,Lebanon,New London County,CT,town
42,40,['Samuel Gilbert'],['Saml Gilbert'],1,Match,Full Match,"Hebron, Tolland, Connecticut",14,3,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_Gilbert&name_x=s_s&residence=_hebron-tolland-connecticut-usa_3413&residence_x=1-0_1-0,Hebron,Tolland County,CT,town
43,41,['Philip Mortimer'],['Phillip Mortimer'],1,Match,Full Match,"Middleton, Middlesex, Connecticut",12,11,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Philip_Mortimer&name_x=s_s&residence=_middletown-middlesex-connecticut-usa_3320&residence_x=1-0_1-1,Middletown,Middlesex County,CT,town
44,42,['John Payson'],"[""['John Payson']""]",1,No Match,Too Many Potential Matches Found 2,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Payson&name_x=1_1&residence=_Connecticut-usa_9&residence_x=1-0_1-0,,,CT,state
45,43,['George Starr'],['George Starr'],1,Match,Full Match,"Middleton, Middlesex, Connecticut",10,2,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Starr&name_x=1_1&residence=_middletown-middlesex-connecticut-usa_3320&residence_x=1-0_1-1,Middletown,Middlesex County,CT,town
46,44,['Jonathan Edwards'],['Reverend Revd Jonathan Edwards'],1,Match,Full Match,"New Haven, New Haven, Connecticut",7,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jonathan_Edwards&name_x=1_1&residence=_new haven-new+haven-connecticut-usa_3342&residence_x=1-0_1-0,New Haven,New Haven County,CT,town
47,45,['James A Wells'],['James A Wells'],1,Match,Full Match,"Hartford, Hartford, Connecticut",5,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James+A_Wells&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=1-0_1-0,Hartford,Hartford County,CT,town
48,46,['Erastus Wolcott'],"[""['Erastus Wolcott']""]",1,Match,Only Location Found, Hartford,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Erastus_Wolcott&name_x=1_1&residence=_east windsor-hartford-connecticut-usa_669&residence_x=1-0_1-0,East Windsor,Hartford County,CT,town
49,47,['Joseph Olmsted'],['Joseph Olmsted'],1,Match,Full Match,"Enfield, Hartford, Connecticut",4,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph_Olmsted&name_x=1_1&residence=_east+hartford-hartford-connecticut-usa_405&residence_x=1-0_1-1,East Hartford,Hartford County,CT,town
50,48,['Nathan H Whiting'],['Nathan H'],1,Match,Full Match,"Hartford, Hartford, Connecticut",4,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nathan+H_Whiting&name_x=1_1&residence=_hartford-hartford-connecticut-usa_999&residence_x=1-0_1-0,Hartford,Hartford County,CT,town
