Last Name,First Name,Position,State,County / Town,Vote
Smith,Meriwether,,VA,Essex,no
Stuart,David,,VA,Fairfax,yes
Simms,Charles,,VA,Fairfax,yes
Marshall,Humphrey,,VA,Fayette,yes
Fowler,John,,VA,Fayette,no
Pickett,Martin,,VA,Fauquier,yes
Brooke,Humphrey,,VA,Fauquier,yes
Richardson,Samuel ,,VA,Fluvanna,no
Haden,Joseph,,VA,Fluvanna,no
Woodcock,John Sheaman,,VA,Frederick,yes
White,Alexander,,VA,Frederick,yes
Early,John,,VA,Franklin,no
Arthur,Thomas,,VA,Franklin,no
Lewis,Warner,,VA,Gloucester,yes
Smith,Thomas,,VA,Gloucester,yes
Guerrant,John,,VA,Goochland,no
Sampson,William,,VA,Goochland,no
Clendenin,George,,VA,Greenbrier,yes
Stuart,John,,VA,Greenbrier,yes
Mason,William,,VA,Greensville,yes
Fisher,Daniel,,VA,Greensville,yes
Coles,Isaac,,VA,Halifax,no
Carrington,George,,VA,Halifax,no
Woodrow,Andrew,,VA,Hampshire,yes
Humphreys,Ralph,,VA,Hampshire,yes
Goodall,Parke,,VA,Hanover,no
Littlepage,John Carter,,VA,Hanover,no
Vanmeter,Isaac,,VA,Hardy,yes
Seymour,Abel,,VA,Hardy,yes
Jackson,George,,VA,Harrison,yes
Prunty,John,,VA,Harrison,yes
Randolph,Edmund,Governor,VA,Henrico,yes
Marshall,John,,VA,Henrico,yes
Cooper,Thomas,,VA,Henry,no
Marr,John,,VA,Henry,no
Pierce,Thomas,,VA,Isle of Wight,did not vote
Johnson,James,,VA,Isle of Wight,yes
Burwell,Nathaniel,,VA,James City,yes
Andrews,Robert,,VA,James City,yes
Breckenridge,Robert,,VA,Jefferson,yes
Bullock,Rice,,VA,Jefferson,yes
Fleet,William,,VA,King and Queen,yes
Roane,John,,VA,King and Queen,did not vote
Ashton,Burdet,,VA,King George,yes
Thornton,William,,VA,King George,yes
Richeson,Holt,,VA,King William,no
Temple,Benjamin,,VA,King William,no
Gordon,James,,VA,Lancaster,yes
Towles,Henry,,VA,Lancaster,yes
Mason,Stevens Thomson,,VA,Loudoun,no
Powell,Levin,,VA,Loudoun,yes
Callis,William Overton,,VA,Louisa,yes
White,William,,VA,Louisa,no
Patteson,Jonathan,,VA,Lunenberg,no
Robertson,Christopher,,VA,Lunenberg,no
Logan,John,,VA,Lincoln,no
Pawling,Pawling,,VA,Lincoln,no
Miller,John,,VA,Madison,no
Clay,Green,,VA,Madison,no
"Hopkins, Jun.",Samuel,,VA,Mecklenberg,no
Kennon,Richard,,VA,Mecklenberg,no
Allen,Thomas,,VA,Mercer,no
Robertson,Alexander,,VA,Mercer,no
"Wormley, Jr. ",Ralph,,VA,Middlesex,yes
Corbin,Francis,,VA,Middlesex,yes
Evans,John,,VA,Monongalia,no
McClerry,William,,VA,Monongalia,yes
Crockett,Walter,,VA,Montgomery,no
Trigg,Abraham,,VA,Montgomery,no
Riddick,Willis,,VA,Nansemond,yes
Shepherd,Solomon,,VA,Nansemond,yes
Clayton,William,,VA,New Kent,yes
Bassett,Burwell,,VA,New Kent,yes
Walton,Matthew,,VA,Nelson,no
Steele,John,,VA,Nelson,no
Webb,James,,VA,Norfolk,yes
Taylor,James,,VA,Norfolk,yes
Stringer,John,,VA,Northhampton,yes
Eyre,Littleton,,VA,Northhampton,yes
Jones,Walter,,VA,Northumberland,yes
Gaskins,Thomas,,VA,Northumberland,yes
Woods,Archibald,,VA,Ohio,yes
Zane,Ebenezer,,VA,Ohio,yes
"Madison, Jun.",James,,VA,Orange,yes
Gordon,James,,VA,Orange,yes
Williams,Robert,,VA,Pittsylvania,no
Wilson,John,,VA,Pittsylvania,no
Ronald,William Ronald,,VA,Powhatan,yes
"Turpin, Jun.",Thomas,,VA,Powhatan,no
Henry,Patrick,,VA,Prince Edward,no
Lawson,Robert,,VA,Prince Edward,no
Bland,Theodorick,,VA,Prince George,no
Ruffin,Edmund,,VA,Prince George,no
Grayson,William,,VA,Prince William,no
Bullitt,Cuthbert,,VA,Prince William,no
Walke,Anthony,,VA,Princess Anne,yes
Walke,Thomas,,VA,Princess Anne,yes
Wilson,Benjamin,,VA,Randolph,yes
Wilson,John,,VA,Randolph,yes
Tomlin,Walker,,VA,Richmond,yes
Peachy,William,,VA,Richmond,yes
McKee,William,,VA,Rockbridge,yes
Moore,Andrew,,VA,Rockbridge,yes
Lewis,Thomas,,VA,Rockingham,yes
Jones,Gabriel,,VA,Rockingham,yes
Carter,Thomas,,VA,Russell,No
Dickenson,Henry,,VA,Russell,No
Rinker,Jacob,,VA,Shenandoah,yes
Williams,John,,VA,Shenandoah,yes
Blout,Benjamin,,VA,Southhampton,yes
Killo,Samuel,,VA,Southhampton,yes
Monroe,James,,VA,Spotsylvania,no
Dawson,John,,VA,Spotsylvania,no
Mason,George,,VA,Stafford,no
Buchanan,Andrew,,VA,Stafford,no
Cocke,John Hartwell,,VA,Surry,yes
Allen,John ,,VA,Surry,yes
Briggs,John Howell,,VA,Sussex,no
Edmunds,Thomas,,VA,Sussex,no
Digges,Cole,,VA,Warwick,yes
Cary,Richard,Honorable,VA,Warwick,no
Edmison,Samuel,,VA,Washington,no
Montgomery,James,,VA,Washington,no
Lee III,Henry,,VA,Westmoreland,yes
Washington,Bushrod,,VA,Westmoreland,yes
"Blair, Jun.",John,,VA,York,yes
Wythe,George,,VA,York,yes
Innes,James,,VA,Williamsburg,yes
Matthews,Thomas,,VA,Norfolk Borough,yes
"Lansing, Jun. ",John,,NY,Albany,no
Oothoudt,Henry,,NY,Albany,no
Swart,Dirck,,NY,Albany,did not vote
Ten Eyck,Anthony,,NY,Albany,did not vote
Thompson,Israel,,NY,Albany,no
